Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13531646132469177,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.844285011291504,15.407133102416992,1,1,1,1.0007895231246948,1.0293573141098022,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,41.780574798583984,43.37144088745117,131.5705108642578,104.8455810546875,106.68899536132812,8.583205635659397e-05,0.04197021573781967,21.00421714782715,-447.7395935058594,-0.15728802978992462,,
1,0,40.96140670776367,42.70724868774414,132.32821655273438,104.47940063476562,106.69232940673828,0.00017203933384735137,0.04442666843533516,20.996055603027344,113.53956604003906,-0.1892513632774353,0.0,0.0
2,0.25,41.04167938232422,42.605655670166016,136.0858154296875,104.4836196899414,106.65471649169922,0.00019015843281522393,0.04443267360329628,20.996034622192383,113.55958557128906,-0.18570275604724884,0.0,0.0
3,0.5,40.745880126953125,42.8569450378418,134.22265625,104.4874267578125,107.15311431884766,0.00020646561461035162,0.04443807899951935,20.996015548706055,113.5095443725586,-0.2274702787399292,0.0,0.0
4,0.75,39.52149963378906,41.78489303588867,131.45579528808594,104.51826477050781,107.42205810546875,0.00022304522281046957,0.044478632509708405,20.99599838256836,113.5095443725586,-0.24744011461734772,0.0,0.0
5,1,39.918670654296875,41.294471740722656,131.6931610107422,104.52080535888672,107.41453552246094,0.00023796687310095876,0.044515129178762436,20.995983123779297,113.44950103759766,-0.2465883046388626,0.0,0.0
6,1.25,39.2320442199707,40.81269836425781,132.7106170654297,104.52671813964844,106.05239868164062,0.000251396355452016,0.04454797878861427,20.995969772338867,113.44950103759766,-0.1308421492576599,0.0,0.0
7,1.5,39.406219482421875,40.62888717651367,131.3947296142578,104.51615905761719,107.052490234375,0.00026348288520239294,0.04457754269242287,20.995956420898438,113.43949127197266,-0.21650460362434387,0.0,0.0
8,1.75,39.56869125366211,41.07423400878906,131.24588012695312,104.54150390625,106.4967269897461,0.0002743607619777322,0.04460414871573448,20.99594497680664,113.43949127197266,-0.16731669008731842,0.0,0.0
