Time after Ignition,Lightweight_Gypsum_Wallboard_R1,Lightweight_Gypsum_Wallboard_R2,Lightweight_Gypsum_Wallboard_R3,Mean,Std. Dev.
0.0,18.3,21.8,15.2,18.4,3.3
0.25,20.5,24.8,16.8,20.7,4.0
0.5,22.4,27.0,18.6,22.7,4.2
0.75,26.5,28.8,21.8,25.7,3.6
1.0,28.9,33.4,25.9,29.4,3.8
1.25,31.8,37.0,29.4,32.7,3.9
1.5,34.3,40.8,31.8,35.6,4.6
1.75,36.2,43.5,34.0,37.9,5.0
2.0,38.4,48.7,40.0,42.3,5.6
2.25,41.8,53.9,44.5,46.7,6.4
2.5,45.3,57.2,48.1,50.2,6.2
2.75,48.2,61.1,52.8,54.0,6.6
3.0,50.5,63.4,56.4,56.8,6.5
3.25,51.9,68.0,60.0,60.0,8.0
3.5,54.8,69.9,65.4,63.4,7.8
3.75,58.7,74.8,70.5,68.0,8.3
4.0,61.0,77.6,74.7,71.1,8.9
4.25,63.6,80.1,77.3,73.7,8.8
4.5,68.7,83.6,80.5,77.6,7.9
4.75,68.4,87.2,82.8,79.5,9.9
5.0,71.4,89.8,87.8,83.0,10.1
5.25,73.5,89.6,88.4,83.8,9.0
5.5,76.7,93.0,91.7,87.1,9.0
5.75,78.2,94.6,94.3,89.1,9.4
6.0,78.6,95.8,95.0,89.8,9.7
6.25,80.5,96.7,96.0,91.1,9.2
6.5,81.7,99.7,96.6,92.7,9.6
6.75,84.1,100.9,98.0,94.3,9.0
7.0,83.1,100.6,99.2,94.3,9.7
7.25,84.4,101.3,97.9,94.5,8.9
7.5,87.6,100.8,97.1,95.1,6.8
7.75,86.4,101.9,96.1,94.8,7.8
8.0,87.3,103.5,97.0,95.9,8.1
8.25,87.3,103.2,94.7,95.1,8.0
8.5,86.5,102.0,95.0,94.5,7.8
8.75,86.7,100.3,92.6,93.2,6.8
9.0,85.9,98.7,91.6,92.0,6.4
9.25,88.1,97.6,91.0,92.2,4.9
9.5,86.7,98.1,90.8,91.8,5.8
9.75,85.2,94.5,89.6,89.7,4.7
10.0,85.5,93.4,88.6,89.2,3.9
10.25,83.2,91.0,86.4,86.9,3.9
10.5,82.5,88.4,84.4,85.1,3.0
10.75,80.6,86.1,84.0,83.6,2.8
11.0,80.3,84.7,81.3,82.1,2.3
11.25,77.3,81.4,78.7,79.1,2.1
11.5,75.7,80.5,76.2,77.5,2.6
11.75,72.1,76.5,75.8,74.8,2.4
12.0,70.4,74.4,74.0,72.9,2.2
12.25,69.9,72.1,70.6,70.9,1.2
12.5,68.9,70.0,68.8,69.2,0.6
12.75,66.1,66.8,67.9,66.9,0.9
13.0,62.7,65.5,68.0,65.4,2.6
13.25,61.2,62.7,65.5,63.1,2.2
13.5,59.1,60.3,62.9,60.8,1.9
13.75,57.3,58.1,60.9,58.8,1.9
14.0,55.3,56.7,58.9,56.9,1.8
14.25,52.9,54.4,56.6,54.6,1.9
14.5,50.8,53.3,54.4,52.8,1.8
14.75,49.3,51.1,52.7,51.0,1.7
15.0,47.1,51.1,51.1,49.8,2.3
15.25,46.1,48.0,49.4,47.8,1.6
15.5,44.5,47.1,47.3,46.3,1.6
15.75,43.4,45.6,46.1,45.0,1.5
16.0,42.1,44.4,,43.2,1.6
16.25,41.1,43.2,,42.2,1.4
16.5,39.8,41.5,,40.7,1.2
16.75,39.3,40.9,,40.1,1.2
17.0,38.1,40.5,,39.3,1.7
17.25,37.0,39.1,,38.0,1.5
17.5,35.6,37.4,,36.5,1.3
