LABORATORY,FSRI 
TEST IDENT,Luan_Panel_HF50_1
OPERATOR,Dow
MATERIAL,Luan Panel
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04218441992998123
SPEC HOLDER DIFF,-566
SPECIMEN MASS,18.65999984741211
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,987
TIME TO IGN,12.5
END OF TEST SCAN,507
END OF TEST TIME,126.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.83 x 101.62 x 5.01 mm
POST TEST CMT,"Sample warping beginning in second half of test - corners lifted 1-2 cm. Dramatic warping during final decay stage, sample formed arch more than 5 cm tall."
