Time after Ignition,Luan_Panel_R1,Luan_Panel_R2,Luan_Panel_R3,Luan_Panel_R4,Mean,Std. Dev.
0.0,22.18148014384206,8.936050735911607,13.712437281506366,32.955065422497626,19.446258395939417,10.540564104452436
0.25,25.402170203181406,11.798336078151646,17.97322807821408,39.50272335426061,23.669114428451934,11.931263608555959
0.5,34.811664976959136,14.217993547484262,21.949870828350615,43.29976559559098,28.56982373709625,12.983715127340046
0.75,42.96307839991034,15.989790388486803,25.07217299737507,47.7785024949429,32.950886070178775,14.942724991274165
1.0,50.42898429299525,21.81787135086917,31.994837303997375,56.1045362468505,40.08655729867807,15.945346912175369
1.25,57.08944617849828,26.983891393165603,38.68770635777637,66.08928428872349,47.21258205454094,17.661217055835543
1.5,61.916793996494626,31.573370739439337,45.3333775381414,71.41670966192484,52.56006298400005,17.661519121879632
1.75,67.62755475973073,36.04068260072939,50.18261217278387,76.67875033103057,57.63239996606865,18.11415816908438
2.0,78.89737593504786,44.15359942079527,54.544075066786476,83.55389363777574,65.28723601510133,18.982033542327343
2.25,90.51755206912866,52.95753214471353,65.63893189343005,88.82395246477184,74.48449214301102,18.296931216382518
2.5,98.78888941105372,59.90516939263997,75.9691046756975,96.63135149301938,82.82362874310265,18.419039378893064
2.75,105.63364259287148,68.30284954030071,83.2562271977274,102.7516337547443,89.98608827141098,17.542890104650287
3.0,121.37151515226311,77.28897963665526,91.01751433797122,107.18759856740206,99.21640192357292,19.16961679238636
3.25,130.05840525923495,85.54209545753571,100.21891142654805,115.92640193097228,107.93645351857273,19.272499866883734
3.5,138.73547105427943,93.937000414539,109.99720263180158,122.25115196009344,116.23020651517837,18.961154075999147
3.75,150.88174121830397,101.73731503507103,118.05198696722685,128.20699357412832,124.71950919868254,20.569087103372524
4.0,160.26653642657982,107.33588028965701,125.1615367667317,131.54530262359134,131.07731402663995,21.991527263292614
4.25,173.26701096330365,115.53883039714381,136.09865662386088,141.87784681611618,141.69558620010613,23.89065071897123
4.5,181.53532984785585,127.33562015545436,143.20813495381373,147.20031565005624,149.81985015179504,22.818041032953204
4.75,192.17201104679913,132.84680177933194,152.19554252459577,151.5297186065047,157.18601848930788,24.988768970656757
5.0,190.0177653174159,138.60690427167424,157.44357880707707,161.86281678076287,161.9827662942325,21.236844605990044
5.25,197.36080578771794,146.58821028265533,166.2852817655475,166.92132054579216,169.28890459542822,20.960123752560147
5.5,213.98743486435586,154.363471420365,174.71166522556516,172.45985761096566,178.88060728031292,25.11430799340707
5.75,222.66563105504343,157.40318353845666,180.49863491958885,179.90865639731916,185.11902647760203,27.242194231528565
6.0,228.89785320909306,166.22330539443587,186.25916552726474,185.49584054530473,191.7190411690246,26.462773068500923
6.25,235.8953594099712,172.15178746115163,189.25319515490833,194.00153134415402,197.8254683425463,27.058953278945456
6.5,249.25193569432696,175.4723964255205,199.43753189350684,201.02557128109527,206.29685882361238,30.93069106561931
6.75,249.34442175357114,179.5785083928186,204.96029155754175,206.43261709033627,210.07895969856693,28.934124133980884
7.0,258.28121563250505,184.5763077395104,212.08219946467622,208.05149798306326,215.74780520493874,30.840574287419646
7.25,262.97269151194826,192.81313496191413,212.91034474539765,216.50661453546527,221.3006964386813,29.67309418261323
7.5,270.6269954787459,191.57178865631042,218.5948218161901,223.04707195776282,225.96016947725232,32.86548627288816
7.75,273.4667601089609,194.85685475112123,221.27775656096105,223.75653230954305,228.33947593264656,32.80461832858468
8.0,285.6057365768423,199.3047601524047,239.465914135532,229.90291327415028,238.56983103473232,35.73066204234459
8.25,280.7288471555593,200.36925882914315,235.1984499006585,235.49108228030414,237.94690954141626,32.94419087389725
8.5,289.06383848095265,209.62313169608484,234.75836290105198,234.69699641723142,242.0355823738302,33.51137418107345
8.75,289.81124901509895,210.7473826631747,247.85318064998026,236.91627278678624,246.33202127876,32.90227953322276
9.0,295.3134606953703,214.11364762239467,245.512087476644,245.189185952401,250.0320954367025,33.587801244450695
9.25,301.8380721091677,216.30416347899308,247.59037093821613,239.9106648375835,251.4108178409901,36.15814563441565
9.5,304.5755678251411,222.40376478149923,257.3465505226114,245.4781015120217,257.45099616031837,34.60440625635192
9.75,308.38968868831444,220.45846356388128,257.82718025212176,246.25400499739746,258.23233437542876,36.90650363783268
10.0,302.94969098890766,228.89666814894457,269.1116126728914,248.55848681943482,262.3791146575446,31.64059718898282
10.25,313.37779972319066,221.26457343236643,263.484440799232,251.07491517892944,262.30043228342964,38.385124230833924
10.5,324.036278217117,235.68450468897743,264.2139767192298,254.38717293287255,269.5804831395492,38.1837969076209
10.75,312.8828322837593,230.43349824053251,266.0616267752563,261.4575143039892,267.70886790088434,34.0192742745467
11.0,320.52801306390757,239.379502728702,275.67555654811775,257.5948838845648,273.294489056323,34.8012412265586
11.25,317.3853746048474,240.89373069944708,272.27517034838934,254.3394731659847,271.2234372046671,33.35161138284064
11.5,316.4236210018673,240.12163228316592,272.88687109392566,261.90849512807006,272.8351548767572,32.09113848324266
11.75,331.02709835406847,238.79927292738262,271.0719433226051,261.58859180488514,275.6217266022353,39.34157137061553
12.0,316.5963576217622,240.99794984460212,271.1127221135256,262.46176133438524,272.7921977285688,31.82879815979741
