Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1,1
Offset,,0,0,0.194004819,0,0,0,0,0,0,0,0,0
Gain,,1,1,25.01099968,13.5066843,16.6159668,1,1,1,1.000911117,1.04607749,1,1
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,17.90398026,19.25627327,169.9267883,99.29890442,98.83931732,5.70218E-06,0.052328456,20.94403458,-0.190089449,0.042572025,,
1,0,16.09557533,17.46558952,173.5617828,99.98606873,99.57106018,-0.000210508,0.055131346,20.93637085,621.5457764,0.038165797,0,0
2,0.25,16.32391167,16.68958855,169.9209595,99.96339417,99.57663727,-0.000200015,0.055511616,20.93589401,621.5657959,0.035570621,0,0
3,0.5,15.85748482,17.19053841,168.6004944,99.97164154,99.48181152,-0.000190571,0.055853862,20.93546486,621.475708,0.045070685,0,0
4,0.75,15.92076969,16.92479897,171.6230621,99.96916962,99.5796814,-0.000182071,0.05616188,20.93507957,621.4456787,0.03582124,0,0
5,1,16.39989281,17.54060555,174.5952454,99.96298218,99.47623444,-0.000174421,0.056566279,20.93463326,621.475708,0.044789851,0,0
6,1.25,16.34708405,17.27925873,171.9588928,99.95391846,99.5137558,-0.000167537,0.056930237,20.9342308,621.3756104,0.040497772,0,0
7,1.5,15.65906239,17.31505203,167.8097382,99.95556641,99.47065735,-0.0001607,0.057257798,20.93386841,621.3856201,0.044624384,0,0
8,1.75,15.78081894,17.37273407,170.7094116,99.9386673,99.66131592,-0.000154546,0.057552602,20.93354225,621.4356689,0.025501126,0,0
9,2,16.177948,17.76029778,169.4286499,99.94608307,99.63850403,-0.000149008,0.057817928,20.93324852,621.4057007,0.028282354,0,0
10,2.25,15.97925282,17.47812462,164.764267,99.92712402,99.51781464,-0.000144024,0.058162753,20.93275452,621.4456787,0.037663598,0,0
11,2.5,15.95568562,17.76203728,173.2098999,99.93165588,99.51781464,-0.000139538,0.058473095,20.9323101,621.4456787,0.038079735,0,0
12,2.75,15.96713257,17.17671585,171.7535858,99.92835999,99.60148621,-0.000132296,0.058752403,20.93191147,621.3956909,0.03006517,0,0
13,3,16.04635811,17.25129318,166.4824066,99.927948,99.45291138,-0.000125779,0.059003782,20.93155098,621.4356689,0.043725185,0,0
14,3.25,15.74886703,17.04697227,167.0235596,99.92959595,99.46406555,-0.000119913,0.059230022,20.93122673,621.4356689,0.042847667,0,0
15,3.5,16.03392029,17.22054482,171.0429688,99.92341614,99.48738861,-0.000114634,0.059433639,20.93093491,621.3956909,0.040128574,0,0
16,3.75,16.04831314,17.91542816,166.3747711,99.93659973,99.4995575,-0.000109883,0.059779562,20.9306736,621.4456787,0.040216792,0,0
17,4,15.63609123,17.49616432,169.0973816,99.91846466,99.40118408,-0.000101761,0.060090892,20.93043709,621.4356689,0.047628351,0,0
18,4.25,16.69953537,17.53251839,165.7962189,99.90527344,99.43921661,-9.44508E-05,0.06037109,20.93022537,621.4057007,0.042906456,0,0
19,4.5,16.19540977,17.47484016,171.0735016,99.91352081,99.45291138,-8.7872E-05,0.06062327,20.93003464,621.4256592,0.042400163,0,0
20,4.75,16.50021172,17.38507843,170.3773956,99.91104889,99.49600983,-8.19511E-05,0.060850229,20.92986298,621.4057007,0.038197383,0,0
21,5,16.57920647,17.1960144,168.6004944,99.89744568,99.43161011,-7.66223E-05,0.061104026,20.92970848,621.3756104,0.042890124,0,0
22,5.25,16.30610085,17.60975456,167.7410431,99.89167786,99.38140869,-7.05446E-05,0.061332442,20.92956924,621.3856201,0.0469939,0,0
23,5.5,16.08791733,17.6413784,171.0582275,99.90115356,99.39865112,-6.50746E-05,0.061538018,20.92944336,621.3756104,0.046272337,0,0
24,5.75,16.41126823,16.86369324,169.3683472,99.90280151,99.52035522,-6.01516E-05,0.061723035,20.92933083,621.3856201,0.035195775,0,0
25,6,16.72343826,17.85321426,172.2153625,99.89332581,99.52846527,-5.50801E-05,0.061889552,20.92922974,621.3856201,0.033577442,0,0
26,6.25,15.84685421,17.499506,171.5604706,99.88343048,99.57054901,-5.05156E-05,0.062074799,20.92913818,621.3756104,0.028789427,0,0
27,6.5,15.85161209,17.65478706,168.1371765,99.88343048,99.4240036,-4.64077E-05,0.062241524,20.92905617,621.3756104,0.042304348,0,0
28,6.75,15.83874226,17.44264984,166.4221039,99.89208984,99.42045593,-4.27105E-05,0.062391575,20.92921257,621.3656006,0.043426879,0,0
29,7,16.04287148,17.81409645,171.02771,99.87807465,99.4899292,-3.48964E-05,0.062526621,20.92935181,621.3656006,0.035729714,0,0
30,7.25,16.47491837,17.95956039,170.094986,99.87023926,99.400177,-2.78637E-05,0.062619857,20.92947769,621.3656006,0.043291882,0,0
31,7.5,16.56626129,17.69159889,170.4880676,99.86941528,99.54013062,-2.15343E-05,0.062703766,20.92959023,621.3756104,0.030305032,0,0
32,7.75,16.83591461,17.40849495,167.8738556,99.88054657,99.49195862,-1.58378E-05,0.062779285,20.9299221,621.3555908,0.035770025,0,0
33,8,16.39370155,17.96369362,172.7832336,99.86199951,99.46659851,-1.07109E-05,0.062847249,20.93022156,621.3656006,0.036405254,0,0
34,8.25,16.38600349,17.65007401,171.6558838,99.86158752,99.33679199,-3.2634E-07,0.062908418,20.93049049,621.3656006,0.048349813,0,0
35,8.5,16.51014709,17.60359383,170.0453644,99.85457611,99.30738068,9.0198E-06,0.062963471,20.93073273,621.3656006,0.050422464,0,0
