##Temp./°C,Time/min,DSC(subtr.2)/mW,Mass loss(subtr.2)/mg,Sensit./(uV/mW)
49.556,10.01,-0.002171528,-0.01448,1.0540100000000001
49.656,10.62738,0.0168461,-0.01587213,1.0540100000000001
49.756,10.75797,0.02442379,-0.01591806,1.0540200000000002
49.856,10.85079,0.03624157,-0.01676339,1.0540200000000002
49.956,10.919789999999999,0.03832499,-0.01709967,1.0540200000000002
50.056,10.97822,0.05228421,-0.01673365,1.0540200000000002
50.156,11.026060000000001,0.06842842,-0.01745726,1.0540200000000002
50.256,11.071010000000001,0.07472694,-0.01811942,1.05403
50.356,11.117180000000001,0.07980839,-0.0178831,1.05403
50.456,11.15633,0.09184637,-0.01798486,1.05403
50.556,11.19011,0.09992643,-0.01688952,1.05403
50.656,11.22158,0.1138,-0.01693446,1.05403
50.756,11.251660000000001,0.12136,-0.01637845,1.0540399999999999
50.856,11.27932,0.12675999999999998,-0.01622318,1.0540399999999999
50.956,11.30537,0.14501,-0.01592228,1.0540399999999999
51.056,11.3298,0.15122,-0.017107,1.0540399999999999
51.156,11.353819999999999,0.15583,-0.0186877,1.0540399999999999
51.256,11.377460000000001,0.16584000000000002,-0.01903238,1.0540399999999999
51.356,11.40045,0.16907,-0.01770073,1.0540399999999999
51.456,11.4226,0.17693,-0.01631254,1.05405
51.556,11.4437,0.18754,-0.01571572,1.05405
51.656,11.464160000000001,0.19505999999999998,-0.01626852,1.05405
51.756,11.48377,0.2042,-0.01774997,1.05405
51.856,11.50276,0.21638000000000002,-0.01856412,1.05405
51.956,11.52137,0.21850999999999998,-0.01746961,1.05405
52.056,11.53946,0.23137,-0.01722534,1.05405
52.156,11.557080000000001,0.23638,-0.01761048,1.05405
52.256,11.57415,0.24309,-0.01778484,1.05405
52.356,11.59079,0.24864,-0.01710896,1.05406
52.456,11.60718,0.25388,-0.01706841,1.05406
52.556,11.62299,0.26574000000000003,-0.01787241,1.05406
52.656,11.63837,0.26694,-0.01775529,1.05406
52.756,11.6536,0.26895,-0.01766457,1.05406
52.856,11.66843,0.28015999999999996,-0.01720941,1.05406
52.956,11.682939999999999,0.2918,-0.0164418,1.05406
53.056,11.69708,0.30411,-0.01660755,1.05406
53.156,11.71149,0.30394,-0.01755548,1.05406
53.256,11.725389999999999,0.31479,-0.0177346,1.05406
53.356,11.73896,0.32356999999999997,-0.01745703,1.05406
53.456,11.7525,0.32483,-0.01748287,1.05406
53.556,11.76569,0.33393,-0.0174673,1.05406
53.656,11.77872,0.33866,-0.01911365,1.05406
53.756,11.79161,0.34223000000000003,-0.02018586,1.05406
53.856,11.8041,0.34876,-0.02068056,1.05406
53.956,11.81652,0.35739,-0.01977146,1.05406
54.056,11.82875,0.36155,-0.01947709,1.05406
54.156,11.84073,0.36759000000000003,-0.01668464,1.05406
54.256,11.852780000000001,0.37693000000000004,-0.01631491,1.05406
54.356,11.86462,0.38028,-0.01489503,1.05406
54.456,11.87646,0.38597,-0.01526588,1.05406
54.556,11.88758,0.39350999999999997,-0.01514326,1.05406
