Time after Ignition,Masonite_Board_R1,Masonite_Board_R2,Masonite_Board_R3,Mean,Std. Dev.
0.0,-0.8,2.1,13.8,5.1,7.7
0.25,-0.8,2.2,14.0,5.1,7.8
0.5,-0.8,2.2,13.8,5.1,7.7
0.75,-0.8,2.3,13.4,5.0,7.5
1.0,-0.8,2.3,13.2,4.9,7.3
1.25,-0.8,2.4,13.3,5.0,7.4
1.5,-0.8,2.3,13.1,4.9,7.3
1.75,-0.8,2.3,13.0,4.8,7.2
2.0,-0.8,2.4,13.0,4.8,7.2
2.25,-0.7,2.4,12.9,4.9,7.1
2.5,-0.6,2.4,12.7,4.9,7.0
2.75,-0.5,2.4,12.6,4.8,6.9
3.0,-0.4,2.4,12.6,4.9,6.8
3.25,-0.3,2.4,12.3,4.8,6.7
3.5,-0.3,2.4,12.1,4.7,6.5
3.75,-0.2,2.4,11.9,4.7,6.4
4.0,-0.1,2.4,11.8,4.7,6.3
4.25,-0.1,2.5,11.7,4.7,6.2
4.5,-0.0,2.4,11.6,4.7,6.1
4.75,0.0,2.4,11.4,4.6,6.0
5.0,0.0,2.4,11.3,4.6,5.9
5.25,0.1,2.5,11.4,4.6,5.9
5.5,0.1,2.4,11.0,4.5,5.7
5.75,0.1,2.5,11.1,4.6,5.8
6.0,0.2,2.5,11.1,4.6,5.8
6.25,0.2,2.4,10.9,4.5,5.7
6.5,0.2,2.4,11.0,4.6,5.7
6.75,0.2,2.4,11.0,4.5,5.7
7.0,0.4,2.5,11.1,4.7,5.7
7.25,0.5,2.7,10.9,4.7,5.5
7.5,0.6,2.8,10.8,4.7,5.4
7.75,0.7,2.9,10.7,4.8,5.3
8.0,0.9,3.0,10.6,4.8,5.1
8.25,1.1,3.1,10.4,4.9,4.9
8.5,1.2,3.1,10.4,4.9,4.8
8.75,1.4,3.2,10.2,4.9,4.6
9.0,1.5,3.3,10.1,5.0,4.5
9.25,1.9,3.4,10.0,5.1,4.3
9.5,2.3,3.4,9.9,5.2,4.2
9.75,2.6,3.4,9.8,5.3,4.0
10.0,2.8,3.5,9.8,5.4,3.9
10.25,3.0,3.5,9.7,5.4,3.7
10.5,3.3,4.2,9.6,5.7,3.4
10.75,4.1,4.7,10.0,6.2,3.2
11.0,4.8,5.3,10.5,6.9,3.2
11.25,5.4,5.6,10.6,7.2,3.0
11.5,6.0,6.1,10.9,7.7,2.8
11.75,6.5,6.6,12.9,8.6,3.6
12.0,7.0,8.1,14.1,9.7,3.8
12.25,8.6,9.8,15.7,11.4,3.8
12.5,10.1,11.0,17.3,12.8,3.9
12.75,11.3,12.1,18.3,13.9,3.8
13.0,12.4,15.0,21.5,16.3,4.7
13.25,13.5,17.5,24.7,18.5,5.7
13.5,16.1,19.6,27.8,21.2,6.0
13.75,18.6,22.0,33.4,24.7,7.7
14.0,20.1,26.8,37.4,28.1,8.8
14.25,22.5,30.5,41.8,31.6,9.7
14.5,26.3,35.5,44.8,35.5,9.3
14.75,30.2,37.9,50.2,39.4,10.1
15.0,32.9,44.5,54.2,43.9,10.6
15.25,36.1,49.8,60.4,48.8,12.2
15.5,42.5,54.6,63.2,53.4,10.4
15.75,46.6,57.0,69.1,57.6,11.3
16.0,52.0,63.9,72.0,62.6,10.0
16.25,56.9,69.6,75.8,67.4,9.6
16.5,59.0,73.2,79.1,70.5,10.3
16.75,65.5,75.7,85.6,75.6,10.1
17.0,68.9,81.2,88.7,79.6,10.0
17.25,72.8,85.1,92.2,83.4,9.8
17.5,76.5,89.7,98.6,88.2,11.1
17.75,82.5,92.2,102.8,92.5,10.2
18.0,86.6,96.9,104.2,95.9,8.8
18.25,90.1,100.9,108.8,99.9,9.4
18.5,93.5,106.1,113.0,104.2,9.9
18.75,97.8,108.2,121.7,109.2,12.0
19.0,101.7,111.8,124.5,112.7,11.4
19.25,104.5,116.4,127.9,116.3,11.7
19.5,109.3,117.7,133.1,120.0,12.1
19.75,115.2,120.7,134.9,123.6,10.2
20.0,116.0,125.5,139.7,127.1,11.9
20.25,122.9,129.6,143.7,132.1,10.6
20.5,124.6,131.4,147.5,134.5,11.8
20.75,130.1,136.4,146.5,137.6,8.3
21.0,128.8,137.0,157.1,141.0,14.5
21.25,132.1,142.3,159.2,144.5,13.7
21.5,133.3,144.9,161.2,146.5,14.0
21.75,144.0,148.6,163.5,152.1,10.2
22.0,145.5,156.3,165.9,155.9,10.2
22.25,147.7,158.3,169.4,158.4,10.9
22.5,155.7,157.7,173.0,162.1,9.5
22.75,154.9,163.5,175.7,164.7,10.5
23.0,161.2,167.6,174.4,167.7,6.6
23.25,162.0,170.5,177.7,170.1,7.8
23.5,170.7,171.6,179.9,174.1,5.1
23.75,173.6,170.4,176.0,173.4,2.8
24.0,177.1,183.2,186.4,182.2,4.7
24.25,179.8,181.2,185.6,182.2,3.0
24.5,183.0,184.1,188.8,185.3,3.0
24.75,187.7,181.4,193.3,187.5,6.0
25.0,190.0,184.9,187.8,187.6,2.6
25.25,193.7,187.4,196.2,192.4,4.5
25.5,200.9,193.1,195.7,196.6,4.0
25.75,200.0,197.7,201.5,199.7,1.9
26.0,206.6,191.8,204.8,201.1,8.1
26.25,207.5,193.0,209.5,203.3,9.0
