Names,Masonite_Board_R1,Masonite_Board_R2,Masonite_Board_R3,Mean,Std. Dev.
81,2.1,5.7,,3.9,2.5
82,2.2,5.8,,4.0,2.6
83,2.2,5.9,,4.1,2.6
84,2.3,5.9,,4.1,2.5
85,2.4,6.1,,4.2,2.6
86,2.4,6.1,,4.3,2.6
87,2.5,6.2,,4.3,2.6
88,2.5,6.3,,4.4,2.7
89,2.6,6.1,,4.4,2.5
90,2.7,6.4,5.5,4.9,1.9
91,2.8,6.8,5.5,5.0,2.0
92,2.9,6.9,5.5,5.1,2.0
93,2.9,7.0,5.3,5.1,2.1
94,2.9,7.7,5.7,5.4,2.4
95,3.1,8.0,5.8,5.6,2.4
96,3.1,8.4,6.0,5.8,2.6
97,3.1,8.7,6.2,6.0,2.8
98,3.2,9.3,6.2,6.2,3.1
99,3.2,10.1,6.5,6.6,3.4
100,3.2,10.5,6.7,6.8,3.6
101,3.3,11.1,6.9,7.1,3.9
102,3.3,11.6,7.0,7.3,4.2
103,3.3,11.5,7.2,7.3,4.1
104,3.3,12.1,7.3,7.6,4.4
105,3.4,12.5,7.8,7.9,4.6
106,3.4,12.5,8.1,8.0,4.6
107,3.4,13.0,8.6,8.3,4.8
108,3.4,13.0,8.9,8.4,4.8
109,3.4,13.5,9.1,8.7,5.1
110,3.4,13.6,9.6,8.9,5.1
111,3.4,13.5,10.6,9.2,5.2
112,3.4,13.9,10.7,9.3,5.4
113,3.3,14.3,11.4,9.7,5.7
114,3.4,14.1,11.6,9.7,5.6
115,3.3,14.5,12.6,10.1,6.0
116,3.3,14.2,12.6,10.0,5.9
117,3.3,14.5,13.5,10.5,6.2
118,3.3,14.3,13.7,10.4,6.2
119,3.6,14.5,14.3,10.8,6.3
120,3.8,14.4,14.7,11.0,6.2
121,3.9,14.9,15.3,11.4,6.5
122,4.1,15.3,15.3,11.6,6.5
123,4.2,15.4,15.7,11.8,6.6
124,6.2,16.1,15.7,12.7,5.6
125,8.5,15.8,15.9,13.4,4.2
126,10.2,17.7,17.3,15.1,4.2
127,11.7,19.2,17.5,16.1,3.9
128,15.6,20.1,17.9,17.8,2.3
129,19.6,21.6,18.8,20.0,1.4
130,22.9,23.0,19.3,21.7,2.1
131,28.3,23.4,20.0,23.9,4.2
132,33.4,26.9,23.0,27.8,5.2
133,38.7,29.9,25.5,31.4,6.7
134,42.6,32.9,27.2,34.2,7.8
135,46.4,34.6,29.3,36.8,8.7
136,49.3,41.7,33.8,41.6,7.8
137,56.8,47.3,39.7,47.9,8.6
138,61.3,51.8,43.5,52.2,8.9
139,67.7,55.4,48.0,57.0,10.0
140,75.3,62.7,50.5,62.8,12.4
141,76.0,68.2,56.4,66.9,9.9
142,83.0,75.3,61.5,73.3,10.9
143,89.1,85.4,67.2,80.6,11.7
144,93.1,94.4,72.4,86.6,12.3
145,101.3,91.7,76.0,89.7,12.8
146,104.9,100.3,80.0,95.0,13.3
147,112.0,111.8,83.0,102.3,16.7
148,117.1,107.3,90.3,104.9,13.6
149,122.2,119.5,95.4,112.4,14.8
150,127.2,122.7,105.2,118.4,11.6
151,132.3,127.3,107.6,122.4,13.1
152,137.0,134.7,109.8,127.2,15.1
153,147.2,136.5,116.5,133.4,15.6
154,150.8,142.7,122.4,138.6,14.7
155,152.2,148.2,130.9,143.8,11.3
156,167.1,154.3,130.1,150.5,18.8
157,167.2,156.8,138.1,154.0,14.8
158,169.9,156.5,142.9,156.4,13.5
159,174.8,165.2,147.7,162.6,13.7
160,181.3,170.4,147.9,166.5,17.0
161,188.8,169.5,153.7,170.7,17.6
162,188.7,170.3,157.4,172.1,15.7
163,188.1,178.0,162.5,176.2,12.9
164,197.2,183.1,168.7,183.0,14.2
165,198.9,183.4,173.4,185.2,12.8
166,202.7,186.5,180.2,189.8,11.6
167,207.0,194.5,188.9,196.8,9.3
168,204.9,189.5,189.8,194.7,8.8
169,209.2,198.7,193.6,200.5,8.0
170,214.7,202.9,195.7,204.4,9.6
171,218.5,201.2,205.6,208.4,9.0
172,219.4,201.1,209.3,209.9,9.2
173,227.2,207.1,206.3,213.5,11.9
174,224.1,212.5,210.8,215.8,7.3
175,237.6,217.1,219.9,224.9,11.1
176,234.9,217.5,215.4,222.6,10.7
177,242.2,223.9,227.1,231.1,9.7
178,240.0,212.6,233.4,228.6,14.3
179,246.6,225.3,230.8,234.2,11.0
180,252.8,231.4,240.9,241.7,10.8
181,258.2,230.4,241.5,243.3,14.0
182,262.2,238.8,246.0,249.0,12.0
183,257.4,239.3,244.5,247.1,9.3
184,259.6,246.1,248.7,251.5,7.2
185,279.6,243.7,251.3,258.2,18.9
186,278.8,248.2,254.1,260.4,16.2
187,268.6,252.6,259.9,260.4,8.0
188,277.4,256.4,262.2,265.3,10.9
189,288.0,257.7,265.5,270.4,15.8
190,287.7,268.1,267.0,274.3,11.6
191,291.4,260.5,265.6,272.5,16.6
192,297.7,267.2,269.0,277.9,17.1
193,284.8,270.5,264.7,273.4,10.4
194,295.8,273.5,276.4,281.9,12.1
195,299.8,273.6,277.4,283.6,14.1
196,302.9,276.3,280.4,286.5,14.3
197,295.2,292.4,279.0,288.9,8.6
198,307.0,279.4,279.9,288.8,15.8
199,306.2,284.0,288.6,293.0,11.7
200,305.7,288.1,284.9,292.9,11.2
201,319.6,296.3,303.2,306.4,12.0
202,309.6,296.7,304.5,303.6,6.5
203,321.0,300.8,295.4,305.8,13.5
204,323.8,309.3,296.6,309.9,13.6
205,321.6,304.5,303.1,309.7,10.3
206,332.0,308.0,306.9,315.6,14.2
207,330.6,310.1,311.5,317.4,11.4
208,329.9,321.4,315.5,322.2,7.2
209,325.4,300.0,318.5,314.7,13.1
210,331.1,320.1,315.1,322.1,8.2
211,333.4,321.0,316.9,323.8,8.6
212,336.4,329.7,316.3,327.5,10.3
213,342.1,323.1,323.5,329.6,10.9
214,349.3,325.2,329.7,334.7,12.8
215,346.1,322.6,330.1,332.9,12.0
216,350.8,338.7,330.0,339.8,10.4
217,354.7,340.5,327.4,340.9,13.6
218,353.5,332.6,320.4,335.5,16.7
219,363.2,337.3,338.7,346.4,14.6
220,362.9,336.8,342.9,347.6,13.7
221,362.7,353.2,340.2,352.0,11.3
222,357.9,338.0,338.3,344.7,11.4
223,369.7,350.8,341.5,354.0,14.4
224,371.4,350.0,338.0,353.1,16.9
225,386.5,360.9,354.9,367.4,16.8
226,386.7,349.9,348.5,361.7,21.7
