LABORATORY,FSRI 
TEST IDENT,Masonite_HF15_R1
OPERATOR,Marino
MATERIAL,Masonite
ORIENTATION,Horizontal
HEAT FLUX,15
SURF AREA,0.009999999776482582
C FACTOR,0.04114474728703499
SPEC HOLDER DIFF,-566
SPECIMEN MASS,35.47999954223633
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3062
TIME TO IGN,488.5
END OF TEST SCAN,2582
END OF TEST TIME,645.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.61 x 101.61 x 2.99 mm; with calcium silicate substrate; with tie wires
POST TEST CMT,"After ignition the sample warped, charred, and fractured. Bumped weight scale."
