Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.3035644590854645,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.393453598022461,16.077991485595703,1,1,1,1.0008764266967773,1.0344724655151367,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,44.40388870239258,47.40038299560547,142.83099365234375,100.02495574951172,100.07579040527344,0.00046293699415400624,0.04666081815958023,20.962451934814453,-446.00311279296875,-0.004603750072419643,,
1,0,43.18255615234375,45.8397331237793,142.93991088867188,101.13349151611328,101.19644927978516,0.00037445969064719975,0.047289956361055374,20.962730407714844,177.96583557128906,-0.00564737431704998,0.0,0.0
2,0.25,42.49555206298828,45.15243911743164,147.2089080810547,101.12000274658203,100.83336639404297,0.0003766665467992425,0.04734319448471069,20.9627685546875,177.83570861816406,0.0257586557418108,0.0,0.0
3,0.5,42.170738220214844,44.35791778564453,144.07107543945312,101.12981414794922,100.9403305053711,0.00037865270860493183,0.04739110916852951,20.96280288696289,177.6255340576172,0.017018241807818413,0.0,0.0
4,0.75,42.07428741455078,44.15214157104492,143.3062744140625,101.14248657226562,101.38290405273438,0.0003928800579160452,0.047434233129024506,20.962833404541016,177.87576293945312,-0.02154413051903248,0.0,0.0
5,1,42.00146484375,44.11533737182617,142.03237915039062,101.12409210205078,101.59732055664062,0.0004056846955791116,0.04747304692864418,20.962860107421875,177.81570434570312,-0.04236569255590439,0.0,0.0
6,1.25,42.14816665649414,44.18258285522461,139.4921875,101.1220474243164,101.40645599365234,0.00041720885201357305,0.04757683724164963,20.9628849029541,177.74563598632812,-0.02548592910170555,0.0,0.0
7,1.5,42.36097717285156,44.62060546875,142.72312927246094,101.14370727539062,101.314208984375,0.0004275806131772697,0.04767024889588356,20.962905883789062,177.7056121826172,-0.01528383232653141,0.0,0.0
8,1.75,41.746795654296875,44.294761657714844,144.90304565429688,101.15556335449219,101.08948516845703,0.0004480526549741626,0.04775431752204895,20.96292495727539,177.7856903076172,0.005929260980337858,0.0,0.0
9,2,41.79690170288086,44.540252685546875,141.5415802001953,101.12000274658203,101.05955505371094,0.00046647750423289835,0.04782998189330101,20.962942123413086,177.7056121826172,0.00542656471952796,0.0,0.0
10,2.25,41.73258590698242,44.00859069824219,145.01983642578125,101.12613677978516,101.24699401855469,0.0004830598772969097,0.047898080199956894,20.96295738220215,177.6255340576172,-0.010838505811989307,0.0,0.0
11,2.5,41.95304870605469,44.27471160888672,145.67930603027344,101.14002990722656,101.14738464355469,0.0004979840014129877,0.04795936867594719,20.96297264099121,177.7556610107422,-0.0006598873296752572,0.0,0.0
12,2.75,41.83219909667969,44.20796585083008,144.44126892089844,101.1412582397461,100.8814468383789,0.0005114157102070749,0.048014525324106216,20.96298599243164,177.69558715820312,0.02333993837237358,0.0,0.0
13,3,41.7523307800293,44.395721435546875,138.88539123535156,101.12531280517578,100.73179626464844,0.0005235042772255838,0.048117734491825104,20.962997436523438,177.5854949951172,0.03538074344396591,0.0,0.0
14,3.25,42.54773712158203,44.065826416015625,141.64157104492188,101.11795806884766,100.85789489746094,0.0005343839875422418,0.04821062460541725,20.963008880615234,177.59552001953125,0.02336799167096615,0.0,0.0
15,3.5,41.934383392333984,44.251548767089844,144.18252563476562,101.13103485107422,100.87458038330078,0.0005520413396880031,0.048294223845005035,20.9630184173584,177.7056121826172,0.023039981722831726,0.0,0.0
16,3.75,42.184898376464844,44.624107360839844,139.22352600097656,101.12981414794922,101.20037841796875,0.0005679329624399543,0.04836946353316307,20.96292495727539,177.6355438232422,-0.006329323165118694,0.0,0.0
17,4,42.237831115722656,44.648529052734375,138.85409545898438,101.13716888427734,101.13021087646484,0.000582235399633646,0.04843718186020851,20.962841033935547,177.56549072265625,0.0006241443916223943,0.0,0.0
18,4.25,42.061180114746094,44.8323974609375,147.81112670898438,101.11918640136719,100.81619262695312,0.0005951076163910329,0.04855170473456383,20.962764739990234,177.57550048828125,0.02723092958331108,0.0,0.0
19,4.5,42.123802185058594,44.331573486328125,143.24368286132812,101.12286376953125,101.0409164428711,0.0006001376896165311,0.04865477606654167,20.962696075439453,177.59552001953125,0.00735611654818058,0.0,0.0
20,4.75,42.04059600830078,44.689186096191406,142.173583984375,101.13267517089844,101.14002990722656,0.0006046647322364151,0.04874753952026367,20.962635040283203,177.57550048828125,-0.0006598873296752572,0.0,0.0
21,5,41.821800231933594,44.16169738769531,142.08274841308594,101.12531280517578,101.18074798583984,0.0006087390938773751,0.0488310270011425,20.96257972717285,177.54547119140625,-0.004973053932189941,0.0,0.0
22,5.25,42.263633728027344,44.76081466674805,143.86422729492188,101.13021850585938,100.77791595458984,0.0006124060018919408,0.048929132521152496,20.9625301361084,177.54547119140625,0.03166680037975311,0.0,0.0
23,5.5,41.92521286010742,44.987850189208984,143.85430908203125,101.12776947021484,100.95357513427734,0.0006157062016427517,0.04901742935180664,20.96248435974121,177.5554656982422,0.015643658116459846,0.0,0.0
24,5.75,42.14937973022461,44.88438034057617,141.97894287109375,101.12286376953125,100.6390609741211,0.0006186764221638441,0.04909689351916313,20.962444305419922,177.51544189453125,0.04351893439888954,0.0,0.0
25,6,42.005287170410156,44.67509460449219,143.2055206298828,101.11837005615234,100.4791030883789,0.0006043172325007617,0.049168411642313004,20.9624080657959,177.52545166015625,0.05754975602030754,0.0,0.0
26,6.25,42.602569580078125,44.686954498291016,141.42098999023438,101.11346435546875,100.54289245605469,0.0005913939676247537,0.04923277720808983,20.96237564086914,177.5054473876953,0.05135081708431244,0.0,0.0
27,6.5,42.65607452392578,44.99420928955078,140.85617065429688,101.12000274658203,100.59391784667969,0.0005797630292363465,0.04929070919752121,20.962345123291016,177.53546142578125,0.0473334938287735,0.0,0.0
28,6.75,42.34119415283203,44.234806060791016,141.32862854003906,101.11591339111328,100.53111267089844,0.0005692951963283122,0.0493658147752285,20.962318420410156,177.49542236328125,0.052632886916399,0.0,0.0
29,7,42.34022903442383,45.34503173828125,140.96607971191406,101.1175537109375,100.37606811523438,0.00054940051632002,0.04943341016769409,20.96229362487793,177.46539306640625,0.06678600609302521,0.0,0.0
30,7.25,42.2879524230957,45.046661376953125,140.22035217285156,101.12000274658203,100.29069519042969,0.0005314953159540892,0.04949424788355827,20.962038040161133,177.4553985595703,0.07472765445709229,0.0,0.0
31,7.5,41.990150451660156,44.89287185668945,141.8911590576172,101.1138687133789,100.30933380126953,0.0005153806414455175,0.04954899847507477,20.961807250976562,177.49542236328125,0.07249044626951218,0.0,0.0
32,7.75,42.38605880737305,44.81142807006836,140.26844787597656,101.12000274658203,100.2357406616211,0.0005008774460293353,0.0496135875582695,20.961599349975586,177.44537353515625,0.07970120012760162,0.0,0.0
33,8,42.265377044677734,45.09431076049805,141.430908203125,101.10365295410156,100.14594268798828,0.00048782455269247293,0.0496717169880867,20.96141242980957,177.41534423828125,0.0863662138581276,0.0,0.0
34,8.25,42.45405960083008,44.724063873291016,142.9276885986328,101.109375,100.35055541992188,0.0004695336101576686,0.0497240349650383,20.961244583129883,177.3953399658203,0.06835900992155075,0.0,0.0
35,8.5,42.61473846435547,45.26216506958008,143.14447021484375,101.11223602294922,100.43151092529297,0.0004530717560555786,0.04977111890912056,20.96109390258789,177.46539306640625,0.061298251152038574,0.0,0.0
36,8.75,42.86679458618164,44.95960235595703,139.40899658203125,101.1048812866211,100.49137115478516,0.00043825607281178236,0.04980584233999252,20.96095848083496,177.4053497314453,0.055230893194675446,0.0,0.0
37,9,42.283878326416016,45.738162994384766,139.2334442138672,101.10037994384766,100.23328399658203,0.0004249219782650471,0.04983709380030632,20.96083641052246,177.3753204345703,0.07816234976053238,0.0,0.0
38,9.25,42.683406829833984,45.148468017578125,139.81964111328125,101.0954818725586,100.16311645507812,0.0004109587171114981,0.04986521974205971,20.960725784301758,177.3753204345703,0.08407720923423767,0.0,0.0
39,9.5,42.46146011352539,45.17643737792969,138.3457489013672,101.1061019897461,100.29216003417969,0.0003983917704317719,0.049890533089637756,20.960391998291016,177.4353790283203,0.07334677129983902,0.0,0.0
40,9.75,42.309410095214844,44.791709899902344,141.1965789794922,101.10037994384766,100.408447265625,0.0003870815271511674,0.04991331323981285,20.96009063720703,177.3452911376953,0.0623178593814373,0.0,0.0
41,10,42.678871154785156,45.70077133178711,138.7510528564453,101.0856704711914,100.18225860595703,0.0003769023169297725,0.049956101924180984,20.959819793701172,177.3452911376953,0.0814627930521965,0.0,0.0
42,10.25,42.658626556396484,45.00272750854492,144.54202270507812,101.090576171875,100.2524185180664,0.00036774101317860186,0.049994610249996185,20.959575653076172,177.3352813720703,0.07555051892995834,0.0,0.0
43,10.5,42.69132995605469,45.635536193847656,139.0945281982422,101.11060333251953,100.15673828125,0.00035881533403880894,0.050029270350933075,20.9593563079834,177.3553009033203,0.08601261675357819,0.0,0.0
44,10.75,42.69952392578125,44.998741149902344,143.0948486328125,101.08485412597656,100.21954345703125,0.00035078221117146313,0.0500604622066021,20.959157943725586,177.2952423095703,0.07801327109336853,0.0,0.0
45,11,42.35086441040039,45.295894622802734,142.66360473632812,101.07667541503906,100.00708770751953,0.0003435524122323841,0.05010385438799858,20.958980560302734,177.2952423095703,0.09653544425964355,0.0,0.0
