##Temp./°C,Time/min,DSC(subtr.2)/mW,Mass loss(subtr.2)/mg,Sensit./(uV/mW)
48.521,10.01,0.07383202,-0.027,1.0540100000000001
48.621,10.31155,0.09146712,-0.02619414,1.05399
48.721,10.39058,0.12507000000000001,-0.02557521,1.05397
48.821,10.43576,0.15905999999999998,-0.02634101,1.05395
48.921,10.47621,0.19646,-0.02563039,1.05393
49.021,10.506839999999999,0.22048,-0.02548028,1.0539100000000001
49.121,10.5341,0.25209000000000004,-0.02623689,1.05389
49.221,10.5577,0.27794,-0.0273532,1.05387
49.321,10.58037,0.30443000000000003,-0.02752615,1.05385
49.421,10.6011,0.32786,-0.02837419,1.0538299999999998
49.521,10.62038,0.3539,-0.02753315,1.0538100000000001
49.621,10.63776,0.38092,-0.02616162,1.05379
49.721,10.65434,0.41118999999999994,-0.02558898,1.05377
49.821,10.66966,0.4258,-0.02567315,1.05375
49.921,10.68447,0.46448,-0.02490793,1.0537299999999998
50.021,10.698830000000001,0.47363999999999995,-0.02592233,1.0537100000000001
50.121,10.712530000000001,0.49088999999999994,-0.02601047,1.05369
50.221,10.72591,0.5222,-0.02671603,1.05367
50.321,10.73869,0.53638,-0.02706473,1.05365
50.421,10.751380000000001,0.56,-0.0276145,1.05362
50.521,10.76327,0.57475,-0.02790349,1.0536
50.621,10.774939999999999,0.59865,-0.02778268,1.05358
50.721,10.78618,0.6259100000000001,-0.02722484,1.05356
50.821,10.79717,0.6417,-0.02737734,1.05354
50.921,10.80786,0.65656,-0.02644192,1.05352
51.021,10.818389999999999,0.67613,-0.02718428,1.0535
51.121,10.8286,0.69639,-0.02633413,1.05348
51.221,10.83855,0.71134,-0.02673556,1.05346
51.321,10.848460000000001,0.72841,-0.02735373,1.05344
51.421,10.858039999999999,0.75681,-0.0270143,1.05342
51.521,10.86738,0.7787,-0.02824137,1.0534
51.621,10.87674,0.78878,-0.02767839,1.05338
51.721,10.88568,0.80961,-0.02768943,1.05336
51.821,10.89434,0.8348,-0.02867186,1.05334
51.921,10.9029,0.84931,-0.02848321,1.05331
52.021,10.91131,0.8634700000000001,-0.02842,1.05329
52.121,10.919880000000001,0.8842,-0.02919149,1.0532700000000002
52.221,10.928230000000001,0.89469,-0.02824763,1.05325
52.321,10.93642,0.91389,-0.02841427,1.0532299999999999
52.421,10.94464,0.9358700000000001,-0.02892515,1.05321
52.521,10.95279,0.95185,-0.02856639,1.05319
52.621,10.96072,0.9645600000000001,-0.02862538,1.0531700000000002
52.721,10.968539999999999,0.97631,-0.02989863,1.05315
52.821,10.9765,0.9904700000000001,-0.02925437,1.05313
52.921,10.9844,1.0043600000000001,-0.02902236,1.05311
53.021,10.99216,1.01857,-0.02997071,1.05308
53.121,10.99981,1.03558,-0.03009145,1.05306
53.221,11.00717,1.05241,-0.02945812,1.05304
53.321,11.01447,1.0674299999999999,-0.02980346,1.05302
53.421,11.02173,1.08028,-0.02969646,1.053
53.521,11.028830000000001,1.09301,-0.02792318,1.05298
53.621,11.035839999999999,1.11027,-0.02812991,1.0529600000000001
53.721,11.042760000000001,1.12893,-0.02838103,1.05294
53.821,11.04958,1.1466399999999999,-0.02737153,1.05292
53.921,11.05635,1.16507,-0.02729637,1.0528899999999999
54.021,11.06303,1.1798,-0.02743118,1.05287
54.121,11.06961,1.19064,-0.02703416,1.05285
54.221,11.076139999999999,1.20302,-0.02650738,1.05283
54.321,11.08267,1.21631,-0.02663974,1.05281
54.421,11.089189999999999,1.22955,-0.02728489,1.05279
54.521,11.09562,1.24332,-0.02727476,1.05277
54.621,11.101939999999999,1.25593,-0.02710309,1.05275
54.721,11.10821,1.26709,-0.02728166,1.05272
54.821,11.11453,1.2798399999999999,-0.02733831,1.0527
54.921,11.12083,1.29416,-0.02705172,1.0526799999999998
55.021,11.12701,1.3090600000000001,-0.02660892,1.05266
55.121,11.13317,1.32587,-0.02672673,1.05264
55.221,11.13932,1.34284,-0.02719702,1.0526200000000001
55.321,11.145389999999999,1.3559700000000001,-0.0271056,1.0526
55.421,11.15144,1.36779,-0.02704615,1.05257
55.521,11.15752,1.38045,-0.02750373,1.05255
55.621,11.16353,1.39103,-0.02770883,1.05253
55.721,11.16945,1.39964,-0.02747143,1.05251
55.821,11.175289999999999,1.40899,-0.02718707,1.05249
55.921,11.18112,1.42025,-0.02728909,1.05247
56.021,11.18698,1.43412,-0.02782152,1.05245
56.121,11.19281,1.4513200000000002,-0.02796012,1.0524200000000001
56.221,11.19857,1.4679,-0.02768422,1.0524
56.321,11.20425,1.47646,-0.02782362,1.0523799999999999
56.421,11.20989,1.48241,-0.02820481,1.05236
56.521,11.215539999999999,1.49476,-0.0282417,1.05234
56.621,11.22114,1.50937,-0.02789292,1.0523200000000001
56.721,11.22665,1.52129,-0.02741786,1.05229
56.821,11.23215,1.53157,-0.02740153,1.05227
56.921,11.23765,1.5415,-0.02780539,1.05225
57.021,11.2431,1.55167,-0.02775978,1.05223
57.121,11.248489999999999,1.5619299999999998,-0.02737,1.05221
57.221,11.25387,1.57172,-0.02749434,1.05219
57.321,11.259269999999999,1.5815299999999999,-0.02794644,1.05216
57.421,11.264660000000001,1.59233,-0.02804709,1.0521399999999999
57.521,11.27002,1.60406,-0.02775862,1.0521200000000002
57.621,11.27529,1.61638,-0.02735251,1.0521
57.721,11.280510000000001,1.62931,-0.02736654,1.05208
57.821,11.28572,1.6427,-0.02798639,1.05205
57.921,11.29093,1.6557,-0.02815025,1.05203
58.021,11.29614,1.6674900000000001,-0.02734303,1.0520100000000001
58.121,11.3013,1.6777099999999998,-0.02689292,1.05199
58.221,11.3064,1.6868,-0.02746149,1.05197
58.321,11.3115,1.69649,-0.02791888,1.05195
58.421,11.31662,1.70783,-0.02766974,1.05192
58.521,11.3217,1.72033,-0.02738706,1.0519
58.621,11.3267,1.7330299999999998,-0.02744864,1.05188
58.721,11.331710000000001,1.74443,-0.02758671,1.05186
58.821,11.33675,1.75423,-0.02760497,1.0518399999999999
58.921,11.34176,1.76394,-0.02749995,1.0518100000000001
59.021,11.34671,1.7743799999999998,-0.02732363,1.05179
59.121,11.35162,1.78505,-0.02718474,1.05177
59.221,11.35652,1.7953,-0.02712967,1.05175
59.321,11.36144,1.80444,-0.02709991,1.05172
59.421,11.36636,1.81217,-0.02702345,1.0517
59.521,11.37128,1.8189400000000002,-0.02682199,1.05168
59.621,11.37617,1.8259400000000001,-0.02656696,1.05166
59.721,11.38101,1.8356599999999998,-0.02661258,1.05164
59.821,11.38579,1.84875,-0.02705068,1.05161
59.921,11.39058,1.8616,-0.02733558,1.05159
60.021,11.3954,1.8714400000000002,-0.02714316,1.0515700000000001
60.121,11.40022,1.8795,-0.02700446,1.05155
60.221,11.40498,1.8873400000000002,-0.02736574,1.05152
60.321,11.40972,1.89542,-0.02785821,1.0515
60.421,11.414439999999999,1.90395,-0.02805325,1.05148
60.521,11.41912,1.9130599999999998,-0.02808675,1.05146
60.621,11.42373,1.9227900000000002,-0.02821917,1.0514299999999999
