Sample ID:	C:\MCC\MCC Cal\Test\Masonite_New_grinder_MCC_30K_min_220328_R1.txt
Sample Weight (mg):	4.24
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	107.637	80.007	19.993	103.642	20.021	-0.082	-0.006
0.500	107.634	80.005	19.993	103.641	20.023	-0.222	-0.012
1.000	107.644	80.003	19.993	103.641	20.022	-0.135	-0.005
1.500	107.673	80.004	19.993	103.641	20.022	-0.104	0.023
2.000	107.646	80.007	19.992	103.642	20.023	-0.180	0.021
2.500	107.623	80.005	19.993	103.642	20.023	-0.207	-0.024
3.000	107.695	80.006	19.993	103.642	20.022	-0.101	0.000
3.500	107.636	80.006	19.992	103.643	20.024	-0.277	0.031
4.000	107.638	80.005	19.992	103.643	20.024	-0.300	-0.022
4.500	107.662	80.005	19.994	103.645	20.023	-0.178	-0.015
5.001	107.624	80.006	19.991	103.648	20.026	-0.421	0.006
5.502	107.631	80.006	19.993	103.654	20.024	-0.285	-0.023
6.000	107.689	80.007	19.994	103.658	20.025	-0.376	0.017
6.500	107.643	80.003	20.000	103.662	20.024	-0.249	0.039
7.000	107.640	80.004	19.993	103.664	20.025	-0.351	-0.018
7.500	107.654	80.006	19.993	103.668	20.025	-0.391	-0.019
8.000	107.673	80.006	19.994	103.665	20.027	-0.494	0.022
8.500	107.650	80.005	19.993	103.660	20.023	-0.199	0.015
9.001	107.650	80.004	19.993	103.656	20.025	-0.378	-0.013
9.501	107.686	80.005	19.993	103.652	20.025	-0.338	0.006
10.001	107.635	80.005	19.993	103.649	20.027	-0.518	0.011
10.500	107.642	80.005	19.993	103.646	20.021	-0.053	-0.029
11.000	107.640	80.004	19.992	103.646	20.025	-0.366	-0.020
11.500	107.634	80.005	19.992	103.649	20.024	-0.292	-0.002
12.000	107.652	80.005	19.993	103.652	20.024	-0.287	0.002
12.500	107.633	80.005	19.994	103.656	20.024	-0.287	0.005
13.000	107.670	80.004	19.994	103.663	20.023	-0.203	0.009
13.500	107.637	80.005	19.993	103.671	20.024	-0.300	0.011
14.000	107.653	80.005	19.993	103.671	20.024	-0.279	-0.006
14.500	107.686	80.004	19.993	103.673	20.026	-0.454	0.016
15.001	107.659	80.005	19.993	103.673	20.026	-0.416	0.027
15.501	107.630	80.006	19.995	103.670	20.024	-0.249	-0.025
16.001	107.666	80.005	19.993	103.669	20.025	-0.359	-0.024
16.501	107.682	80.005	19.993	103.662	20.026	-0.408	0.029
17.001	107.651	80.004	19.993	103.638	20.022	-0.093	0.018
17.501	107.675	80.005	19.993	103.615	20.025	-0.357	-0.011
18.001	107.662	80.004	19.993	103.603	20.025	-0.380	0.002
18.500	107.685	80.003	19.993	103.595	20.024	-0.292	0.010
19.000	107.675	80.005	19.992	103.599	20.027	-0.471	0.011
19.500	107.716	80.006	19.993	103.629	20.022	-0.154	0.022
