Sample ID:	C:\MCC\MCC Cal\Test\Mineral_Wool_Insulation_MCC_30K_min_211112_R3.txt
Sample Weight (mg):	4.38
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	107.055	80.002	19.994	102.991	20.018	-0.148	0.021
0.500	107.064	80.001	19.996	102.992	20.019	-0.170	0.035
1.000	107.021	80.002	19.995	102.993	20.017	-0.042	0.006
1.500	107.037	80.003	19.995	102.993	20.015	0.106	-0.031
2.001	107.042	80.003	19.995	102.994	20.018	-0.098	-0.003
2.500	106.998	80.004	19.995	102.995	20.017	-0.058	-0.009
3.000	107.033	80.002	19.994	102.996	20.014	0.130	-0.024
3.500	107.023	80.003	19.995	102.995	20.015	0.092	0.008
4.000	107.010	80.002	19.994	102.992	20.016	-0.004	0.001
4.500	107.031	80.002	19.994	102.991	20.018	-0.112	-0.007
5.000	107.032	80.002	19.994	102.991	20.015	0.124	0.015
5.500	107.043	80.002	19.994	102.990	20.014	0.182	0.017
6.000	107.058	80.002	19.995	102.991	20.015	0.094	0.019
6.500	107.028	80.002	19.994	102.993	20.017	-0.046	0.006
7.000	107.031	80.002	19.994	102.993	20.015	0.108	-0.021
7.500	106.977	80.000	19.994	102.994	20.017	-0.038	-0.039
8.000	107.025	80.000	19.994	102.994	20.013	0.226	-0.028
8.500	107.050	80.000	19.994	102.995	20.015	0.062	0.034
9.000	107.053	80.000	19.994	102.995	20.013	0.248	0.051
9.501	107.038	80.000	19.994	102.996	20.014	0.138	0.007
10.001	107.019	79.999	19.995	102.996	20.014	0.146	-0.023
10.501	107.051	79.999	19.996	102.999	20.013	0.226	-0.011
11.001	107.018	80.000	19.995	103.004	20.011	0.348	0.006
11.500	107.070	79.999	19.996	103.012	20.011	0.418	0.009
12.000	107.004	79.999	19.995	103.019	20.013	0.246	0.003
12.500	107.040	79.999	19.995	103.022	20.013	0.214	-0.022
13.001	107.008	79.999	19.994	103.026	20.011	0.418	-0.013
13.501	107.043	80.000	19.995	103.023	20.011	0.418	0.004
14.000	107.053	79.999	19.995	103.019	20.012	0.334	0.024
14.500	107.067	79.999	19.994	103.013	20.010	0.486	0.034
15.000	107.066	79.998	19.994	103.011	20.012	0.308	0.019
15.500	107.058	79.999	19.995	103.010	20.014	0.190	0.003
16.000	107.050	79.999	19.995	103.016	20.007	0.667	-0.012
16.500	107.065	79.999	19.995	103.020	20.010	0.423	-0.005
17.000	107.052	79.998	19.995	103.026	20.008	0.607	0.005
17.500	107.076	79.999	19.995	103.033	20.010	0.457	0.007
18.000	107.081	80.000	19.995	103.035	20.009	0.505	0.020
18.500	107.082	79.999	19.995	103.033	20.008	0.639	0.017
19.000	107.108	79.999	19.995	103.033	20.005	0.807	0.016
19.500	107.080	80.000	19.995	103.033	20.008	0.575	0.012
20.000	107.083	80.000	19.995	103.033	20.008	0.619	-0.013
20.500	107.113	80.000	19.995	103.036	20.004	0.875	0.004
21.000	107.130	80.000	19.995	103.043	20.004	0.903	0.040
21.500	107.153	80.000	19.995	103.044	20.007	0.669	0.043
22.000	107.119	80.001	19.996	103.045	20.006	0.781	0.015
22.500	107.124	80.000	19.996	103.050	20.004	0.935	-0.020
23.000	107.162	80.000	19.995	103.055	20.002	1.026	0.007
23.500	107.170	80.001	19.996	103.058	20.003	0.970	0.045
24.000	107.180	80.000	19.997	103.068	20.002	1.034	0.032
24.500	107.170	80.000	19.995	103.078	20.003	0.942	0.009
25.000	107.204	80.000	19.996	103.081	20.003	0.954	0.012
25.500	107.212	80.001	19.995	103.085	20.002	1.012	0.033
26.000	107.241	80.001	19.996	103.089	20.000	1.158	0.039
26.500	107.251	80.000	19.994	103.094	19.997	1.381	0.038
27.000	107.303	80.001	19.998	103.098	19.997	1.389	0.050
27.500	107.276	80.001	19.997	103.104	19.998	1.371	0.043
28.000	107.333	80.000	19.996	103.108	19.994	1.613	0.028
28.500	107.382	80.001	19.995	103.109	19.997	1.415	0.069
29.000	107.425	80.000	19.996	103.109	19.995	1.571	0.099
29.500	107.441	80.003	19.997	103.109	19.995	1.541	0.075
30.000	107.483	80.001	19.996	103.110	19.995	1.573	0.058
30.500	107.509	80.000	19.995	103.111	19.995	1.571	0.063
31.000	107.510	80.000	19.996	103.110	19.996	1.517	0.048
31.500	107.572	80.000	19.995	103.114	19.992	1.796	0.045
32.000	107.619	80.000	19.996	103.121	19.992	1.806	0.086
32.500	107.646	80.000	19.996	103.129	19.991	1.864	0.091
33.000	107.687	80.001	19.997	103.135	19.992	1.768	0.071
33.500	107.727	80.002	19.995	103.143	19.987	2.115	0.075
34.000	107.796	80.001	19.996	103.146	19.989	1.969	0.095
34.500	107.813	80.001	19.996	103.147	19.986	2.253	0.097
35.000	107.879	79.999	19.995	103.150	19.987	2.149	0.085
35.500	107.912	80.002	19.995	103.155	19.990	1.913	0.091
36.000	107.942	80.001	19.994	103.158	19.985	2.261	0.081
36.500	108.024	79.999	19.996	103.165	19.985	2.263	0.088
37.000	108.093	80.001	19.996	103.173	19.986	2.231	0.132
37.500	108.147	80.000	19.997	103.178	19.981	2.600	0.137
38.000	108.225	79.999	19.996	103.183	19.984	2.398	0.127
38.500	108.270	79.999	19.996	103.187	19.987	2.153	0.128
39.000	108.329	79.999	19.996	103.188	19.984	2.360	0.114
39.500	108.384	80.000	19.995	103.188	19.984	2.358	0.109
40.000	108.425	80.000	19.996	103.188	19.983	2.460	0.105
40.500	108.520	80.000	19.997	103.188	19.980	2.660	0.116
41.000	108.598	79.999	19.996	103.191	19.979	2.763	0.155
41.500	108.646	79.998	19.996	103.192	19.979	2.704	0.150
42.000	108.734	80.000	19.996	103.192	19.976	2.925	0.131
42.500	108.817	80.000	19.995	103.191	19.974	3.085	0.153
43.001	108.884	80.000	19.996	103.193	19.977	2.857	0.160
43.501	108.969	79.999	19.997	103.198	19.977	2.905	0.151
44.000	109.044	80.000	19.997	103.204	19.979	2.759	0.156
44.501	109.128	79.999	19.997	103.213	19.976	2.957	0.160
45.001	109.244	80.000	19.996	103.221	19.974	3.106	0.180
45.500	109.304	79.998	19.997	103.227	19.973	3.188	0.188
46.000	109.429	79.999	19.996	103.227	19.971	3.294	0.180
46.500	109.505	79.998	19.996	103.227	19.971	3.352	0.193
47.000	109.594	79.999	19.995	103.226	19.975	3.015	0.183
47.500	109.668	79.999	19.996	103.226	19.973	3.158	0.164
48.000	109.804	79.999	19.997	103.226	19.973	3.188	0.186
48.500	109.863	79.997	19.997	103.226	19.971	3.328	0.202
49.001	109.977	79.998	19.996	103.226	19.972	3.220	0.184
49.501	110.083	79.999	19.996	103.228	19.972	3.257	0.197
50.000	110.211	80.000	19.997	103.231	19.971	3.321	0.227
50.501	110.257	80.001	19.998	103.231	19.971	3.343	0.204
51.001	110.446	80.000	19.996	103.231	19.972	3.287	0.205
51.500	110.560	80.000	19.997	103.231	19.972	3.237	0.269
52.000	110.646	79.999	19.997	103.229	19.969	3.473	0.251
52.500	110.778	80.001	19.996	103.225	19.969	3.445	0.209
53.000	110.890	79.999	19.996	103.227	19.970	3.421	0.232
53.500	111.003	80.001	19.995	103.230	19.969	3.480	0.234
54.000	111.126	80.001	19.997	103.232	19.970	3.433	0.230
54.501	111.218	79.999	19.995	103.232	19.968	3.514	0.226
55.001	111.330	80.001	19.996	103.233	19.971	3.305	0.210
55.501	111.485	80.000	19.997	103.232	19.971	3.297	0.235
56.000	111.578	80.001	19.997	103.230	19.968	3.546	0.257
56.500	111.731	80.001	19.996	103.229	19.970	3.415	0.247
57.000	111.820	80.002	19.996	103.229	19.971	3.363	0.244
57.500	112.001	80.001	19.995	103.228	19.971	3.361	0.256
58.000	112.094	80.000	19.994	103.228	19.967	3.602	0.272
58.500	112.256	80.001	19.996	103.228	19.971	3.331	0.264
59.000	112.338	80.001	19.996	103.235	19.967	3.612	0.250
59.500	112.498	80.001	19.996	103.243	19.967	3.592	0.243
60.000	112.666	80.003	19.995	103.251	19.969	3.463	0.285
60.500	112.778	80.001	19.995	103.258	19.970	3.377	0.304
61.000	112.933	80.003	19.993	103.263	19.967	3.590	0.273
61.500	113.069	80.001	19.994	103.261	19.970	3.385	0.278
62.000	113.210	80.001	19.995	103.260	19.970	3.381	0.284
62.500	113.341	80.002	19.994	103.260	19.970	3.371	0.275
63.000	113.519	80.000	19.994	103.260	19.969	3.452	0.291
63.500	113.668	80.001	19.994	103.262	19.969	3.442	0.317
64.000	113.824	80.000	19.994	103.264	19.966	3.702	0.315
64.501	114.006	80.001	19.993	103.266	19.967	3.656	0.322
65.001	114.136	80.001	19.996	103.265	19.965	3.742	0.326
65.500	114.287	80.001	19.994	103.264	19.967	3.632	0.297
66.000	114.458	80.001	19.995	103.264	19.964	3.809	0.301
66.500	114.592	80.002	19.995	103.264	19.968	3.536	0.313
67.000	114.731	80.002	19.995	103.262	19.965	3.744	0.289
67.500	114.929	80.001	19.995	103.263	19.966	3.670	0.306
68.000	115.082	80.002	19.994	103.264	19.964	3.819	0.344
68.501	115.238	80.002	19.995	103.264	19.966	3.668	0.330
69.001	115.415	80.000	19.994	103.263	19.966	3.682	0.321
69.500	115.583	80.001	19.995	103.264	19.965	3.735	0.339
70.000	115.756	80.001	19.994	103.265	19.967	3.630	0.343
70.500	115.901	80.001	19.995	103.263	19.968	3.536	0.330
71.001	116.092	80.000	19.995	103.262	19.970	3.398	0.327
71.501	116.280	80.002	19.995	103.261	19.968	3.544	0.357
72.001	116.422	80.002	19.995	103.260	19.968	3.542	0.354
72.500	116.609	80.001	19.995	103.261	19.971	3.335	0.329
73.000	116.780	80.001	19.995	103.263	19.971	3.339	0.344
73.500	116.924	80.002	19.994	103.264	19.968	3.566	0.337
74.000	117.137	80.001	19.995	103.267	19.970	3.393	0.336
74.501	117.305	80.001	19.995	103.268	19.970	3.432	0.369
75.001	117.481	80.001	19.994	103.268	19.970	3.436	0.362
75.501	117.641	80.001	19.994	103.268	19.970	3.436	0.340
76.001	117.822	80.002	19.995	103.268	19.969	3.468	0.339
76.501	118.031	80.002	19.994	103.269	19.967	3.650	0.366
77.001	118.210	80.003	19.994	103.269	19.968	3.542	0.389
77.500	118.374	80.002	19.995	103.270	19.971	3.319	0.365
78.000	118.564	80.002	19.995	103.270	19.966	3.660	0.348
78.500	118.731	80.001	19.994	103.269	19.967	3.602	0.355
79.000	118.943	80.004	19.995	103.270	19.966	3.694	0.368
79.500	119.145	80.002	19.994	103.271	19.966	3.692	0.397
80.001	119.300	80.002	19.995	103.273	19.971	3.339	0.386
80.501	119.516	80.002	19.994	103.273	19.969	3.508	0.364
81.000	119.693	80.002	19.994	103.273	19.966	3.720	0.382
81.500	119.875	80.003	19.995	103.273	19.966	3.728	0.376
82.000	120.046	80.002	19.994	103.271	19.965	3.736	0.356
82.500	120.276	80.003	19.994	103.270	19.965	3.762	0.377
83.000	120.470	80.003	19.993	103.269	19.967	3.640	0.412
83.500	120.685	80.002	19.993	103.269	19.966	3.698	0.417
84.000	120.878	80.003	19.995	103.269	19.970	3.393	0.409
84.500	121.094	80.003	19.994	103.270	19.966	3.694	0.408
85.000	121.303	80.002	19.994	103.269	19.968	3.542	0.417
85.500	121.534	80.003	19.994	103.269	19.965	3.799	0.432
86.000	121.741	80.003	19.995	103.269	19.966	3.700	0.439
86.501	121.928	80.003	19.994	103.269	19.968	3.538	0.416
87.001	122.165	80.003	19.994	103.268	19.967	3.620	0.409
87.501	122.345	80.002	19.994	103.268	19.968	3.574	0.420
88.001	122.535	80.001	19.994	103.268	19.967	3.630	0.394
88.500	122.763	80.001	19.996	103.267	19.966	3.688	0.394
89.000	122.972	80.002	19.995	103.265	19.970	3.436	0.427
89.500	123.196	80.001	19.994	103.264	19.969	3.474	0.435
90.001	123.395	80.001	19.994	103.264	19.969	3.464	0.428
90.501	123.607	80.000	19.994	103.261	19.967	3.640	0.417
91.000	123.816	80.000	19.995	103.262	19.966	3.698	0.416
91.500	124.068	80.001	19.995	103.262	19.966	3.668	0.441
92.000	124.214	80.001	19.994	103.263	19.969	3.482	0.430
92.500	124.451	80.001	19.994	103.263	19.968	3.532	0.390
93.000	124.627	80.002	19.995	103.266	19.970	3.394	0.398
93.500	124.879	80.001	19.994	103.266	19.967	3.598	0.421
94.000	125.085	80.001	19.994	103.266	19.966	3.678	0.443
94.500	125.269	80.000	19.995	103.267	19.969	3.502	0.424
95.000	125.515	80.001	19.995	103.267	19.966	3.674	0.410
95.500	125.719	80.001	19.994	103.268	19.966	3.721	0.440
96.001	125.988	80.001	19.995	103.268	19.966	3.717	0.462
96.501	126.168	80.002	19.994	103.267	19.970	3.432	0.461
97.000	126.408	80.001	19.994	103.266	19.966	3.694	0.434
97.500	126.617	80.001	19.995	103.267	19.963	3.889	0.434
98.000	126.866	80.001	19.994	103.268	19.967	3.646	0.454
98.500	127.072	80.000	19.994	103.268	19.967	3.628	0.457
99.000	127.272	80.002	19.995	103.268	19.965	3.762	0.431
99.500	127.513	80.001	19.994	103.268	19.966	3.666	0.423
100.000	127.716	80.001	19.996	103.268	19.969	3.486	0.442
100.500	127.966	80.001	19.994	103.267	19.967	3.616	0.448
101.000	128.185	80.001	19.996	103.267	19.970	3.433	0.461
101.500	128.402	80.002	19.994	103.267	19.966	3.730	0.452
102.000	128.676	80.000	19.995	103.267	19.965	3.736	0.464
102.500	128.881	80.002	19.995	103.267	19.966	3.700	0.485
103.000	129.118	80.001	19.995	103.268	19.963	3.939	0.460
103.500	129.369	80.001	19.994	103.270	19.966	3.680	0.465
