Temp./C,Time/min,DSC/(mW/mg),Mass loss/mg
40,0,0.57368,-9.98E-03
40.1,0.015070412,0.575,-5.19E-03
40.2,0.028279856,0.57845,-4.77E-03
40.3,0.040473018,0.58154,-5.23E-03
40.4,0.05403447,0.57927,-5.78E-03
40.5,0.068576885,0.58067,-5.00E-03
40.6,0.083218211,0.5816,-5.28E-03
40.7,0.095680701,0.58353,-5.78E-03
40.8,0.108699825,0.58339,-6.61E-03
40.9,0.121708997,0.58301,-7.38E-03
41,0.136840049,0.58772,-8.09E-03
41.1,0.148874175,0.59009,-8.58E-03
41.2,0.161071705,0.59384,-9.42E-03
41.3,0.17308714,0.59661,-1.08E-02
41.4,0.185019609,0.60015,-1.08E-02
41.5,0.201019685,0.6017,-1.11E-02
41.6,0.21236145,0.60426,-1.18E-02
41.7,0.225352441,0.60226,-1.29E-02
41.8,0.242225386,0.60195,-1.43E-02
41.9,0.256376336,0.60217,-1.44E-02
42,0.267541741,0.60676,-1.47E-02
42.1,0.282097913,0.60816,-1.53E-02
42.2,0.2932848,0.60992,-1.56E-02
42.3,0.307615538,0.60973,-1.59E-02
42.4,0.320651488,0.61397,-1.67E-02
42.5,0.334518433,0.6155,-1.74E-02
42.6,0.347180526,0.61413,-1.80E-02
42.7,0.358952234,0.61621,-1.84E-02
42.8,0.372909963,0.61631,-1.90E-02
42.9,0.38535232,0.62262,-1.91E-02
43,0.40062721,0.62401,-1.91E-02
43.1,0.412159893,0.62514,-1.91E-02
43.2,0.42522657,0.62525,-1.99E-02
43.3,0.437344111,0.6239,-2.02E-02
43.4,0.450975986,0.62572,-2.08E-02
43.5,0.463444605,0.62829,-2.10E-02
43.6,0.474989354,0.63165,-2.16E-02
43.7,0.487512975,0.63448,-2.17E-02
43.8,0.500411775,0.63629,-2.20E-02
43.9,0.510741629,0.63484,-2.15E-02
44,0.526972632,0.63938,-2.12E-02
44.1,0.538711713,0.63753,-2.17E-02
44.2,0.552352943,0.64313,-2.15E-02
44.3,0.563538441,0.64256,-2.14E-02
44.4,0.576842016,0.6459,-2.18E-02
44.5,0.589892571,0.64775,-2.17E-02
44.6,0.603857221,0.65163,-2.12E-02
44.7,0.61372448,0.65345,-2.17E-02
44.8,0.627929736,0.65434,-2.13E-02
44.9,0.637775225,0.65373,-2.14E-02
45,0.652984421,0.65591,-2.17E-02
45.1,0.665444846,0.65729,-2.11E-02
45.2,0.675747909,0.65733,-2.18E-02
45.3,0.689869976,0.66116,-2.15E-02
45.4,0.703133944,0.66091,-2.14E-02
45.5,0.714994707,0.6604,-2.17E-02
45.6,0.726932171,0.65904,-2.15E-02
45.7,0.739559274,0.65965,-2.17E-02
45.8,0.752018023,0.66256,-2.17E-02
45.9,0.763773366,0.66691,-2.17E-02
46,0.776170814,0.67016,-2.22E-02
46.1,0.790185265,0.6723,-2.15E-02
46.2,0.801155295,0.67058,-2.20E-02
46.3,0.811755317,0.66913,-2.12E-02
46.4,0.825895382,0.66959,-2.16E-02
46.5,0.837754675,0.66936,-2.07E-02
46.6,0.849597876,0.6678,-2.08E-02
46.7,0.860243677,0.66885,-2.05E-02
46.8,0.874276745,0.67022,-2.06E-02
46.9,0.885604175,0.67473,-2.05E-02
47,0.898595323,0.67525,-1.98E-02
47.1,0.910265293,0.67847,-2.05E-02
47.2,0.921935402,0.67867,-1.97E-02
47.3,0.933172634,0.68309,-2.04E-02
47.4,0.946493715,0.68711,-1.96E-02
47.5,0.955932726,0.68645,-1.96E-02
47.6,0.968038545,0.68957,-1.96E-02
47.7,0.983265686,0.68666,-1.92E-02
47.8,0.995243473,0.68676,-1.99E-02
47.9,1.006203284,0.69045,-1.95E-02
48,1.017913579,0.6924,-1.99E-02
48.1,1.028592447,0.69124,-1.93E-02
48.2,1.042171494,0.69531,-1.95E-02
48.3,1.056177504,0.69859,-1.92E-02
48.4,1.064910347,0.69855,-1.88E-02
48.5,1.079177373,0.69844,-1.92E-02
48.6,1.09213582,0.70003,-1.87E-02
48.7,1.102275442,0.70176,-1.93E-02
48.8,1.114879742,0.70465,-1.90E-02
48.9,1.125589222,0.70623,-1.97E-02
49,1.13842917,0.70734,-1.91E-02
49.1,1.150781086,0.70408,-1.97E-02
49.2,1.162388749,0.70307,-1.90E-02
