Time after Ignition,Nylon_R4,Nylon_R2,Nylon_R3,Mean,Std. Dev.
0.0,9.8,-24.3,17.6,1.0,22.3
0.25,10.0,-24.0,17.8,1.3,22.2
0.5,10.2,-23.5,17.7,1.5,21.9
0.75,10.4,-23.2,18.1,1.7,21.9
1.0,10.5,-22.5,18.1,2.0,21.6
1.25,10.6,-22.5,18.5,2.2,21.7
1.5,10.6,-21.7,18.4,2.4,21.2
1.75,10.7,-21.3,18.7,2.7,21.2
2.0,10.9,-21.0,19.0,3.0,21.1
2.25,10.9,-20.6,19.3,3.2,21.0
2.5,11.1,-20.5,19.1,3.2,21.0
2.75,11.0,-20.1,19.0,3.3,20.7
3.0,10.8,-19.9,19.6,3.5,20.7
3.25,10.6,-19.5,19.9,3.6,20.6
3.5,10.4,-19.1,19.6,3.6,20.2
3.75,10.1,-18.9,20.0,3.7,20.3
4.0,10.1,-18.4,20.4,4.0,20.1
4.25,9.9,-17.9,20.3,4.1,19.7
4.5,9.9,-17.5,20.6,4.3,19.7
4.75,9.7,-17.4,20.9,4.4,19.7
5.0,9.6,-16.8,20.5,4.4,19.1
5.25,9.5,-16.0,20.9,4.8,18.9
5.5,9.5,-15.4,21.3,5.1,18.7
5.75,9.4,-14.9,21.2,5.2,18.4
6.0,9.4,-14.2,21.5,5.6,18.2
6.25,8.9,-13.9,22.0,5.7,18.2
6.5,8.8,-13.0,22.0,5.9,17.7
6.75,8.5,-12.0,22.0,6.1,17.1
7.0,8.3,-11.2,22.5,6.5,16.9
7.25,8.0,-10.8,22.8,6.6,16.8
7.5,7.7,-9.6,23.1,7.1,16.4
7.75,7.4,-8.6,23.4,7.4,16.0
8.0,7.1,-7.9,24.4,7.9,16.2
8.25,7.0,-7.0,24.8,8.3,16.0
8.5,6.6,-6.2,25.6,8.7,16.0
8.75,6.5,-5.3,25.7,9.0,15.7
9.0,6.3,-4.6,26.1,9.2,15.5
9.25,6.2,-3.9,26.4,9.5,15.4
9.5,5.8,-3.4,26.8,9.8,15.5
9.75,5.7,-2.8,27.3,10.0,15.5
10.0,5.5,-2.3,27.9,10.4,15.7
10.25,5.2,-1.5,28.2,10.6,15.6
10.5,5.0,-0.8,28.1,10.8,15.3
10.75,4.8,-0.1,28.6,11.1,15.3
11.0,4.7,0.4,29.0,11.3,15.4
11.25,4.5,1.2,29.7,11.8,15.6
11.5,4.4,1.9,30.0,12.1,15.5
11.75,4.3,2.6,29.7,12.2,15.2
12.0,4.2,3.1,30.4,12.6,15.4
12.25,4.1,3.8,30.8,12.9,15.5
12.5,4.0,4.4,31.5,13.3,15.8
12.75,3.9,4.9,31.6,13.5,15.7
13.0,3.9,5.4,32.8,14.0,16.3
13.25,3.8,6.3,32.8,14.3,16.1
13.5,3.8,7.1,33.2,14.7,16.1
13.75,3.8,8.2,33.2,15.0,15.9
14.0,3.7,8.7,33.7,15.4,16.0
14.25,3.7,9.2,34.3,15.8,16.3
14.5,3.6,10.2,35.2,16.3,16.6
14.75,3.6,11.0,35.5,16.7,16.7
15.0,3.6,11.3,36.9,17.3,17.4
15.25,3.5,12.3,36.8,17.5,17.2
15.5,3.5,12.6,37.1,17.7,17.4
15.75,3.6,13.4,38.3,18.4,17.9
