Names,Nylon_R1,Nylon_R2,Nylon_R3,Mean,Std. Dev.
121,22.9,,,22.9,
122,24.6,,13.3,19.0,8.0
123,29.8,,15.5,22.6,10.1
124,34.1,13.5,17.3,21.6,10.9
125,38.2,14.7,18.9,23.9,12.5
126,41.7,17.8,22.4,27.3,12.7
127,47.3,20.7,25.8,31.3,14.1
128,52.9,23.1,28.4,34.8,15.9
129,57.7,25.2,32.8,38.6,17.0
130,61.4,27.0,37.6,42.0,17.6
131,69.0,32.6,42.0,47.8,18.9
132,73.9,36.0,44.8,51.6,19.9
133,77.7,39.6,44.8,54.0,20.7
134,83.9,47.2,52.3,61.1,19.9
135,86.7,54.3,58.2,66.4,17.7
136,92.5,60.0,63.8,72.1,17.8
137,93.7,65.4,67.3,75.4,15.8
138,101.8,71.1,72.6,81.8,17.3
139,105.7,78.8,79.5,88.0,15.3
140,112.0,83.2,86.4,93.8,15.8
141,117.0,91.5,91.0,99.8,14.9
142,120.3,97.2,95.7,104.4,13.8
143,129.1,106.2,101.0,112.1,14.9
144,131.3,115.8,104.8,117.3,13.3
145,137.0,120.2,113.2,123.5,12.3
146,139.1,124.7,116.3,126.7,11.5
147,143.7,130.8,121.5,132.0,11.2
148,151.3,135.5,127.8,138.2,12.0
149,156.0,139.5,134.7,143.4,11.2
150,162.7,146.6,140.0,149.7,11.7
151,175.5,152.8,147.1,158.4,15.0
152,173.7,159.1,148.3,160.4,12.8
153,177.3,166.8,156.8,167.0,10.3
154,186.3,169.1,161.4,172.2,12.7
155,200.3,171.9,170.5,180.9,16.8
156,205.0,182.6,174.5,187.4,15.8
157,212.4,185.6,184.2,194.1,15.9
158,221.2,192.4,188.4,200.7,17.9
159,230.6,199.2,201.3,210.4,17.6
160,239.3,205.1,201.2,215.2,21.0
161,247.8,212.2,207.7,222.6,22.0
162,250.7,218.7,222.0,230.4,17.6
163,250.3,223.8,223.1,232.4,15.5
164,258.2,238.7,227.8,241.6,15.4
165,270.8,246.3,237.7,251.6,17.2
166,279.2,249.3,247.8,258.8,17.7
167,277.3,264.0,253.9,265.0,11.7
168,294.8,262.2,266.3,274.5,17.8
169,292.4,278.0,264.5,278.3,13.9
170,308.0,283.6,275.8,289.2,16.8
171,312.7,294.9,288.0,298.5,12.8
172,323.6,296.0,287.3,302.3,19.0
173,330.9,296.9,295.6,307.8,20.0
174,326.5,311.8,297.7,312.0,14.4
175,338.0,317.5,310.2,321.9,14.4
176,337.1,319.0,315.9,324.0,11.4
177,348.8,329.6,311.9,330.1,18.5
178,349.2,338.7,316.5,334.8,16.7
179,354.8,346.1,333.4,344.8,10.8
180,365.3,346.9,338.4,350.2,13.7
181,376.9,360.1,337.6,358.2,19.7
182,369.6,365.0,352.0,362.2,9.1
183,384.6,359.9,344.1,362.8,20.4
184,389.9,364.6,365.7,373.4,14.3
185,403.0,364.3,372.2,379.8,20.4
186,395.7,392.7,371.7,386.7,13.1
187,387.7,387.0,364.9,379.9,13.0
188,406.9,398.6,377.4,394.3,15.2
189,416.6,400.7,375.4,397.6,20.8
190,416.0,419.8,383.7,406.5,19.9
191,419.1,419.3,390.4,409.6,16.6
192,414.0,443.3,400.4,419.2,21.9
193,427.2,422.6,408.1,419.3,10.0
194,431.3,447.0,427.5,435.2,10.3
195,441.3,449.4,422.0,437.6,14.1
196,453.2,458.2,435.8,449.1,11.8
197,450.3,466.2,431.3,449.3,17.5
198,458.3,466.0,445.4,456.6,10.4
199,449.3,464.7,448.5,454.2,9.2
200,456.4,481.3,436.3,458.0,22.6
201,456.6,493.1,457.9,469.2,20.7
202,461.2,478.6,462.8,467.5,9.6
203,460.0,500.3,475.4,478.5,20.3
204,469.9,488.8,461.2,473.3,14.1
205,473.0,493.6,480.5,482.3,10.4
206,485.4,507.7,476.5,489.9,16.1
207,484.5,519.3,482.5,495.4,20.7
208,486.8,526.9,482.0,498.6,24.7
209,486.7,526.6,483.7,499.0,23.9
210,505.9,537.8,513.7,519.1,16.6
211,489.6,545.4,514.1,516.4,28.0
212,510.6,544.5,509.9,521.7,19.8
213,514.8,546.5,518.3,526.6,17.4
214,518.7,571.4,514.2,534.8,31.8
215,506.9,557.3,519.3,527.9,26.2
216,526.2,560.5,527.8,538.2,19.4
217,542.5,564.7,546.3,551.2,11.9
218,525.2,569.6,579.1,557.9,28.8
219,534.0,594.6,563.4,564.0,30.3
220,536.0,589.3,559.5,561.6,26.7
221,547.1,600.3,577.6,575.0,26.7
222,544.9,611.9,577.4,578.1,33.5
223,557.6,594.6,559.2,570.5,20.9
224,558.5,618.2,581.1,585.9,30.2
225,547.3,604.6,612.5,588.1,35.6
226,543.8,614.8,591.1,583.2,36.2
227,560.1,636.2,590.5,595.6,38.3
228,568.6,638.4,602.7,603.2,34.9
229,565.1,624.6,589.4,593.1,29.9
230,549.3,651.1,617.7,606.0,51.9
231,573.7,643.5,612.9,610.0,35.0
232,589.4,658.2,625.0,624.2,34.4
233,576.7,675.5,619.5,623.9,49.5
234,582.7,658.4,606.7,615.9,38.7
235,607.9,669.1,622.0,633.0,32.1
236,574.3,692.8,631.6,632.9,59.2
237,610.6,665.0,638.7,638.1,27.2
238,601.4,657.4,639.6,632.8,28.6
239,630.7,676.6,631.8,646.4,26.2
240,622.0,720.5,632.1,658.2,54.2
241,664.3,691.4,663.7,673.1,15.8
242,660.8,717.9,657.3,678.7,34.0
243,622.0,721.5,647.5,663.7,51.7
244,647.8,715.1,658.1,673.7,36.2
