Sample ID:	C:\MCC\MCC Cal\Test\Nylon_MCC_30K_min_220330_R3.txt
Sample Weight (mg):	4.31
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	106.570	80.016	19.998	103.687	20.070	0.178	-0.010
0.500	106.573	80.013	19.996	103.683	20.068	0.367	-0.016
1.000	106.570	80.008	19.991	103.678	20.069	0.241	-0.011
1.500	106.550	80.013	19.995	103.676	20.068	0.311	-0.012
2.000	106.526	80.010	19.999	103.669	20.070	0.222	-0.033
2.500	106.556	80.007	19.997	103.665	20.070	0.191	-0.019
3.000	106.625	80.010	19.986	103.668	20.074	-0.102	0.052
3.500	106.588	80.019	19.993	103.674	20.066	0.525	0.065
4.000	106.606	80.015	19.995	103.677	20.063	0.731	0.006
4.500	106.583	80.012	19.994	103.681	20.069	0.262	-0.012
5.000	106.554	80.012	19.995	103.682	20.073	-0.054	-0.028
5.500	106.565	80.012	19.990	103.684	20.072	0.054	-0.035
6.000	106.543	80.015	19.994	103.680	20.069	0.289	-0.015
6.500	106.543	80.017	19.993	103.681	20.071	0.149	-0.016
7.000	106.539	80.010	20.000	103.684	20.072	0.083	-0.013
7.500	106.522	80.012	19.999	103.690	20.074	-0.093	-0.013
8.000	106.536	80.015	19.993	103.694	20.070	0.231	-0.012
8.500	106.542	80.015	19.993	103.700	20.071	0.120	0.008
9.000	106.600	80.010	19.995	103.702	20.071	0.152	0.042
9.500	106.555	80.012	19.999	103.703	20.072	0.031	0.039
10.000	106.558	80.008	19.997	103.703	20.076	-0.283	-0.014
10.500	106.592	80.011	19.991	103.702	20.073	-0.010	-0.003
11.000	106.560	80.013	19.997	103.702	20.069	0.274	0.020
11.500	106.601	80.011	19.992	103.703	20.069	0.299	0.005
12.000	106.534	80.006	19.993	103.705	20.069	0.278	-0.008
12.500	106.594	80.014	19.992	103.706	20.066	0.527	-0.016
13.000	106.602	80.014	19.995	103.711	20.067	0.401	0.031
13.500	106.588	80.014	19.991	103.711	20.064	0.636	0.031
14.000	106.628	80.016	19.989	103.718	20.063	0.702	0.010
14.500	106.592	80.014	19.990	103.724	20.064	0.663	0.015
15.000	106.633	80.010	19.992	103.730	20.064	0.659	0.005
15.500	106.620	80.013	19.995	103.736	20.060	0.917	0.017
16.000	106.607	80.009	19.993	103.741	20.062	0.776	0.001
16.500	106.597	80.014	19.992	103.743	20.060	0.961	-0.024
17.000	106.673	80.018	19.992	103.744	20.060	0.950	0.022
17.500	106.636	80.014	19.993	103.751	20.057	1.152	0.053
18.000	106.630	80.012	19.994	103.759	20.055	1.347	-0.002
18.500	106.713	80.008	19.992	103.770	20.060	0.966	0.017
19.000	106.707	80.005	19.992	103.778	20.055	1.349	0.077
19.500	106.794	80.008	19.993	103.790	20.058	1.072	0.079
20.000	106.768	80.010	19.992	103.800	20.053	1.506	0.071
20.500	106.757	80.006	19.992	103.803	20.054	1.432	0.012
21.000	106.807	80.012	19.990	103.801	20.051	1.660	0.001
21.500	106.822	80.011	19.994	103.786	20.052	1.521	0.053
22.001	106.839	80.005	19.998	103.762	20.048	1.816	0.049
22.501	106.901	80.014	19.991	103.742	20.049	1.748	0.055
23.000	106.915	80.010	19.994	103.734	20.051	1.598	0.077
23.500	106.934	80.010	19.994	103.732	20.050	1.729	0.054
24.000	106.954	80.014	19.991	103.746	20.048	1.877	0.036
24.500	107.025	80.008	19.996	103.773	20.046	1.995	0.066
25.000	107.039	80.010	19.995	103.793	20.048	1.823	0.088
25.500	107.037	80.011	19.995	103.837	20.048	1.833	0.048
26.000	107.086	80.008	19.994	103.885	20.046	2.016	0.029
26.501	107.149	80.011	19.992	103.910	20.047	1.894	0.080
27.001	107.153	80.012	19.993	103.920	20.047	1.962	0.090
27.500	107.218	80.010	19.989	103.927	20.052	1.516	0.068
28.000	107.263	80.006	19.996	103.905	20.044	2.123	0.090
28.500	107.313	80.011	19.994	103.872	20.051	1.605	0.102
29.000	107.361	80.012	19.996	103.857	20.046	1.969	0.096
29.500	107.401	80.010	19.994	103.849	20.044	2.154	0.094
30.000	107.414	80.010	19.995	103.841	20.043	2.208	0.070
30.500	107.485	80.010	19.995	103.832	20.047	1.927	0.068
31.000	107.578	80.012	19.993	103.829	20.046	2.015	0.124
31.500	107.612	80.010	19.995	103.829	20.042	2.329	0.146
32.000	107.652	80.009	19.996	103.834	20.044	2.148	0.101
32.500	107.761	80.016	19.992	103.838	20.041	2.385	0.111
33.000	107.798	80.008	19.998	103.842	20.037	2.645	0.147
33.500	107.897	80.011	19.991	103.846	20.036	2.786	0.141
34.000	107.930	80.012	19.997	103.851	20.037	2.651	0.134
34.500	107.967	80.014	19.995	103.852	20.036	2.720	0.101
35.000	108.046	80.011	19.992	103.855	20.036	2.759	0.093
35.500	108.130	80.012	19.993	103.858	20.033	2.959	0.139
36.000	108.191	80.005	19.995	103.863	20.036	2.736	0.154
36.500	108.271	80.013	19.989	103.862	20.034	2.915	0.143
37.001	108.346	80.016	19.990	103.869	20.033	2.956	0.148
37.501	108.416	80.015	19.992	103.875	20.035	2.800	0.150
38.000	108.494	80.007	19.990	103.876	20.032	3.073	0.147
38.500	108.557	80.004	19.990	103.880	20.038	2.603	0.145
39.000	108.682	80.013	19.985	103.882	20.029	3.272	0.164
39.500	108.762	80.015	19.993	103.882	20.031	3.112	0.196
40.000	108.809	80.010	19.995	103.884	20.033	2.977	0.166
40.501	108.940	80.016	19.994	103.889	20.032	3.065	0.153
41.001	108.977	80.014	19.993	103.891	20.033	3.009	0.173
41.501	109.106	80.008	19.994	103.894	20.030	3.206	0.167
42.001	109.178	80.014	19.994	103.895	20.033	2.992	0.183
42.500	109.297	80.016	19.996	103.895	20.034	2.886	0.196
43.000	109.355	80.013	19.996	103.894	20.030	3.196	0.184
43.500	109.513	80.013	19.996	103.895	20.030	3.181	0.197
44.000	109.567	80.010	19.994	103.897	20.030	3.204	0.214
44.500	109.686	80.009	19.991	103.896	20.031	3.134	0.193
45.000	109.747	80.012	19.992	103.897	20.028	3.360	0.177
45.500	109.891	80.012	19.995	103.897	20.030	3.179	0.193
46.000	109.969	80.015	19.991	103.897	20.034	2.872	0.214
46.500	110.056	80.014	19.998	103.898	20.029	3.302	0.194
47.000	110.147	80.007	20.001	103.897	20.034	2.924	0.171
47.501	110.253	80.007	19.989	103.893	20.032	3.019	0.187
48.001	110.379	80.010	19.994	103.888	20.031	3.125	0.214
48.500	110.495	80.011	19.996	103.884	20.031	3.144	0.237
49.000	110.585	80.010	19.992	103.878	20.033	2.978	0.224
49.500	110.709	80.010	19.989	103.875	20.031	3.119	0.210
50.000	110.828	80.013	19.992	103.877	20.030	3.217	0.228
50.500	110.913	80.010	19.996	103.882	20.030	3.183	0.223
51.000	111.043	80.006	20.002	103.885	20.031	3.100	0.210
