##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
50.534,10.015830000000001,-0.07371,0.004854871,1.05026
50.634,10.5045,-0.07520466,0.004674061,1.05024
50.734,10.68622,-0.07918375,0.0111644,1.0502200000000002
50.834,10.81133,-0.07961565,0.01383802,1.05021
50.934,10.91047,-0.08059151,0.0209198,1.05019
51.034,10.9946,-0.08020699,0.02443096,1.05017
51.134,11.07007,-0.0806167,0.02692014,1.05015
51.234,11.13911,-0.08189186,0.02932484,1.05013
51.334,11.20423,-0.0821833,0.03159664,1.0501200000000002
51.434,11.26543,-0.08191201,0.03466112,1.0501
51.534,11.32302,-0.08315226,0.03715936,1.05008
51.634,11.37779,-0.08360205,0.03977638,1.05006
51.734,11.430760000000001,-0.08457252,0.03983691,1.05005
51.834,11.482339999999999,-0.08456937,0.04281243,1.05003
51.934,11.53251,-0.08589048,0.04100566,1.05001
52.034,11.58117,-0.08718362,0.04491497,1.04999
52.134,11.62917,-0.08589944,0.04587476,1.04997
52.234,11.676039999999999,-0.08588513,0.04765474,1.04996
52.334,11.72225,-0.08590675,0.04783629,1.0499399999999999
52.434,11.76718,-0.08696736,0.04758131,1.04992
52.534,11.8117,-0.0868084,0.05042104,1.0499
52.634,11.85448,-0.08578148,0.0510134,1.04988
52.734,11.89741,-0.08678239,0.05118638,1.04987
52.834,11.9398,-0.08720009,0.05361281,1.04985
52.934,11.98225,-0.0871983,0.05484897,1.0498299999999998
53.034,12.02394,-0.08849326,0.05409887,1.0498100000000001
53.134,12.0657,-0.08852621,0.05522388,1.04979
53.234,12.10696,-0.08747736,0.05487009,1.04978
53.334,12.147910000000001,-0.08852619,0.05751762,1.04976
53.434,12.1884,-0.08865905,0.05784926,1.04974
53.534,12.22865,-0.08880326,0.05897103,1.04972
53.634,12.26853,-0.08851186,0.05785925,1.0497
53.734,12.30823,-0.08851243,0.06036336,1.04969
53.834,12.347710000000001,-0.08976831,0.0604116,1.04967
53.934,12.38677,-0.09013102,0.06013251,1.04965
54.034,12.42609,-0.09112067,0.0592887,1.0496299999999998
54.134,12.46527,-0.091148,0.06151763,1.04961
54.234,12.5043,-0.09149031,0.06092195,1.04959
54.334,12.544139999999999,-0.09106785,0.06181557,1.04958
54.434,12.582989999999999,-0.09115169,0.0615789,1.04956
54.534,12.62171,-0.09144944,0.06123267,1.04954
54.634,12.66003,-0.09247501,0.06208673,1.04952
54.734,12.698039999999999,-0.09246975,0.06139207,1.0495
54.834,12.73611,-0.09248927,0.0639891,1.04948
54.934,12.774280000000001,-0.09227322,0.06400879,1.0494700000000001
55.034,12.81194,-0.09246443,0.0651114,1.04945
55.134,12.84985,-0.09246979,0.06608164,1.0494299999999999
55.234,12.887739999999999,-0.09243704,0.06748128,1.04941
55.334,12.92539,-0.09357368,0.06656792,1.04939
55.434,12.9632,-0.09380271,0.0642282,1.0493700000000001
55.534,13.000960000000001,-0.09517428,0.06548029,1.04936
55.634,13.03876,-0.09511026,0.06578532,1.04934
55.734,13.07655,-0.09510054,0.06654816,1.04932
55.834,13.11403,-0.0951,0.06592194,1.0493
55.934,13.151489999999999,-0.09510018,0.06678842,1.04928
56.034,13.1884,-0.09510694,0.06733849,1.04926
56.134,13.225829999999998,-0.0952341,0.06762739,1.04924
56.234,13.262979999999999,-0.09492891,0.06702709,1.0492299999999999
56.334,13.3003,-0.0951034,0.06826869,1.04921
56.434,13.33751,-0.09510064,0.0694441,1.04919
56.534,13.375020000000001,-0.09509934,0.06891263,1.0491700000000002
56.634,13.41213,-0.09509133,0.06729993,1.04915
56.734,13.448789999999999,-0.09508188,0.06745021,1.04913
56.834,13.4858,-0.09636576,0.06808396,1.04911
56.934,13.52289,-0.09591947,0.06994496,1.0491
57.034,13.559679999999998,-0.09652036,0.06796768,1.04908
57.134,13.5967,-0.0964227,0.06831238,1.04906
57.234,13.633329999999999,-0.09641995,0.06970922,1.04904
57.334,13.670029999999999,-0.09641999,0.06913734,1.04902
57.434,13.706570000000001,-0.09642016,0.06950532,1.049
57.534,13.74298,-0.09642271,0.07083806,1.04898
57.634,13.7795,-0.09644862,0.07086455,1.0489600000000001
57.734,13.81575,-0.09772602,0.07003176,1.04895
57.834,13.852039999999999,-0.09773792,0.0711612,1.04893
57.934,13.8885,-0.09775121,0.06975994,1.04891
58.034,13.92484,-0.09826966,0.0715819,1.0488899999999999
58.134,13.9611,-0.09867053,0.07166517,1.04887
58.234,13.996920000000001,-0.09905845,0.07112075,1.04885
58.334,14.03302,-0.0990495,0.07368044,1.04883
58.434,14.069020000000002,-0.09901035,0.07148942,1.04881
58.534,14.10508,-0.10015,0.07105699,1.04879
58.634,14.141020000000001,-0.09917364,0.07033645,1.0487799999999998
58.734,14.176810000000001,-0.09870344,0.07361588,1.0487600000000001
58.834,14.21234,-0.09906469,0.07498261,1.04874
58.934,14.24811,-0.09904693,0.07437626,1.04872
59.034,14.28359,-0.09911086,0.07376651,1.0487
59.134,14.31913,-0.10032999999999999,0.0728968,1.0486799999999998
59.234,14.35457,-0.10039,0.0743116,1.04866
59.334,14.39,-0.10178,0.07413738,1.04864
59.434,14.42535,-0.10169,0.07537446,1.04862
59.534,14.46061,-0.10167999999999999,0.07532809,1.0486
59.634,14.496170000000001,-0.10169,0.07570521,1.04859
59.734,14.53121,-0.10199,0.07449584,1.04857
59.834,14.56649,-0.10201,0.07513567,1.04855
59.934,14.60159,-0.10201,0.0749875,1.04853
60.034,14.636729999999998,-0.10201,0.0766275,1.04851
60.134,14.67189,-0.10201,0.07539255,1.04849
60.234,14.70695,-0.10202,0.07468685,1.04847
60.334,14.741729999999999,-0.10231,0.07718496,1.04845
60.434,14.776470000000002,-0.10336,0.0761314,1.04843
60.534,14.81134,-0.10334000000000002,0.07730908,1.04841
60.634,14.84609,-0.10382999999999999,0.07667528,1.04839
60.734,14.88084,-0.10465,0.07577418,1.04837
60.834,14.915460000000001,-0.10595,0.07728094,1.04836
60.934,14.95019,-0.10597000000000001,0.07857091,1.04834
61.034,14.985,-0.10487,0.07697854,1.0483200000000001
61.134,15.01976,-0.1061,0.07556246,1.0483
61.234,15.05425,-0.10450999999999999,0.07555617,1.0482799999999999
61.334,15.0888,-0.10455999999999999,0.07719707,1.04826
61.434,15.123220000000002,-0.10587,0.07750611,1.04824
61.534,15.157589999999999,-0.10595,0.07697572,1.0482200000000002
61.634,15.192120000000001,-0.10595,0.0773568,1.0482
61.734,15.22683,-0.10597000000000001,0.07665096,1.04818
61.834,15.261,-0.10651,0.07753667,1.04816
61.934,15.29526,-0.10592,0.07826376,1.04814
62.034,15.3294,-0.10592,0.07872469,1.0481200000000002
62.134,15.363629999999999,-0.10722999999999999,0.0779642,1.0481
62.234,15.39781,-0.10726,0.07932397,1.04808
62.334,15.43208,-0.10858,0.07888513,1.04806
62.434,15.466629999999999,-0.10859,0.07783206,1.0480399999999999
62.534,15.500779999999999,-0.10860999999999998,0.0795077,1.0480200000000002
62.634,15.535039999999999,-0.10719000000000001,0.08026811,1.04801
62.734,15.56955,-0.10727,0.07976105,1.04799
62.834,15.60385,-0.1073,0.07774295,1.04797
62.934,15.63809,-0.10869000000000001,0.08011802,1.04795
63.034,15.6721,-0.1086,0.08074846,1.04793
63.134,15.706220000000002,-0.10859,0.08070521,1.0479100000000001
63.234,15.7405,-0.10862000000000001,0.08143745,1.04789
63.334,15.774729999999998,-0.1093,0.08002263,1.04787
63.434,15.80915,-0.10987999999999999,0.08098064,1.04785
63.534,15.843420000000002,-0.10991,0.08017994,1.0478299999999998
63.634,15.877379999999999,-0.10991,0.08142062,1.0478100000000001
63.734,15.911470000000001,-0.10991,0.08089522,1.04779
63.834,15.945770000000001,-0.10995,0.08055673,1.04777
63.934,15.9799,-0.10867,0.0800101,1.04775
64.034,16.01391,-0.10826,0.08076744,1.0477299999999998
64.134,16.04805,-0.10826,0.0804195,1.0477100000000001
64.234,16.08233,-0.10826,0.07929483,1.04769
64.334,16.1166,-0.10826,0.08205059,1.04767
64.434,16.15045,-0.10830999999999999,0.08331182,1.04765
64.534,16.18429,-0.10966,0.0835014,1.0476299999999998
64.634,16.2184,-0.11091,0.08186917,1.04761
64.734,16.25236,-0.11091,0.08226372,1.04759
64.834,16.286279999999998,-0.11227999999999999,0.08186143,1.0475700000000001
64.934,16.32038,-0.112,0.08153775,1.04755
65.034,16.35453,-0.11087999999999999,0.07963245,1.0475299999999999
65.134,16.388560000000002,-0.1109,0.08075805,1.04751
65.234,16.42247,-0.11114,0.07998658,1.04749
65.334,16.45655,-0.11155,0.08266389,1.0474700000000001
65.434,16.49053,-0.11185999999999999,0.08088628,1.04745
65.534,16.5243,-0.11219000000000001,0.08022034,1.0474299999999999
65.634,16.55835,-0.11220999999999999,0.07984163,1.04741
65.734,16.5922,-0.1122,0.0799832,1.04739
65.834,16.62605,-0.11210999999999999,0.08210872,1.0473700000000001
65.934,16.65983,-0.1135,0.08009016,1.04735
66.034,16.693920000000002,-0.11354000000000002,0.07860015,1.0473299999999999
66.134,16.72786,-0.11366,0.08136032,1.04731
66.234,16.7616,-0.11215,0.07802007,1.04729
66.334,16.795360000000002,-0.11220999999999999,0.08312813,1.0472700000000001
66.434,16.829279999999997,-0.11210999999999999,0.08072479,1.04725
