Names,Nylon_Carpet_High_Pile_R1,Nylon_Carpet_High_Pile_R2,Nylon_Carpet_High_Pile_R3,Mean,Std. Dev.
79,41.0,88.3,72.8,67.4,24.1
80,52.6,97.2,81.9,77.2,22.7
81,63.5,106.3,91.7,87.2,21.8
82,74.3,112.9,100.5,95.9,19.7
83,82.7,123.4,115.2,107.1,21.5
84,103.7,134.8,128.5,122.3,16.5
85,114.9,142.5,136.7,131.3,14.5
86,125.5,151.1,145.1,140.5,13.4
87,141.1,160.8,154.0,152.0,10.0
88,156.4,167.8,165.7,163.3,6.1
89,172.3,175.3,187.7,178.4,8.2
90,187.8,191.2,199.6,192.9,6.1
91,199.7,196.5,210.0,202.1,7.1
92,210.8,214.5,230.2,218.5,10.3
93,224.5,221.7,246.3,230.9,13.4
94,233.4,228.5,250.4,237.4,11.5
95,243.5,232.0,260.5,245.3,14.3
96,247.0,249.0,264.5,253.5,9.6
97,262.0,256.7,272.9,263.9,8.3
98,277.5,266.8,294.3,279.5,13.8
99,280.9,272.0,296.5,283.1,12.4
100,296.3,283.4,318.0,299.3,17.5
101,298.0,289.2,327.8,305.0,20.3
102,308.3,296.3,321.9,308.8,12.8
103,319.5,309.8,335.5,321.6,13.0
104,320.1,311.0,333.7,321.6,11.4
105,328.0,308.2,346.9,327.7,19.3
106,338.9,316.2,360.9,338.7,22.4
107,347.9,331.8,360.7,346.8,14.5
108,347.2,332.3,372.5,350.7,20.4
109,360.3,325.6,384.4,356.8,29.5
110,355.5,334.7,377.1,355.8,21.2
111,369.1,351.2,388.1,369.5,18.4
112,381.4,341.0,398.9,373.8,29.7
113,393.0,352.7,398.6,381.4,25.1
114,397.1,338.1,423.0,386.1,43.5
115,399.7,350.6,408.2,386.2,31.1
116,423.2,366.0,419.3,402.8,31.9
117,434.3,359.3,416.4,403.3,39.2
118,412.2,363.2,440.6,405.3,39.2
119,439.9,377.7,436.6,418.0,35.0
120,437.5,369.3,436.6,414.5,39.1
121,459.1,379.8,429.5,422.8,40.1
122,455.9,384.7,453.7,431.4,40.5
123,446.3,386.5,452.2,428.3,36.4
124,474.6,382.6,462.6,440.0,50.0
125,471.4,399.0,466.0,445.5,40.3
126,470.7,396.0,469.8,445.5,42.9
127,498.4,406.7,468.5,457.9,46.7
128,490.0,408.7,485.3,461.3,45.7
129,505.8,413.2,488.9,469.3,49.3
130,499.1,428.1,480.9,469.4,36.9
131,524.7,414.4,489.8,476.3,56.4
132,509.7,422.9,479.2,470.6,44.0
133,501.3,419.8,490.9,470.7,44.4
134,529.1,435.8,502.3,489.1,48.1
135,512.5,432.6,499.6,481.6,42.9
136,516.8,429.5,497.9,481.4,45.9
137,529.7,441.1,501.6,490.8,45.3
138,533.3,443.9,493.9,490.4,44.8
139,517.5,440.2,505.2,487.6,41.5
140,543.6,442.2,493.2,493.0,50.7
141,552.2,446.4,511.3,503.3,53.4
142,542.0,444.8,508.2,498.3,49.3
143,557.1,446.7,518.9,507.6,56.0
144,541.6,436.1,521.4,499.7,56.0
145,556.3,458.7,516.5,510.5,49.1
146,556.2,434.2,504.0,498.1,61.2
147,544.4,443.9,513.4,500.6,51.5
148,554.7,449.5,536.4,513.6,56.2
149,562.8,458.2,532.0,517.7,53.7
150,554.1,450.5,531.2,512.0,54.4
151,556.2,460.3,525.6,514.0,49.0
152,539.9,447.0,525.8,504.3,50.1
153,555.1,444.5,543.4,514.3,60.7
154,558.2,463.3,536.9,519.5,49.8
155,542.9,455.5,523.4,507.3,45.9
156,565.5,461.8,542.1,523.1,54.4
157,552.4,462.5,546.5,520.5,50.3
158,554.6,463.6,570.2,529.5,57.6
