LABORATORY,FSRI 
TEST IDENT,NylonCarpetLP_HF25_2
OPERATOR,Dow
MATERIAL,Nylon Carpet - low pile
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04186420142650604
SPEC HOLDER DIFF,-566
SPECIMEN MASS,26.280000686645508
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5291
TIME TO IGN,1003.75
END OF TEST SCAN,4811
END OF TEST TIME,1202.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.72 x 100.42 x 14.74 mm; 60 mm spacing
POST TEST CMT,Same as R1. Candle size ignition began at about 15:23 (923 s). See test pictures.
