Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13834838569164276,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.506684303283691,16.615966796875,1,1,1,1.0009111166000366,1.0460774898529053,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,39.26106643676758,42.654991149902344,157.64334106445312,100.44393157958984,100.53096008300781,-0.00040013817488215864,0.08133229613304138,20.869585037231445,-0.07398410141468048,-0.00793449766933918,,
1,0,37.72544860839844,40.18395233154297,157.0260009765625,100.44607543945312,100.67547607421875,-0.00037190731381997466,0.08177296817302704,20.872676849365234,578.726806640625,-0.020932799205183983,0.0,0.0
2,0.25,36.8660774230957,40.418670654296875,152.55320739746094,100.43494415283203,100.59333038330078,-0.00035489266156218946,0.08185363560914993,20.872804641723633,578.9369506835938,-0.014459333382546902,0.0,0.0
3,0.5,36.18659210205078,40.71455383300781,152.51121520996094,100.4283447265625,100.45793914794922,-0.0003395794774405658,0.08192624151706696,20.87245750427246,578.85693359375,-0.002703371923416853,0.0,0.0
4,0.75,36.90330123901367,39.81403350830078,163.3268280029297,100.425048828125,100.38289642333984,-0.0003257976204622537,0.08199158310890198,20.87214469909668,578.8369140625,0.003852925030514598,0.0,0.0
5,1,36.80955123901367,40.28396224975586,155.72384643554688,100.44153594970703,100.50712585449219,-0.0003133939462713897,0.0820503905415535,20.871864318847656,578.846923828125,-0.005990392994135618,0.0,0.0
6,1.25,36.75090026855469,40.229820251464844,160.1386260986328,100.43082427978516,100.75001525878906,-0.00030223061912693083,0.08210331946611404,20.871610641479492,578.746826171875,-0.029117614030838013,0.0,0.0
7,1.5,36.794864654541016,40.392818450927734,157.78392028808594,100.42669677734375,100.39151000976562,-0.0002909014583565295,0.08223659545183182,20.871383666992188,578.73681640625,0.003215439384803176,0.0,0.0
8,1.75,37.105281829833984,40.007572174072266,161.3568115234375,100.42999267578125,100.47518157958984,-0.0002807052223943174,0.0823565423488617,20.871179580688477,578.786865234375,-0.004128132481127977,0.0,0.0
9,2,37.231021881103516,40.204490661621094,160.29891967773438,100.44483184814453,100.39100646972656,-0.0002715286100283265,0.08246449381113052,20.870994567871094,578.726806640625,0.004918946884572506,0.0,0.0
10,2.25,36.688621520996094,39.98738479614258,154.57969665527344,100.43082427978516,100.54059600830078,-0.0002632696705404669,0.08256164938211441,20.87082862854004,578.73681640625,-0.010024307295680046,0.0,0.0
11,2.5,37.128849029541016,40.4055290222168,157.26641845703125,100.43082427978516,100.49546813964844,-0.00024942721938714385,0.08264908939599991,20.87067985534668,578.726806640625,-0.005904467776417732,0.0,0.0
12,2.75,36.89851760864258,40.3011360168457,156.11769104003906,100.43370819091797,100.37326049804688,-0.0002369690191699192,0.08278489857912064,20.87054443359375,578.666748046875,0.0055246115662157536,0.0,0.0
13,3,37.29695510864258,39.92607498168945,158.23577880859375,100.43700408935547,100.1628189086914,-0.00022575663751922548,0.08290712535381317,20.870424270629883,578.686767578125,0.025084415450692177,0.0,0.0
14,3.25,37.137413024902344,40.42607498168945,160.7919921875,100.44153594970703,100.19425964355469,-0.00021566549548879266,0.08301712572574615,20.870315551757812,578.716796875,0.022618668153882027,0.0,0.0
15,3.5,36.85615539550781,40.70164108276367,158.05564880371094,100.43741607666016,100.22012329101562,-0.00020658347057178617,0.08311612904071808,20.87021827697754,578.666748046875,0.019873924553394318,0.0,0.0
16,3.75,36.90549087524414,40.09933090209961,160.18214416503906,100.4361801147461,100.1146469116211,-0.00019840964523609728,0.08320523053407669,20.87013053894043,578.6767578125,0.029422959312796593,0.0,0.0
17,4,37.28750991821289,40.79476547241211,157.84727478027344,100.45925903320312,100.01728820800781,-0.00018784833082463592,0.083342544734478,20.87005043029785,578.69677734375,0.04045965149998665,0.0,0.0
18,4.25,37.36225128173828,40.36997985839844,155.87649536132812,100.45719909667969,99.96658325195312,-0.00017834315076470375,0.08346612751483917,20.869747161865234,578.646728515625,0.04492482915520668,0.0,0.0
19,4.5,37.28437423706055,40.469669342041016,161.14385986328125,100.4427719116211,99.94731140136719,-0.00016978848725557327,0.08357735723257065,20.869474411010742,578.646728515625,0.04537547007203102,0.0,0.0
20,4.75,36.63798904418945,40.72121810913086,155.24069213867188,100.44112396240234,99.689208984375,-0.0001620892871869728,0.08367746323347092,20.869230270385742,578.646728515625,0.06895217299461365,0.0,0.0
21,5,36.935890197753906,40.688682556152344,153.0126953125,100.43782806396484,99.69884490966797,-0.0001538782089482993,0.08376755565404892,20.869009017944336,578.6167602539062,0.06776434928178787,0.0,0.0
22,5.25,36.980892181396484,39.94048309326172,155.0147705078125,100.43865203857422,99.60401916503906,-0.0001464882370783016,0.0838986337184906,20.868810653686523,578.6167602539062,0.0765705555677414,0.0,0.0
23,5.5,37.34712600708008,40.44287872314453,161.04998779296875,100.43824005126953,99.83727264404297,-0.00013983725511934608,0.08401660621166229,20.86863136291504,578.606689453125,0.05506981536746025,0.0,0.0
24,5.75,37.32986068725586,40.59996795654297,159.940185546875,100.44441986083984,99.40422821044922,-0.00013385136844590306,0.08412277698516846,20.868471145629883,578.57666015625,0.09552283585071564,0.0,0.0
25,6,37.375213623046875,41.050437927246094,155.55516052246094,100.45101928710938,99.20951080322266,-0.00012077252176823094,0.084218330681324,20.86832618713379,578.57666015625,0.1141173467040062,0.0,0.0
26,6.25,37.363189697265625,40.43950271606445,156.97256469726562,100.44524383544922,99.14105987548828,-0.00012077252176823094,0.0843043327331543,20.86832618713379,578.566650390625,0.11992352455854416,0.0,0.0
27,6.5,37.87787628173828,40.24032211303711,161.13394165039062,100.43412017822266,98.95901489257812,-0.00010900155757553875,0.08443174511194229,20.867965698242188,578.5466918945312,0.13577133417129517,0.0,0.0
28,6.75,37.16307830810547,40.44415283203125,159.69439697265625,100.4357681274414,98.88650512695312,-9.840769052971154e-05,0.08454641699790955,20.86764144897461,578.5466918945312,0.14264842867851257,0.0,0.0
29,7,37.207679748535156,40.66306686401367,162.7940673828125,100.45555114746094,98.64310455322266,-8.887321018846706e-05,0.08464961498975754,20.86734962463379,578.526611328125,0.16706931591033936,0.0,0.0
30,7.25,36.86269760131836,40.43989562988281,154.85829162597656,100.43988800048828,98.50010681152344,-6.1053826357238e-05,0.08474249392747879,20.86708641052246,578.506591796875,0.1789502203464508,0.0,0.0
31,7.5,37.91783142089844,41.05078887939453,155.84902954101562,100.43329620361328,98.38094329833984,-3.6016383091919124e-05,0.08482608944177628,20.866849899291992,578.506591796875,0.18945612013339996,0.0,0.0
32,7.75,37.45061492919922,41.03486633300781,155.2643585205078,100.44318389892578,98.21817016601562,-1.348268415313214e-05,0.08493705093860626,20.866636276245117,578.5166015625,0.2055545151233673,0.0,0.0
33,8,37.54230499267578,41.27224349975586,152.0723419189453,100.44895935058594,98.1836929321289,6.797645255574025e-06,0.08503691107034683,20.866445541381836,578.5166015625,0.20930393040180206,0.0,0.0
34,8.25,37.040672302246094,40.97341537475586,155.92001342773438,100.43741607666016,97.92406463623047,2.5049941541510634e-05,0.08512678742408752,20.866273880004883,578.526611328125,0.23254582285881042,0.0,0.0
35,8.5,37.673545837402344,41.47905349731445,154.63771057128906,100.43412017822266,97.65886688232422,7.615490176249295e-05,0.08520767837762833,20.865886688232422,578.5166015625,0.25712886452674866,0.0,0.0
36,8.75,37.95333480834961,40.727081298828125,154.79493713378906,100.43082427978516,97.85916137695312,0.00012214937305543572,0.08540914207696915,20.86553955078125,578.4866333007812,0.23802708089351654,0.0,0.0
37,9,37.33102798461914,40.32392883300781,158.3350067138672,100.4394760131836,97.66393280029297,0.0001635443913983181,0.08559045940637589,20.86522674560547,578.4765625,0.25714269280433655,0.0,0.0
38,9.25,37.428680419921875,40.93849182128906,158.24266052246094,100.43824005126953,97.07876586914062,0.00023811680148355663,0.08559045940637589,20.864944458007812,578.466552734375,0.31217440962791443,0.0,0.0
39,9.5,37.6978874206543,41.4511604309082,159.8134765625,100.42752075195312,97.02806091308594,0.00030523198074661195,0.08575364947319031,20.862384796142578,578.4365234375,0.3159893751144409,0.0,0.0
40,9.75,37.553550720214844,41.20155334472656,153.53553771972656,100.43535614013672,96.93729400634766,0.00036563564208336174,0.08702602982521057,20.86008071899414,578.446533203125,0.3252933919429779,0.0,0.0
41,10,37.86164855957031,41.03497314453125,159.0677490234375,100.44194793701172,97.33027648925781,0.0004199989198241383,0.08817116916179657,20.858007431030273,578.4265747070312,0.2887710928916931,0.0,1.0
42,10.25,37.74613952636719,40.84382247924805,156.6680145263672,100.4427719116211,95.63713836669922,0.0004689258639700711,0.08920179307460785,20.85614013671875,578.396484375,0.4498768448829651,0.0,1.0
43,10.5,37.35201644897461,41.51750564575195,157.2877960205078,100.44029998779297,96.51742553710938,0.0005129601340740919,0.09012935310602188,20.854459762573242,578.37646484375,0.36557579040527344,0.0,1.0
44,10.75,37.560951232910156,41.05256271362305,156.9527130126953,100.42381286621094,96.48041534423828,0.0005964349838905036,0.09096416085958481,20.852947235107422,578.33642578125,0.3675895929336548,0.0,1.0
45,11,37.31163787841797,41.020111083984375,161.7895965576172,100.43782806396484,95.78926086425781,0.0006715623312629759,0.09570144861936569,20.843280792236328,578.2763671875,0.4348413050174713,0.0,1.0
46,11.25,37.75634002685547,41.096866607666016,152.91651916503906,100.43123626708984,96.5767593383789,0.0007391769322566688,0.09996500611305237,20.834579467773438,578.186279296875,0.3591088652610779,0.0,1.0
47,11.5,37.80939483642578,41.51617431640625,148.150634765625,100.43123626708984,98.66693878173828,0.0008000300731509924,0.10380221158266068,20.826749801635742,578.2263793945312,0.1626320332288742,0.0,1.0
48,11.75,38.00880432128906,41.36339569091797,149.79090881347656,100.43123626708984,100.59181213378906,0.0008547978941351175,0.10725569725036621,20.8197021484375,578.2163696289062,-0.014659831300377846,0.0,1.0
49,12,37.636070251464844,42.17431640625,150.11758422851562,100.44194793701172,100.736328125,0.000940271420404315,0.11681417375802994,20.8133602142334,578.1663208007812,-0.02685459703207016,0.0,1.0
50,12.25,38.06558609008789,42.08570861816406,152.0494384765625,100.4283447265625,101.49796295166016,0.001017197617329657,0.1254168003797531,20.79680633544922,578.266357421875,-0.09721419215202332,0.0,1.0
51,12.5,38.0953254699707,41.839866638183594,145.5730438232422,100.43206024169922,100.65164184570312,0.0010864312062039971,0.13315917551517487,20.78190803527832,578.1663208007812,-0.020040391013026237,0.0,1.0
52,12.75,38.57060241699219,42.989105224609375,143.3641357421875,100.43700408935547,100.13037109375,0.0011487413430586457,0.1401273012161255,20.76849937438965,578.126220703125,0.028057705610990524,0.0,1.0
53,13,38.667903900146484,43.54849624633789,147.2346954345703,100.4423599243164,100.47315216064453,0.0012048204662278295,0.15507464110851288,20.756431579589844,578.0462036132812,-0.002812792779877782,0.0,1.0
54,13.25,39.36593246459961,44.609100341796875,136.51144409179688,100.43206024169922,99.98179626464844,0.0012870068894699216,0.1685272604227066,20.73426628112793,577.99609375,0.04123177006840706,0.0,1.0
55,13.5,39.61441421508789,44.40201950073242,140.17440795898438,100.43329620361328,99.81902313232422,0.0013609747402369976,0.18063461780548096,20.714317321777344,577.9461059570312,0.056295160204172134,0.0,1.0
56,13.75,39.972347259521484,45.25444793701172,134.35061645507812,100.4328842163086,100.79312133789062,0.0014275457942858338,0.1915312260389328,20.69636344909668,577.9160766601562,-0.032854318618774414,0.0,1.0
57,14,40.18754959106445,45.967498779296875,138.00746154785156,100.43370819091797,100.4102783203125,0.0015146858058869839,0.20133818686008453,20.680204391479492,577.8860473632812,0.0021404705476015806,0.0,1.0
58,14.25,40.2108039855957,45.561641693115234,133.95448303222656,100.4394760131836,99.36670684814453,0.0015931117814034224,0.21891821920871735,20.654356002807617,577.8560180664062,0.09853507578372955,0.0,1.0
59,14.5,40.830196380615234,46.846946716308594,139.5309600830078,100.42134094238281,100.74190521240234,0.0016636952059343457,0.2347402423620224,20.631092071533203,577.7759399414062,-0.02924545481801033,0.0,0.0
60,14.75,40.73186111450195,46.79648971557617,140.44384765625,100.43453216552734,99.19632720947266,0.0017272202530875802,0.2489800751209259,20.61015510559082,577.7158813476562,0.1138310506939888,0.0,0.0
61,15,41.174991607666016,47.80349349975586,138.06089782714844,100.43824005126953,99.09187316894531,0.0018162047490477562,0.26179590821266174,20.591310501098633,577.6358032226562,0.12383650988340378,0.0,0.0
62,15.25,41.239620208740234,48.04688262939453,135.18411254882812,100.44153594970703,99.0082015991211,0.0018962908070534468,0.2733301818370819,20.565582275390625,577.5657348632812,0.13188931345939636,0.0,0.0
63,15.5,42.004058837890625,48.59861755371094,136.8312530517578,100.42134094238281,99.25616455078125,0.001968368189409375,0.2837110161781311,20.54242706298828,577.5156860351562,0.10709232091903687,0.0,0.0
64,15.75,42.16801071166992,49.30628967285156,135.65277099609375,100.44648742675781,99.20748138427734,0.0020332378335297108,0.30115267634391785,20.521587371826172,577.4956665039062,0.11389154195785522,0.0,0.0
65,16,42.485435485839844,50.138248443603516,140.8254852294922,100.43535614013672,99.175537109375,0.002091620583087206,0.3168501853942871,20.502832412719727,577.4356079101562,0.11582955718040466,0.0,0.0
66,16.25,43.2039794921875,50.86591339111328,135.07115173339844,100.42422485351562,98.75872039794922,0.0021831896156072617,0.3309779465198517,20.4794921875,577.3755493164062,0.15345950424671173,0.0,0.0
67,16.5,43.410457611083984,51.566070556640625,139.0325469970703,100.42628479003906,99.13040924072266,0.0022656016517430544,0.34369292855262756,20.458486557006836,577.3154907226562,0.1191774383187294,0.0,0.0
68,16.75,43.988807678222656,52.117431640625,139.05926513671875,100.43164825439453,99.4843521118164,0.0023397726472467184,0.3602173924446106,20.4395809173584,577.3255004882812,0.08696236461400986,0.0,0.0
69,17,43.986873626708984,52.59213638305664,132.86146545410156,100.44441986083984,98.27800750732422,0.002406526356935501,0.3750894069671631,20.422565460205078,577.2855224609375,0.20007841289043427,0.0,0.0
70,17.25,43.996952056884766,52.98954772949219,135.07725524902344,100.42793273925781,98.1705093383789,0.0024666048120707273,0.3884742259979248,20.407251358032227,577.2254638671875,0.2086142599582672,0.0,0.0
71,17.5,44.52140808105469,53.6156120300293,139.7446746826172,100.4139175415039,97.78563690185547,0.002583930501714349,0.40052056312561035,20.393468856811523,577.1553955078125,0.2433793693780899,0.0,0.0
72,17.75,45.424827575683594,54.731624603271484,135.08106994628906,100.4390640258789,98.10154724121094,0.002689523622393608,0.4156932532787323,20.375988006591797,577.1453857421875,0.2160802185535431,0.0,0.0
73,18,46.13578796386719,54.71737289428711,133.95677185058594,100.43164825439453,98.21310424804688,0.002784557407721877,0.4293486773967743,20.36025619506836,577.0452880859375,0.20497368276119232,0.0,0.0
74,18.25,45.51807403564453,55.3771858215332,134.68417358398438,100.42875671386719,98.71967315673828,0.002870087744668126,0.4416385591030121,20.346097946166992,576.9752197265625,0.15750230848789215,0.0,0.0
75,18.5,46.20610809326172,55.945858001708984,133.1377716064453,100.4324722290039,97.99353790283203,0.00294706504791975,0.4526994526386261,20.333354949951172,576.8951416015625,0.22558636963367462,0.0,0.0
76,18.75,46.8634033203125,56.80836486816406,132.27755737304688,100.43370819091797,97.23088836669922,0.003061464987695217,0.46645793318748474,20.32188606262207,576.8450927734375,0.297393262386322,0.0,0.0
77,19,47.258235931396484,57.36720657348633,136.6358642578125,100.4361801147461,97.88755798339844,0.003164425026625395,0.47884058952331543,20.307872772216797,576.8051147460938,0.2358545958995819,0.0,0.0
78,19.25,47.5101203918457,58.094486236572266,136.6763153076172,100.42628479003906,97.45045471191406,0.0032570890616625547,0.4899849593639374,20.29526138305664,576.7550048828125,0.27601686120033264,0.0,0.0
79,19.5,48.12649917602539,58.757102966308594,132.68972778320312,100.42340087890625,96.8013916015625,0.0033404866699129343,0.5000149011611938,20.283910751342773,576.6849365234375,0.3370746672153473,0.0,0.0
80,19.75,48.1627311706543,59.206565856933594,132.2493133544922,100.43865203857422,95.75376892089844,0.003460112027823925,0.5127488374710083,20.27369499206543,576.6549072265625,0.4383167624473572,0.0,0.0
81,20,48.953243255615234,59.871578216552734,132.9759521484375,100.43164825439453,96.17058563232422,0.0035677750129252672,0.5242093801498413,20.26150131225586,576.5648193359375,0.39782002568244934,0.0,0.0
82,20.25,48.797237396240234,60.845733642578125,133.50643920898438,100.43123626708984,96.74561309814453,0.003664671676233411,0.5345239043235779,20.250526428222656,576.5448608398438,0.34307974576950073,0.0,0.0
83,20.5,49.471351623535156,61.3892822265625,134.75363159179688,100.4283447265625,96.6340560913086,0.003781427163630724,0.5438069701194763,20.240650177001953,576.4547119140625,0.353402704000473,0.0,0.0
84,20.75,49.83447265625,61.509010314941406,143.04202270507812,100.44194793701172,96.53416442871094,0.00388650712557137,0.552161693572998,20.231760025024414,576.3946533203125,0.36413559317588806,0.0,0.0
85,21,50.024818420410156,62.06271743774414,135.40164184570312,100.4361801147461,95.80548858642578,0.00398107897490263,0.5629796385765076,20.2237606048584,576.3245849609375,0.4331364333629608,0.0,0.0
86,21.25,50.295597076416016,62.64630889892578,124.97760009765625,100.43700408935547,96.99813842773438,0.0040661939419806,0.5727158188819885,20.21656036376953,576.2545166015625,0.31968653202056885,0.0,0.0
87,21.5,50.895103454589844,62.632266998291016,129.9259033203125,100.42752075195312,96.4682388305664,0.004142797086387873,0.5814783573150635,20.2059268951416,576.2045288085938,0.36908596754074097,0.0,0.0
88,21.75,51.24394989013672,63.57425308227539,135.32379150390625,100.43123626708984,96.67665100097656,0.004211740102618933,0.5893646478652954,20.19635581970215,576.1344604492188,0.3496221601963043,0.0,0.0
89,22,51.448307037353516,64.3751220703125,136.42520141601562,100.44895935058594,95.79383087158203,0.004273788537830114,0.5964623093605042,20.187742233276367,576.1044311523438,0.43542027473449707,0.0,0.0
90,22.25,51.92869567871094,64.6530532836914,131.49215698242188,100.43659210205078,95.31007385253906,0.004329632502049208,0.6051226854324341,20.179990768432617,576.0443725585938,0.48074716329574585,0.0,0.0
91,22.5,52.44700241088867,65.35328674316406,132.57142639160156,100.43164825439453,95.34049987792969,0.00441277539357543,0.6129170060157776,20.172149658203125,575.9843139648438,0.47736668586730957,0.0,0.0
92,22.75,52.53642654418945,65.75212097167969,130.6250762939453,100.45225524902344,94.74366760253906,0.0044876039028167725,0.6199318766593933,20.16509246826172,575.9442749023438,0.5368724465370178,0.0,0.0
93,23,52.889225006103516,66.16161346435547,130.54263305664062,100.43865203857422,95.302978515625,0.004554949700832367,0.6262452602386475,20.158740997314453,575.8942260742188,0.48161807656288147,0.0,0.0
94,23.25,53.179141998291016,66.97685241699219,131.72341918945312,100.43782806396484,95.38562774658203,0.00461556063964963,0.6334142088890076,20.153024673461914,575.8141479492188,0.47358810901641846,0.0,0.0
95,23.5,53.481842041015625,67.61247253417969,137.08619689941406,100.43041229248047,95.92363739013672,0.004689866676926613,0.639866292476654,20.14788055419922,575.734130859375,0.42130032181739807,0.0,0.0
96,23.75,53.499359130859375,67.60478973388672,130.34495544433594,100.44153594970703,96.12596130371094,0.0047567421570420265,0.6456731557846069,20.1423282623291,575.6840209960938,0.40298256278038025,0.0,0.0
97,24,53.6871223449707,68.35505676269531,137.60293579101562,100.4390640258789,95.97891235351562,0.004816930275410414,0.650899350643158,20.137331008911133,575.6439819335938,0.41680458188056946,0.0,0.0
98,24.25,54.809349060058594,68.75692749023438,134.06668090820312,100.40279388427734,95.00582885742188,0.0048710997216403484,0.6556028723716736,20.13283348083496,575.60400390625,0.5069970488548279,0.0,0.0
99,24.5,54.57110595703125,69.05970764160156,130.87924194335938,100.38919067382812,95.4571304321289,0.004919852130115032,0.6598360538482666,20.128786087036133,575.5238647460938,0.46226802468299866,0.0,0.0
100,24.75,54.995243072509766,69.7119140625,127.4857177734375,100.41598510742188,94.91809844970703,0.004963729064911604,0.6657354235649109,20.12514305114746,575.48388671875,0.5166803002357483,0.0,0.0
101,25,55.51161193847656,70.01861572265625,133.72015380859375,100.40938568115234,95.09862518310547,0.005040809046477079,0.6710448861122131,20.121864318847656,575.4437866210938,0.49864116311073303,0.0,0.0
102,25.25,55.88628005981445,70.39160919189453,132.13330078125,100.41969299316406,95.40084075927734,0.00511018093675375,0.6758233904838562,20.117067337036133,575.40380859375,0.4704678952693939,0.0,0.0
103,25.5,55.39535140991211,71.07047271728516,140.59649658203125,100.4357681274414,95.83287048339844,0.005172615870833397,0.680124044418335,20.112749099731445,575.3037109375,0.4304763674736023,0.0,0.0
104,25.75,55.88977813720703,71.29843139648438,131.5974884033203,100.46297454833984,94.57075500488281,0.005228807218372822,0.6839945912361145,20.108861923217773,575.2536010742188,0.5546132326126099,0.0,0.0
105,26,56.7917366027832,71.6861801147461,134.4384002685547,100.44153594970703,94.11539459228516,0.005314395762979984,0.6874781250953674,20.105363845825195,575.213623046875,0.5969451069831848,0.0,0.0
106,26.25,56.934600830078125,72.46057891845703,134.58265686035156,100.44194793701172,94.82023620605469,0.0053914254531264305,0.6922628283500671,20.100831985473633,575.1435546875,0.5285179615020752,0.0,0.0
107,26.5,57.151954650878906,72.51998901367188,130.79681396484375,100.4423599243164,93.88568878173828,0.005460752174258232,0.69656902551651,20.096752166748047,575.093505859375,0.6194435358047485,0.0,0.0
108,26.75,57.19370651245117,72.83589935302734,133.3331756591797,100.44731140136719,93.24980926513672,0.005523146130144596,0.7004446387290955,20.093080520629883,575.04345703125,0.6822563409805298,0.0,0.0
109,27,57.11788558959961,73.71913146972656,133.17745971679688,100.44648742675781,91.8289794921875,0.005617028102278709,0.7039327025413513,20.08977699279785,574.993408203125,0.8230718374252319,0.0,0.0
110,27.25,57.68935012817383,74.50375366210938,131.5432891845703,100.43700408935547,92.83552551269531,0.005701521877199411,0.7070719599723816,20.086572647094727,574.893310546875,0.7221728563308716,0.0,0.0
111,27.5,58.22214126586914,74.33798217773438,132.90802001953125,100.44318389892578,93.00641632080078,0.0057775662280619144,0.7110168933868408,20.083688735961914,574.853271484375,0.7058616280555725,0.0,0.0
