Sample ID:	C:\MCC\MCC Cal\Test\OSB_30_1.txt
Sample Weight (mg):	4.63
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	106.120	79.995	19.992	99.720	20.512	-0.098	0.016
0.499	106.119	79.995	19.992	99.719	20.514	-0.232	0.011
1.000	106.116	79.994	19.992	99.718	20.511	-0.061	-0.001
1.500	106.079	79.994	19.992	99.718	20.515	-0.283	-0.022
2.000	106.118	79.995	19.992	99.718	20.512	-0.136	-0.019
2.500	106.105	79.993	19.992	99.715	20.511	-0.055	0.014
2.999	106.086	79.995	19.991	99.716	20.514	-0.214	-0.003
3.499	106.110	79.994	19.991	99.715	20.514	-0.256	-0.013
3.999	106.144	79.994	19.991	99.715	20.509	0.096	0.031
4.499	106.128	79.995	19.992	99.715	20.513	-0.155	0.037
4.999	106.139	79.994	19.991	99.715	20.511	-0.053	0.006
5.499	106.129	79.994	19.992	99.715	20.515	-0.333	-0.002
6.000	106.127	79.994	19.992	99.717	20.516	-0.414	-0.005
6.500	106.096	79.995	19.991	99.715	20.516	-0.352	-0.023
6.999	106.105	79.994	19.993	99.715	20.516	-0.379	-0.027
7.499	106.129	79.995	19.990	99.715	20.515	-0.285	0.006
7.999	106.138	79.994	19.992	99.715	20.512	-0.105	0.033
8.499	106.105	79.994	19.991	99.715	20.511	-0.077	0.004
8.999	106.091	79.993	19.992	99.716	20.513	-0.169	-0.036
9.499	106.131	79.995	19.991	99.717	20.512	-0.142	-0.011
9.999	106.090	79.996	19.993	99.718	20.509	0.079	0.012
10.499	106.116	79.995	19.992	99.718	20.512	-0.129	-0.008
10.999	106.102	79.994	19.992	99.721	20.510	0.006	-0.002
11.499	106.094	79.994	19.993	99.727	20.509	0.105	-0.005
11.999	106.099	79.996	19.989	99.734	20.507	0.210	-0.012
12.499	106.097	79.996	19.990	99.745	20.509	0.072	0.000
12.999	106.086	79.995	19.991	99.761	20.506	0.302	-0.005
13.499	106.137	79.997	19.990	99.774	20.509	0.077	0.013
13.999	106.128	79.994	19.991	99.783	20.502	0.527	0.041
14.499	106.157	79.995	19.992	99.790	20.507	0.230	0.031
14.999	106.134	79.994	19.992	99.795	20.509	0.118	0.013
15.499	106.144	79.995	19.991	99.795	20.502	0.547	-0.004
15.999	106.177	79.995	19.991	99.795	20.499	0.745	0.015
16.499	106.145	79.995	19.991	99.795	20.503	0.516	0.022
16.999	106.194	79.993	19.991	99.796	20.498	0.818	0.009
17.499	106.159	79.995	19.991	99.797	20.496	0.990	0.015
17.999	106.196	79.996	19.991	99.804	20.497	0.923	0.008
18.499	106.212	79.995	19.991	99.812	20.496	0.940	0.028
18.999	106.247	79.995	19.991	99.819	20.497	0.888	0.052
19.499	106.303	79.994	19.992	99.827	20.490	1.338	0.071
19.999	106.315	79.994	19.992	99.833	20.492	1.250	0.079
20.499	106.310	79.995	19.993	99.837	20.492	1.211	0.037
20.999	106.373	79.996	19.991	99.843	20.494	1.112	0.033
21.499	106.395	79.995	19.991	99.851	20.491	1.292	0.072
22.000	106.397	79.995	19.991	99.859	20.489	1.436	0.055
22.500	106.416	79.996	19.991	99.868	20.485	1.703	0.022
22.999	106.451	79.994	19.991	99.874	20.482	1.906	0.037
23.499	106.502	79.995	19.991	99.876	20.483	1.827	0.070
23.999	106.523	79.995	19.991	99.882	20.480	2.028	0.079
24.499	106.581	79.995	19.992	99.889	20.478	2.144	0.075
24.999	106.587	79.993	19.990	99.894	20.478	2.185	0.072
25.499	106.650	79.993	19.991	99.893	20.478	2.192	0.067
25.999	106.681	79.994	19.991	99.892	20.478	2.178	0.081
26.499	106.729	79.994	19.991	99.887	20.475	2.346	0.086
26.999	106.812	79.994	19.992	99.879	20.476	2.329	0.105
27.499	106.850	79.993	19.991	99.876	20.473	2.527	0.126
28.000	106.911	79.993	19.992	99.882	20.472	2.606	0.110
28.500	106.934	79.993	19.991	99.886	20.473	2.521	0.092
28.999	106.991	79.994	19.992	99.890	20.473	2.501	0.082
29.499	107.016	79.993	19.992	99.891	20.473	2.543	0.081
29.999	107.043	79.995	19.991	99.891	20.474	2.422	0.067
30.499	107.190	79.993	19.991	99.891	20.471	2.634	0.113
31.000	107.197	79.994	19.990	99.894	20.473	2.521	0.164
31.500	107.254	79.993	19.992	99.898	20.472	2.600	0.109
32.000	107.320	79.993	19.991	99.904	20.471	2.632	0.094
32.500	107.402	79.993	19.991	99.911	20.474	2.436	0.136
33.000	107.449	79.993	19.991	99.913	20.470	2.737	0.139
33.499	107.516	79.994	19.992	99.914	20.472	2.556	0.122
34.000	107.579	79.993	19.991	99.914	20.470	2.735	0.122
34.500	107.666	79.993	19.993	99.914	20.467	2.894	0.140
34.999	107.722	79.993	19.992	99.915	20.470	2.698	0.147
35.499	107.830	79.994	19.992	99.916	20.467	2.942	0.154
35.999	107.885	79.994	19.993	99.919	20.469	2.785	0.163
36.499	107.944	79.995	19.992	99.927	20.466	3.014	0.138
36.999	108.017	79.994	19.991	99.933	20.467	2.916	0.123
37.499	108.048	79.993	19.992	99.939	20.468	2.831	0.118
37.999	108.172	79.994	19.993	99.946	20.470	2.684	0.129
38.499	108.228	79.995	19.991	99.951	20.469	2.770	0.167
38.999	108.316	79.994	19.992	99.951	20.465	3.064	0.162
39.499	108.434	79.993	19.992	99.953	20.467	2.903	0.175
39.999	108.518	79.994	19.991	99.955	20.468	2.837	0.204
40.499	108.580	79.993	19.992	99.955	20.469	2.781	0.174
40.999	108.683	79.993	19.991	99.955	20.468	2.859	0.156
41.499	108.804	79.995	19.991	99.955	20.470	2.697	0.195
41.999	108.890	79.996	19.992	99.950	20.468	2.850	0.215
42.499	109.005	79.994	19.992	99.949	20.469	2.761	0.204
42.999	109.078	79.994	19.992	99.949	20.468	2.883	0.195
43.499	109.181	79.995	19.991	99.949	20.464	3.108	0.182
43.999	109.296	79.997	19.992	99.950	20.466	3.000	0.197
44.500	109.427	79.994	19.992	99.953	20.462	3.241	0.232
45.000	109.513	79.995	19.992	99.955	20.462	3.262	0.231
45.499	109.647	79.994	19.991	99.959	20.463	3.164	0.219
45.999	109.750	79.996	19.992	99.959	20.463	3.159	0.229
46.499	109.853	79.995	19.990	99.959	20.462	3.256	0.222
46.999	109.940	79.997	19.990	99.960	20.460	3.383	0.198
47.499	110.069	79.995	19.991	99.960	20.460	3.371	0.203
47.999	110.185	79.995	19.992	99.958	20.462	3.260	0.230
48.499	110.288	79.996	19.992	99.960	20.461	3.327	0.232
48.999	110.434	79.995	19.991	99.961	20.462	3.286	0.234
49.499	110.553	79.996	19.993	99.963	20.459	3.441	0.257
49.999	110.657	79.997	19.992	99.964	20.457	3.585	0.244
50.499	110.825	79.996	19.991	99.964	20.455	3.714	0.247
50.999	110.946	79.995	19.991	99.966	20.452	3.923	0.280
51.500	111.082	79.995	19.991	99.965	20.452	3.902	0.273
52.000	111.212	79.995	19.991	99.965	20.455	3.719	0.262
52.500	111.337	79.994	19.992	99.965	20.457	3.595	0.260
53.000	111.460	79.994	19.992	99.967	20.455	3.752	0.251
53.499	111.596	79.994	19.992	99.969	20.456	3.691	0.253
53.999	111.763	79.996	19.992	99.975	20.453	3.841	0.281
54.499	111.895	79.994	19.991	99.981	20.451	3.968	0.302
54.999	112.033	79.995	19.993	99.987	20.454	3.800	0.285
55.499	112.205	79.994	19.991	99.988	20.451	3.965	0.290
56.000	112.352	79.995	19.992	99.990	20.455	3.760	0.314
56.500	112.472	79.995	19.992	99.991	20.454	3.800	0.293
56.999	112.594	79.994	19.992	99.990	20.455	3.695	0.254
57.499	112.746	79.994	19.992	99.988	20.455	3.743	0.258
57.999	112.877	79.996	19.993	99.987	20.455	3.745	0.278
58.500	113.038	79.995	19.992	99.987	20.455	3.732	0.287
59.000	113.181	79.994	19.993	99.986	20.452	3.957	0.298
59.499	113.375	79.995	19.994	99.993	20.454	3.764	0.321
59.999	113.538	79.996	19.994	100.003	20.449	4.110	0.347
60.499	113.626	79.995	19.993	100.008	20.452	3.959	0.304
61.000	113.815	79.995	19.991	100.008	20.453	3.885	0.264
61.500	113.970	79.995	19.993	100.007	20.458	3.548	0.310
61.999	114.135	79.994	19.993	99.996	20.454	3.815	0.332
62.499	114.303	79.995	19.993	99.986	20.452	3.920	0.327
62.999	114.447	79.994	19.992	99.981	20.454	3.812	0.322
63.499	114.604	79.995	19.993	99.981	20.456	3.653	0.307
63.999	114.733	79.995	19.992	99.981	20.452	3.952	0.294
64.499	114.936	79.995	19.993	99.983	20.454	3.791	0.309
64.999	115.094	79.996	19.992	99.985	20.455	3.754	0.346
65.499	115.240	79.996	19.993	99.986	20.454	3.819	0.333
65.999	115.402	79.996	19.993	99.986	20.458	3.531	0.306
66.499	115.610	79.995	19.992	99.986	20.455	3.714	0.339
66.999	115.772	79.996	19.992	99.988	20.454	3.789	0.370
67.499	115.967	79.996	19.993	99.988	20.454	3.826	0.363
67.999	116.102	79.996	19.992	99.989	20.453	3.880	0.343
68.499	116.286	79.997	19.991	99.989	20.452	3.944	0.325
68.999	116.458	79.998	19.992	99.990	20.450	4.066	0.337
69.500	116.660	79.996	19.991	99.990	20.451	3.972	0.365
70.000	116.858	79.997	19.992	99.990	20.454	3.810	0.387
70.499	117.012	79.996	19.993	99.990	20.452	3.898	0.376
70.999	117.201	79.997	19.992	99.990	20.452	3.921	0.348
71.499	117.378	79.997	19.992	99.990	20.455	3.708	0.355
71.999	117.579	79.998	19.991	99.989	20.451	4.028	0.372
72.499	117.764	79.997	19.991	99.990	20.453	3.887	0.382
72.999	117.958	79.998	19.991	99.991	20.454	3.762	0.383
73.499	118.120	79.998	19.991	99.991	20.454	3.782	0.368
74.000	118.304	79.999	19.991	99.991	20.454	3.771	0.351
74.500	118.487	79.998	19.992	99.990	20.453	3.882	0.357
74.999	118.702	79.997	19.991	99.990	20.448	4.182	0.383
75.499	118.907	79.998	19.991	99.990	20.456	3.684	0.409
75.999	119.075	79.997	19.992	99.990	20.455	3.753	0.396
76.499	119.268	79.997	19.990	99.990	20.452	3.954	0.367
76.999	119.484	79.998	19.990	99.990	20.454	3.790	0.385
77.499	119.675	79.996	19.991	99.990	20.456	3.669	0.408
77.999	119.827	79.995	19.991	99.989	20.453	3.852	0.375
78.499	120.031	79.996	19.991	99.989	20.451	3.974	0.349
78.999	120.264	79.998	19.990	99.989	20.452	3.959	0.396
79.499	120.454	79.995	19.992	99.989	20.452	3.942	0.430
79.999	120.665	79.996	19.992	99.990	20.449	4.140	0.412
80.499	120.828	79.995	19.993	99.990	20.448	4.192	0.388
80.999	121.007	79.995	19.991	99.990	20.453	3.860	0.358
81.500	121.265	79.996	19.992	99.990	20.455	3.760	0.389
82.000	121.417	79.994	19.991	99.992	20.456	3.694	0.424
82.499	121.641	79.996	19.992	99.992	20.450	4.033	0.393
82.999	121.841	79.995	19.992	99.992	20.453	3.880	0.400
83.499	122.057	79.994	19.992	99.992	20.453	3.867	0.420
83.999	122.295	79.996	19.991	99.992	20.456	3.664	0.435
84.499	122.453	79.996	19.991	99.991	20.455	3.755	0.425
85.000	122.726	79.994	19.992	99.990	20.455	3.720	0.414
85.500	122.869	79.994	19.992	99.990	20.454	3.773	0.424
85.999	123.101	79.994	19.992	99.990	20.450	4.068	0.396
86.499	123.320	79.995	19.992	99.990	20.450	4.044	0.413
86.999	123.522	79.995	19.992	99.990	20.450	4.037	0.436
87.499	123.760	79.994	19.992	99.991	20.453	3.882	0.430
87.999	123.947	79.995	19.992	99.991	20.451	3.969	0.433
88.500	124.163	79.995	19.991	99.988	20.456	3.664	0.414
89.000	124.344	79.994	19.992	99.987	20.454	3.816	0.400
89.499	124.576	79.994	19.993	99.988	20.451	4.019	0.405
89.999	124.767	79.994	19.991	99.986	20.452	3.926	0.418
90.499	124.958	79.995	19.991	99.987	20.450	4.037	0.403
90.999	125.233	79.994	19.992	99.991	20.452	3.921	0.424
91.499	125.448	79.993	19.992	99.992	20.451	3.991	0.477
91.999	125.642	79.994	19.991	99.992	20.451	3.972	0.449
92.499	125.862	79.994	19.992	99.994	20.456	3.627	0.412
92.999	126.028	79.994	19.991	99.994	20.452	3.910	0.400
93.499	126.279	79.995	19.991	99.994	20.452	3.910	0.402
93.999	126.492	79.996	19.992	99.994	20.457	3.620	0.440
94.499	126.709	79.993	19.991	99.994	20.457	3.613	0.446
94.999	126.940	79.995	19.992	99.994	20.454	3.777	0.439
95.499	127.188	79.994	19.992	99.996	20.454	3.766	0.464
95.999	127.405	79.996	19.992	99.998	20.457	3.616	0.472
96.499	127.612	79.995	19.992	99.998	20.456	3.674	0.445
96.999	127.857	79.994	19.990	99.998	20.457	3.610	0.438
97.499	128.045	79.993	19.991	99.998	20.454	3.783	0.442
97.999	128.286	79.996	19.992	99.996	20.456	3.672	0.431
98.499	128.509	79.994	19.991	99.994	20.455	3.725	0.446
98.999	128.704	79.994	19.989	99.994	20.452	3.932	0.441
99.499	128.934	79.995	19.993	99.997	20.454	3.799	0.422
99.999	129.136	79.993	19.991	99.997	20.455	3.707	0.429
100.500	129.324	79.995	19.993	99.997	20.453	3.866	0.411
101.000	129.564	79.995	19.991	99.996	20.455	3.751	0.409
101.499	129.811	79.996	19.991	99.996	20.456	3.635	0.458
101.999	130.051	79.995	19.991	99.992	20.457	3.592	0.486
102.499	130.261	79.995	19.991	99.992	20.456	3.686	0.468
103.000	130.497	79.994	19.991	99.993	20.453	3.864	0.449
103.500	130.724	79.995	19.992	99.993	20.452	3.926	0.454
103.999	130.927	79.995	19.992	99.993	20.454	3.782	0.446
104.499	131.170	79.995	19.991	100.005	20.450	4.041	0.438
104.999	131.347	79.996	19.992	99.986	20.454	3.821	0.433
105.499	131.608	79.995	19.991	99.967	20.454	3.797	0.429
105.999	131.819	79.995	19.991	99.956	20.452	3.924	0.455
106.499	132.065	79.994	19.992	99.949	20.455	3.734	0.464
106.999	132.247	79.994	19.991	99.936	20.451	4.030	0.442
107.499	132.513	79.994	19.992	99.955	20.451	4.008	0.438
107.999	132.761	79.994	19.991	99.988	20.451	3.982	0.481
108.499	133.036	79.994	19.991	100.026	20.449	4.135	0.519
108.999	133.252	79.994	19.991	100.044	20.452	3.908	0.507
109.499	133.487	79.996	19.992	100.050	20.450	4.074	0.471
109.999	133.715	79.995	19.991	100.052	20.454	3.819	0.457
110.499	133.968	79.994	19.992	100.037	20.452	3.901	0.472
110.999	134.157	79.993	19.991	100.011	20.451	3.974	0.462
111.499	134.381	79.993	19.991	100.000	20.451	4.000	0.428
111.999	134.620	79.994	19.992	99.997	20.453	3.847	0.438
112.499	134.841	79.993	19.992	99.995	20.450	4.087	0.461
112.999	135.044	79.993	19.992	99.996	20.453	3.871	0.442
113.499	135.306	79.993	19.991	99.996	20.455	3.712	0.445
113.999	135.548	79.993	19.992	99.997	20.453	3.869	0.485
114.500	135.804	79.993	19.992	99.997	20.455	3.727	0.501
115.000	136.025	79.995	19.992	99.997	20.457	3.561	0.487
115.499	136.290	79.994	19.991	99.996	20.454	3.823	0.481
115.999	136.527	79.994	19.992	99.997	20.455	3.712	0.494
116.499	136.725	79.995	19.992	99.998	20.452	3.902	0.469
116.999	136.971	79.994	19.991	99.998	20.456	3.646	0.440
117.500	137.239	79.993	19.992	99.999	20.456	3.642	0.479
118.000	137.440	79.994	19.992	100.000	20.455	3.714	0.491
118.499	137.683	79.992	19.992	100.000	20.455	3.716	0.456
118.999	137.931	79.994	19.992	99.998	20.454	3.791	0.467
119.500	138.163	79.994	19.992	99.999	20.452	3.900	0.486
120.000	138.369	79.995	19.992	99.998	20.456	3.677	0.459
120.500	138.644	79.996	19.993	99.997	20.453	3.834	0.459
120.999	138.865	79.995	19.992	99.997	20.454	3.825	0.489
121.499	139.132	79.995	19.992	100.000	20.457	3.596	0.493
121.999	139.337	79.995	19.992	100.000	20.457	3.568	0.480
122.499	139.557	79.995	19.992	99.999	20.454	3.766	0.448
122.999	139.814	79.995	19.992	99.999	20.456	3.675	0.451
123.500	140.037	79.995	19.992	99.997	20.455	3.729	0.479
124.000	140.336	79.994	19.992	99.995	20.457	3.616	0.501
124.499	140.571	79.996	19.992	99.995	20.456	3.637	0.528
125.000	140.796	79.995	19.991	99.995	20.456	3.651	0.497
125.500	141.048	79.995	19.993	99.996	20.455	3.710	0.468
125.999	141.285	79.995	19.993	99.997	20.455	3.738	0.482
126.499	141.539	79.996	19.993	99.996	20.456	3.646	0.490
126.999	141.754	79.995	19.992	99.996	20.452	3.937	0.480
127.499	142.019	79.996	19.992	99.996	20.453	3.852	0.475
127.999	142.285	79.996	19.992	99.995	20.458	3.537	0.506
128.499	142.563	79.996	19.991	99.992	20.456	3.688	0.537
128.999	142.831	79.996	19.992	99.991	20.455	3.754	0.545
129.500	143.051	79.997	19.993	99.990	20.456	3.640	0.517
130.000	143.271	79.996	19.991	99.992	20.454	3.766	0.464
130.499	143.509	79.996	19.992	99.998	20.456	3.649	0.449
130.999	143.791	79.996	19.992	100.002	20.456	3.662	0.489
131.500	144.030	79.995	19.992	100.003	20.456	3.677	0.521
132.000	144.274	79.996	19.991	100.002	20.455	3.745	0.502
132.499	144.515	79.995	19.992	100.001	20.455	3.753	0.484
132.999	144.739	79.994	19.992	99.996	20.457	3.588	0.475
133.499	145.000	79.995	19.993	99.996	20.457	3.607	0.475
133.999	145.261	79.996	19.992	100.000	20.456	3.660	0.504
134.499	145.548	79.995	19.991	100.002	20.457	3.603	0.535
134.999	145.765	79.995	19.992	100.001	20.455	3.745	0.526
135.499	145.999	79.995	19.991	100.002	20.455	3.730	0.478
135.999	146.283	79.995	19.991	99.998	20.455	3.732	0.484
136.499	146.533	79.996	19.992	99.995	20.457	3.598	0.526
136.999	146.748	79.995	19.992	99.992	20.456	3.684	0.500
137.499	147.038	79.995	19.992	99.992	20.454	3.817	0.485
137.999	147.262	79.995	19.991	99.992	20.454	3.821	0.509
138.499	147.496	79.996	19.992	99.993	20.454	3.778	0.486
138.999	147.769	79.996	19.992	99.992	20.451	3.994	0.482
139.500	147.989	79.995	19.992	99.991	20.450	4.057	0.500
140.000	148.302	79.995	19.992	99.992	20.455	3.760	0.513
140.499	148.516	79.996	19.992	99.991	20.452	3.896	0.530
141.000	148.774	79.995	19.991	99.991	20.455	3.708	0.499
141.501	149.014	79.994	19.993	99.993	20.452	3.930	0.485
142.000	149.291	79.996	19.992	99.994	20.451	4.007	0.508
142.499	149.542	79.995	19.992	99.994	20.455	3.725	0.523
142.999	149.805	79.995	19.991	99.993	20.452	3.950	0.521
143.499	149.985	79.996	19.992	99.993	20.456	3.664	0.478
143.999	150.248	79.995	19.993	99.991	20.453	3.889	0.443
144.499	150.486	79.994	19.993	99.990	20.455	3.730	0.472
