##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Sensit./(uV/mW)
48.594,10.00667,-0.03973005,99.15829000000001,1.06798
48.585,10.10667,-0.04087595,99.21096,1.06798
48.583,10.206669999999999,-0.03896583,99.23743,1.06798
48.596,10.30667,-0.03896605,99.19946999999999,1.06798
48.616,10.40667,-0.03877538,99.16417,1.06797
48.625,10.50667,-0.03953959,99.1992,1.06796
48.68,10.60667,-0.03629326,99.16417,1.06794
48.767,10.706669999999999,-0.03553056,99.19332,1.0679
48.887,10.80667,-0.03132969,99.15829000000001,1.06784
49.044,10.90667,-0.02617357,99.15829000000001,1.06777
49.26,11.00667,-0.02101729,99.15535,1.06766
49.535,11.10667,-0.01394954,99.13209,1.0675299999999999
49.886,11.206669999999999,-0.005351341,99.1377,1.0673700000000002
50.313,11.30667,0.007072757,99.16123,1.06716
50.858,11.40667,0.01625218,99.17888,1.06691
51.473,11.50667,0.02811438,99.24037,1.06661
52.2,11.60667,0.03883719,99.1992,1.06627
53.038,11.706669999999999,0.05531104,99.21123,1.06587
53.997,11.80667,0.07065226,99.1877,1.06542
55.045,11.90667,0.08601009,99.12594,1.06492
56.207,12.00667,0.1012,99.19064,1.06436
57.485,12.10667,0.11909000000000002,99.15535,1.06375
58.841,12.206669999999999,0.13585,99.15829000000001,1.06311
60.327,12.30667,0.15207,99.13476,1.0624
61.898,12.40667,0.1664,99.05561,1.06165
63.525,12.50667,0.17883,99.05856,1.06087
65.225,12.60667,0.19186,98.96765,1.06005
66.996,12.706669999999999,0.20606999999999998,99.08209000000001,1.0592
68.86,12.80667,0.2209,99.09091,1.0583
70.743,12.90667,0.23285999999999998,99.05561,1.0574
72.683,13.00667,0.24465,99.09679,1.05646
74.657,13.10667,0.25761999999999996,99.06738,1.05551
76.69,13.20667,0.27044,98.93529000000001,1.0545200000000001
78.762,13.30667,0.28057,98.90026999999999,1.05352
80.846,13.406670000000002,0.28898,98.90881999999999,1.05251
83.008,13.506670000000002,0.29780999999999996,98.9,1.05146
85.199,13.606670000000001,0.30665,98.90909,1.05039
87.44,13.70667,0.30872,98.82968000000001,1.0493
89.711,13.80667,0.31294,98.78289000000001,1.04819
92.042,13.906670000000002,0.31309000000000003,98.76524,1.04705
94.41,14.006670000000002,0.31285,98.74786,1.04589
96.824,14.106670000000001,0.31085999999999997,98.79171,1.04471
99.294,14.20667,0.30712,98.74198,1.04349
101.796,14.30667,0.29906,98.67727,1.04226
104.338,14.406670000000002,0.29609,98.63048,1.04101
106.966,14.506670000000002,0.2896,98.6246,1.0397100000000001
109.564,14.606670000000001,0.28013000000000005,98.5893,1.0384200000000001
112.252,14.70667,0.27144,98.55400999999999,1.03709
114.967,14.80667,0.26589,98.55400999999999,1.0357399999999999
117.721,14.906670000000002,0.2617,98.54545,1.0343799999999999
120.521,15.006670000000002,0.25831,98.47780999999999,1.03298
123.368,15.106670000000001,0.25332,98.47807,1.03156
126.258,15.20667,0.25605,98.48663,1.03011
129.201,15.30667,0.25364000000000003,98.5484,1.02864
132.174,15.406670000000002,0.25838,98.54545,1.02715
135.19099,15.506670000000002,0.25777,98.6246,1.0256299999999998
138.228,15.606670000000001,0.26294,98.53369,1.0241
141.312,15.70667,0.26373,98.44545,1.02255
144.414,15.80667,0.26654,98.45455,1.02098
147.58299,15.906670000000002,0.27016,98.48984,1.01937
150.758,16.00667,0.2756,98.52486999999999,1.01776
153.964,16.10667,0.27504,98.51898,1.01613
157.198,16.206670000000003,0.27528,98.42806999999999,1.01449
160.44701,16.30667,0.27029000000000003,98.4631,1.01283
163.717,16.406670000000002,0.26045,98.42781,1.01116
167.05098999999998,16.50667,0.25443000000000005,98.4631,1.00945
170.353,16.60667,0.24473000000000003,98.42806999999999,1.00775
173.68401,16.706670000000003,0.23926999999999998,98.52781,1.00604
177.062,16.80667,0.23379,98.50134,1.0043
180.46001,16.906670000000002,0.23115,98.46631,1.00255
183.868,17.00667,0.22707,98.39599,1.00079
187.304,17.10667,0.2285,98.39599,0.9990100000000001
190.75999,17.206670000000003,0.22461,98.3607,0.99721
194.252,17.30667,0.22113000000000002,98.3254,0.9954
197.76401,17.406670000000002,0.22113000000000002,98.3254,0.9935700000000001
201.282,17.50667,0.22174000000000002,98.26364000000001,0.9917299999999999
204.823,17.60667,0.21865,98.22861,0.98988
208.37801000000002,17.706670000000003,0.21575999999999998,98.22861,0.98801
211.95598999999999,17.80667,0.21369000000000002,98.17273,0.98613
215.545,17.906670000000002,0.20892,98.08503,0.98424
219.12601,18.00667,0.20558,98.0115,0.98235
222.72301000000002,18.10667,0.19912,97.90588000000001,0.98045
226.353,18.206670000000003,0.19409,97.79733,0.9785299999999999
229.985,18.30667,0.19092,97.74465,0.9766
233.623,18.406670000000002,0.19193,97.61578,0.97467
237.285,18.50667,0.1835,97.45749,0.9727100000000001
240.931,18.60667,0.17694000000000001,97.31364,0.97077
244.617,18.706670000000003,0.17014,97.14947,0.9687899999999999
248.282,18.80667,0.15867,96.93235,0.96683
251.96899,18.906670000000002,0.13890999999999998,96.71818,0.9648399999999999
255.658,19.00667,0.12435999999999998,96.41604,0.96286
259.34698,19.10667,0.10827,96.21096,0.96086
263.04901,19.206670000000003,0.08977934,95.91471,0.95886
266.76198999999997,19.30667,0.07440512,95.59492,0.9568399999999999
270.46301,19.406670000000002,0.05704311,95.13743000000001,0.95483
274.181,19.50667,0.03960832,94.66818,0.9528
277.88698999999997,19.60667,0.01995361,94.22513000000001,0.95078
281.61499,19.706670000000003,-0.008815684,93.84118000000001,0.9487399999999999
285.323,19.80667,-0.03620047,93.31604,0.9467
289.03699,19.906670000000002,-0.05960085,92.70053,0.94466
292.76501,20.00667,-0.08072324,92.03475999999999,0.9426
296.48999,20.10667,-0.09456435,91.31898000000001,0.9405399999999999
300.20001,20.206670000000003,-0.10499000000000001,90.53316,0.9384899999999999
303.91598999999997,20.30667,-0.11938,89.64144,0.93642
307.621,20.406670000000002,-0.11964000000000001,88.64412,0.9343600000000001
311.32999,20.50667,-0.09955886,87.70588000000001,0.93229
315.069,20.60667,-0.05833461,86.5738,0.93019
318.75101,20.706670000000003,0.01802289,85.3361,0.9281299999999999
322.48199,20.80667,0.13635999999999998,84.06336999999999,0.9260299999999999
