Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13913878798484802,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.082632064819336,14.755513191223145,1,1,1,1.0008814334869385,1.0374339818954468,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,33.36741638183594,33.492713928222656,154.12669372558594,99.87932586669922,103.66426849365234,0.0004906185204163194,0.04957687109708786,20.9959716796875,-445.9929504394531,-0.3384706676006317,,
1,0,33.593231201171875,33.996986389160156,156.0155029296875,100.50006866455078,104.52737426757812,0.00037110201083123684,0.0537448413670063,20.993417739868164,234.78677368164062,-0.35755622386932373,0.0,0.0
2,0.25,33.381553649902344,34.27588653564453,152.92042541503906,100.50167083740234,104.3121337890625,0.00037560053169727325,0.05374682694673538,20.99363899230957,234.5365447998047,-0.3386523723602295,0.0,0.0
3,0.5,33.58292770385742,34.111602783203125,155.91322326660156,100.50526428222656,104.58456420898438,0.00038292136741802096,0.053748615086078644,20.993837356567383,234.5966033935547,-0.3620632588863373,0.0,0.0
4,0.75,33.351505279541016,33.868072509765625,152.53802490234375,100.51324462890625,104.68858337402344,0.00038951012538746,0.053713180124759674,20.994016647338867,234.73672485351562,-0.3703874349594116,0.0,0.0
5,1,33.764705657958984,34.04807662963867,152.52732849121094,100.50126647949219,104.84709167480469,0.00039544000173918903,0.05368128791451454,20.994178771972656,234.6466522216797,-0.3852402865886688,0.0,0.0
6,1.25,32.826717376708984,33.562713623046875,153.0257568359375,100.51045227050781,104.6597671508789,0.0004007768875453621,0.05365258455276489,20.99432373046875,234.6466522216797,-0.36813464760780334,0.0,0.0
7,1.5,32.29766082763672,32.856868743896484,150.5809783935547,100.51683807373047,104.71604919433594,0.00041016278555616736,0.05362675338983536,20.994455337524414,234.70669555664062,-0.3724491596221924,0.0,0.0
8,1.75,32.37118148803711,32.57991409301758,153.28831481933594,100.5068588256836,104.61203002929688,0.00041861008503474295,0.053559061139822006,20.99457359313965,234.6166229248047,-0.36430826783180237,0.0,0.0
9,2,32.30718231201172,32.76420593261719,150.8404998779297,100.51045227050781,104.57330322265625,0.0004262126749381423,0.05349813774228096,20.994678497314453,234.5966033935547,-0.3606133460998535,0.0,0.0
10,2.25,32.11960983276367,32.1577033996582,154.6492462158203,100.5092544555664,104.70929718017578,0.0004330549854785204,0.0534433089196682,20.995004653930664,234.70669555664062,-0.3725491762161255,0.0,0.0
11,2.5,32.37386703491211,32.81259536743164,154.0538787841797,100.52202606201172,104.33464813232422,0.00044772643013857305,0.05339396372437477,20.995298385620117,234.67666625976562,-0.3387734293937683,0.0,0.0
12,2.75,32.89068603515625,32.08168029785156,152.52122497558594,100.50605773925781,104.66201782226562,0.00046093075070530176,0.05334214121103287,20.995563507080078,234.6166229248047,-0.36872828006744385,0.0,0.0
