LABORATORY,FSRI 
TEST IDENT,Oak_Floor_HF50_2
OPERATOR,Dow
MATERIAL,Oak Flooring
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04218441992998123
SPEC HOLDER DIFF,-566
SPECIMEN MASS,141.7899932861328
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4977
TIME TO IGN,33.5
END OF TEST SCAN,4497
END OF TEST TIME,1124.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.28 x 101.90 x 18.73 mm; with tie wires; joint between boards centered on sample
