Names,Oak_Flooring_R1,Oak_Flooring_R2,Oak_Flooring_R3,Oak_Flooring_R4,Mean,Std. Dev.
573,6.2,,,,6.2,
574,10.8,,,,10.8,
575,14.7,,,,14.7,
576,18.6,,,,18.6,
577,22.3,,,,22.3,
578,32.3,,,,32.3,
579,41.6,,,,41.6,
580,49.5,,,,49.5,
581,58.7,,,,58.7,
582,68.6,,,,68.6,
583,79.5,,,,79.5,
584,88.3,,,,88.3,
585,96.7,,,,96.7,
586,105.3,,,,105.3,
587,116.2,,,,116.2,
588,126.1,,,,126.1,
589,134.6,,,,134.6,
590,141.8,,,,141.8,
591,147.3,,,,147.3,
592,155.5,,,,155.5,
593,166.5,,,,166.5,
594,173.7,,,,173.7,
595,180.4,,,,180.4,
596,185.5,,,,185.5,
597,193.7,,,,193.7,
598,197.3,,,,197.3,
599,206.3,,,,206.3,
600,211.4,,,,211.4,
601,219.3,,,,219.3,
602,225.8,,,,225.8,
603,230.3,,,,230.3,
604,234.5,,,,234.5,
605,242.0,,,,242.0,
606,246.0,,,,246.0,
607,255.6,,,,255.6,
608,258.1,,,,258.1,
609,260.0,,,,260.0,
610,262.0,,,,262.0,
611,268.3,,,,268.3,
612,267.2,,,,267.2,
613,272.3,,,,272.3,
614,272.1,,,,272.1,
615,276.9,,,,276.9,
616,279.9,,,,279.9,
617,281.0,,,,281.0,
618,278.2,,,,278.2,
619,285.5,,,,285.5,
620,295.7,,,,295.7,
621,292.7,,,,292.7,
622,288.9,,,,288.9,
623,292.3,,,,292.3,
624,292.0,,,,292.0,
625,294.3,,,,294.3,
626,294.7,,,,294.7,
627,294.8,,,,294.8,
628,294.7,,,,294.7,
629,301.2,,,,301.2,
630,301.7,,,,301.7,
631,299.5,,,,299.5,
632,299.9,,,,299.9,
633,299.0,,,,299.0,
634,299.4,,,,299.4,
635,304.4,,,,304.4,
636,304.9,,,,304.9,
637,298.9,,,,298.9,
638,306.5,,,,306.5,
639,301.6,,,,301.6,
640,305.4,,,,305.4,
641,312.1,,,,312.1,
642,296.6,,,,296.6,
643,307.3,,,,307.3,
644,306.9,,,,306.9,
645,310.9,,,,310.9,
646,301.3,,,,301.3,
647,301.4,,,,301.4,
648,305.7,,,,305.7,
649,312.0,,,,312.0,
650,307.1,,,,307.1,
651,302.8,,,,302.8,
652,303.6,,,,303.6,
653,299.0,,,,299.0,
654,306.1,,,,306.1,
655,305.0,,,,305.0,
656,298.8,,,,298.8,
657,291.7,,,,291.7,
658,291.6,,,,291.6,
659,292.7,,,,292.7,
660,296.9,,,,296.9,
661,290.9,,,,290.9,
662,290.6,,,,290.6,
663,289.2,,,,289.2,
664,289.1,,,,289.1,
665,284.6,,,,284.6,
666,286.8,,,,286.8,
667,280.4,,,,280.4,
668,286.7,,,,286.7,
669,284.4,,,,284.4,
670,278.7,,,,278.7,
671,278.9,,,,278.9,
672,281.7,,,,281.7,
673,276.8,,,,276.8,
674,278.5,,,,278.5,
675,271.7,,,,271.7,
676,273.7,,,,273.7,
677,271.7,,,,271.7,
678,269.7,,,,269.7,
679,262.7,,,,262.7,
680,272.3,,,,272.3,
681,267.9,,,,267.9,
682,265.6,,,,265.6,
683,262.5,,,,262.5,
684,257.9,,,,257.9,
