Time after Ignition,Oak_Flooring_R1,Oak_Flooring_R2,Oak_Flooring_R3,Mean,Std. Dev.
0.0,8.8,29.8,2.6,13.8,14.3
0.25,11.1,34.0,5.3,16.8,15.2
0.5,13.0,38.6,7.7,19.8,16.5
0.75,15.0,40.6,9.7,21.8,16.5
1.0,19.4,50.0,17.6,29.0,18.2
1.25,23.5,57.6,24.6,35.3,19.4
1.5,27.0,63.1,31.3,40.4,19.7
1.75,30.6,69.8,36.4,45.6,21.1
2.0,36.0,75.7,41.5,51.1,21.5
2.25,41.2,74.2,50.7,55.4,17.0
2.5,46.2,93.2,58.7,66.0,24.4
2.75,50.2,94.5,65.3,70.0,22.5
3.0,58.2,105.2,73.0,78.8,24.1
3.25,64.7,107.8,76.3,83.0,22.3
3.5,72.7,113.0,85.5,90.4,20.6
3.75,77.1,117.5,95.1,96.6,20.3
4.0,84.9,128.9,102.7,105.5,22.1
4.25,95.1,136.4,114.0,115.2,20.7
4.5,101.3,147.8,121.6,123.6,23.3
4.75,105.3,153.5,129.6,129.5,24.1
5.0,113.9,163.5,134.2,137.2,25.0
5.25,120.6,177.1,143.1,146.9,28.4
5.5,125.5,185.6,151.5,154.2,30.2
5.75,134.7,190.6,158.3,161.2,28.0
6.0,138.3,201.1,169.1,169.5,31.4
6.25,142.4,207.3,173.2,174.3,32.5
6.5,146.7,212.1,182.4,180.4,32.7
6.75,153.9,228.1,188.3,190.1,37.2
7.0,161.9,229.3,195.8,195.7,33.7
7.25,166.0,235.2,201.3,200.8,34.6
7.5,169.7,241.1,209.7,206.8,35.8
7.75,175.5,252.3,218.2,215.4,38.5
8.0,180.8,254.0,220.2,218.3,36.6
8.25,184.5,256.5,226.0,222.3,36.2
8.5,191.5,262.2,230.3,228.0,35.4
8.75,192.8,275.2,234.3,234.1,41.2
9.0,194.3,275.7,239.9,236.6,40.8
9.25,202.4,283.6,248.2,244.7,40.7
9.5,202.9,286.8,244.9,244.9,42.0
9.75,207.8,289.8,253.6,250.4,41.1
10.0,211.8,287.0,256.0,251.6,37.8
10.25,213.8,285.2,258.9,252.6,36.1
10.5,220.1,296.3,265.5,260.6,38.3
10.75,223.2,294.4,268.3,262.0,36.0
11.0,228.4,296.1,270.8,265.1,34.2
11.25,227.7,295.8,272.4,265.3,34.6
11.5,231.3,312.2,278.7,274.0,40.7
