Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13701781630516052,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.163639068603516,15.081976890563965,1,1,1,1.000864028930664,1.0436846017837524,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,47.643226623535156,49.86458969116211,136.36993408203125,99.33515167236328,106.27609252929688,0.0006797436508350074,0.04342217370867729,21.00200653076172,-449.7861328125,-0.618291974067688,,
1,0,45.62144088745117,48.12136459350586,136.01425170898438,98.60758209228516,105.1885986328125,0.0004628933093044907,0.045859672129154205,21.00469207763672,206.9786834716797,-0.5914829969406128,0.0,0.0
2,0.25,45.58710861206055,48.035037994384766,138.34759521484375,98.59632873535156,105.82928466796875,0.0004569104057736695,0.04584195092320442,21.00469207763672,206.91864013671875,-0.6481210589408875,0.0,0.0
3,0.5,44.862937927246094,47.643009185791016,137.00193786621094,98.6055679321289,105.47948455810547,0.00045152578968554735,0.04582600295543671,21.00469207763672,206.81854248046875,-0.6169524192810059,0.0,0.0
4,0.75,44.3890495300293,47.235565185546875,132.76271057128906,98.5991439819336,104.90184783935547,0.0004466796526685357,0.04581164941191673,21.00469207763672,207.0587615966797,-0.5672749280929565,0.0,0.0
5,1,44.191043853759766,46.64171600341797,137.3415985107422,98.59151458740234,104.99988555908203,0.00044231812353245914,0.04579873010516167,21.00469207763672,206.9786834716797,-0.5765356421470642,0.0,0.0
6,1.25,43.5030632019043,45.87896728515625,136.35086059570312,98.59111022949219,105.3193130493164,0.0004531812446657568,0.04578710347414017,21.00469207763672,206.76849365234375,-0.6043822169303894,0.0,0.0
7,1.5,44.23177719116211,46.5109977722168,134.2984161376953,98.60034942626953,105.15131378173828,0.0004629580653272569,0.04577663913369179,21.00469207763672,206.86859130859375,-0.5889092683792114,0.0,0.0
