LABORATORY,FSRI 
TEST IDENT,FurnitureStack_H25_2
OPERATOR,Morrissey
MATERIAL,1'' PUF-1.75''PEBat-PEFabric
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-84.42001342773438
SPECIMEN MASS,16.600000381469727
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1457
TIME TO IGN,76.5
END OF TEST SCAN,977
END OF TEST TIME,244.25
TEST STATUS,1
PRE TEST CMT,"Sample is an assembly of approximately 1 inch polyurethane foam, topped by 1.75 inch polyester batting, topped by polyester fabric."
POST TEST CMT,"The fabric shrivelled upon heating and impacted the spark ignitor causing a spike in the mass time history data. The sample then retracted away from the spark ignitor prior to ignition due to further pyrolysis and melting of the materials."
