Time after Ignition,Overstuffed_Chair_Assembly_R1,Overstuffed_Chair_Assembly_R2,Overstuffed_Chair_Assembly_R3,Mean,Std. Dev.
0.0,42.6,46.0,24.7,37.8,11.4
0.25,43.0,52.1,27.6,40.9,12.4
0.5,42.8,57.2,31.0,43.7,13.2
0.75,44.2,62.6,33.8,46.9,14.6
1.0,44.1,66.1,41.7,50.6,13.5
1.25,44.8,76.0,49.4,56.7,16.8
1.5,45.2,83.1,55.9,61.4,19.6
1.75,45.9,90.2,61.1,65.7,22.5
2.0,45.6,97.1,69.0,70.6,25.8
2.25,46.8,108.5,76.7,77.3,30.9
2.5,48.0,113.8,83.2,81.7,32.9
2.75,48.2,122.0,90.8,87.0,37.0
3.0,49.8,126.0,96.5,90.8,38.4
3.25,52.5,133.1,101.7,95.8,40.6
3.5,55.8,139.8,108.7,101.4,42.5
3.75,58.5,144.6,112.3,105.1,43.5
4.0,61.7,146.4,119.1,109.0,43.2
4.25,68.9,153.6,125.3,115.9,43.2
4.5,72.2,155.6,129.6,119.1,42.7
4.75,77.8,162.9,134.4,125.0,43.3
5.0,81.4,163.4,135.6,126.8,41.7
5.25,84.0,169.3,142.4,131.9,43.6
5.5,92.7,169.1,147.7,136.5,39.4
5.75,98.6,171.4,150.4,140.1,37.5
6.0,104.0,171.4,151.4,142.3,34.7
6.25,108.5,174.1,156.7,146.4,34.0
6.5,111.0,176.6,161.1,149.6,34.3
6.75,117.8,178.4,161.5,152.6,31.3
7.0,118.2,184.1,168.1,156.8,34.4
7.25,126.6,181.6,172.1,160.1,29.4
7.5,131.2,183.0,175.6,163.3,28.0
7.75,139.6,181.9,179.3,166.9,23.7
8.0,145.1,183.9,182.0,170.3,21.9
8.25,145.5,184.7,183.3,171.2,22.2
8.5,148.7,189.0,192.8,176.8,24.4
8.75,157.0,188.2,192.7,179.3,19.4
9.0,163.5,192.0,190.7,182.1,16.1
9.25,165.1,191.3,192.3,182.9,15.4
9.5,166.7,194.6,197.0,186.1,16.9
9.75,168.6,195.7,196.3,186.9,15.8
10.0,173.3,192.9,193.8,186.7,11.6
10.25,180.4,196.1,202.7,193.0,11.4
10.5,183.5,197.1,195.7,192.1,7.5
10.75,185.5,193.6,198.4,192.5,6.6
11.0,192.1,195.9,199.3,195.8,3.6
11.25,190.7,200.4,202.1,197.8,6.1
11.5,192.4,203.4,199.2,198.3,5.6
11.75,200.8,203.8,196.3,200.3,3.8
12.0,200.2,202.9,199.9,201.0,1.6
12.25,200.5,201.1,198.3,199.9,1.5
12.5,199.6,201.9,198.2,199.9,1.9
12.75,204.1,202.2,200.3,202.2,1.9
13.0,207.2,204.9,202.0,204.7,2.6
13.25,207.0,202.1,197.5,202.2,4.7
13.5,210.9,204.4,192.6,202.6,9.3
13.75,208.9,207.5,195.3,203.9,7.5
14.0,208.1,203.1,198.0,203.1,5.1
14.25,209.1,205.6,197.0,203.9,6.2
14.5,203.9,205.2,196.6,201.9,4.6
14.75,213.5,205.6,194.9,204.7,9.3
15.0,213.8,210.6,191.0,205.1,12.4
15.25,214.1,207.1,192.9,204.7,10.8
15.5,217.2,203.4,194.1,204.9,11.6
15.75,209.7,204.3,190.6,201.6,9.8
16.0,211.9,207.1,196.7,205.3,7.8
16.25,211.6,205.6,190.5,202.6,10.9
16.5,210.0,203.7,195.5,203.1,7.3
16.75,211.3,212.7,190.5,204.8,12.4
17.0,214.3,207.8,194.0,205.3,10.4
17.25,211.7,208.1,192.4,204.1,10.3
17.5,209.6,214.9,190.2,204.9,13.0
17.75,210.5,216.9,190.4,205.9,13.8
18.0,212.0,213.7,191.6,205.8,12.3
18.25,208.7,210.5,190.2,203.1,11.2
