Names,Overstuffed_Chair_Polyester_Batting_R1,Overstuffed_Chair_Polyester_Batting_R2,Overstuffed_Chair_Polyester_Batting_R3,Mean,Std. Dev.
2419,20.2,,,20.2,
2420,26.4,,,26.4,
2421,31.8,,,31.8,
2422,36.5,,,36.5,
2423,41.2,,,41.2,
2424,48.7,,,48.7,
2425,56.6,,,56.6,
2426,63.0,,,63.0,
2427,70.5,,,70.5,
2428,74.3,,,74.3,
2429,83.5,,,83.5,
2430,89.5,,,89.5,
2431,97.1,,,97.1,
2432,103.1,,,103.1,
2433,107.9,,,107.9,
2434,116.4,,,116.4,
2435,121.6,,,121.6,
2436,124.9,,,124.9,
2437,131.3,,,131.3,
2438,138.1,,,138.1,
2439,142.4,,,142.4,
2440,150.0,,,150.0,
2441,151.6,,,151.6,
2442,159.9,,,159.9,
2443,160.4,,,160.4,
2444,162.6,,,162.6,
2445,174.3,,,174.3,
2446,174.3,,,174.3,
2447,179.4,,,179.4,
2448,186.9,,,186.9,
2449,193.5,,,193.5,
2450,195.4,,,195.4,
2451,201.4,,,201.4,
2452,206.6,,,206.6,
2453,207.3,,,207.3,
2454,208.8,,,208.8,
2455,213.7,,,213.7,
2456,216.2,,,216.2,
2457,217.7,,,217.7,
2458,218.0,,,218.0,
2459,223.1,,,223.1,
2460,223.1,,,223.1,
2461,228.3,,,228.3,
2462,230.7,,,230.7,
2463,227.9,,,227.9,
2464,233.4,,,233.4,
2465,233.7,,,233.7,
2466,235.6,,,235.6,
2467,233.6,,,233.6,
2468,239.2,,,239.2,
2469,240.8,,,240.8,
2470,249.3,,,249.3,
2471,248.0,,,248.0,
2472,245.9,,,245.9,
2473,254.6,,,254.6,
2474,256.7,,,256.7,
2475,254.6,,,254.6,
2476,265.2,,,265.2,
2477,267.3,,,267.3,
2478,263.2,,,263.2,
2479,268.2,,,268.2,
2480,275.3,,,275.3,
2481,278.5,,,278.5,
2482,272.7,,,272.7,
2483,276.9,,,276.9,
2484,278.9,,,278.9,
2485,281.0,,,281.0,
2486,288.1,,,288.1,
2487,289.9,,,289.9,
2488,284.8,,,284.8,
2489,279.5,,,279.5,
2490,284.4,,,284.4,
2491,289.6,,,289.6,
2492,288.8,,,288.8,
2493,282.8,,,282.8,
2494,281.1,,,281.1,
2495,283.9,,,283.9,
2496,278.3,,,278.3,
2497,277.2,,,277.2,
2498,276.2,,,276.2,
2499,278.5,,,278.5,
2500,274.3,,,274.3,
2501,269.2,,,269.2,
2502,267.1,,,267.1,
2503,264.3,,,264.3,
2504,259.3,,,259.3,
2505,257.4,,,257.4,
2506,254.1,,,254.1,
2507,247.3,,,247.3,
2508,242.4,,,242.4,
2509,237.5,,,237.5,
2510,232.2,,,232.2,
2511,226.3,,,226.3,
2512,221.8,,,221.8,
2513,218.6,,,218.6,
2514,213.9,,,213.9,
2515,215.3,,,215.3,
2516,206.6,,,206.6,
2517,202.3,,,202.3,
2518,200.8,,,200.8,
2519,202.1,,,202.1,
2520,196.5,,,196.5,
2521,190.3,,,190.3,
2522,192.5,,,192.5,
2523,187.2,,,187.2,
2524,184.5,,,184.5,
2525,182.1,,,182.1,
2526,182.7,,,182.7,
2527,177.6,,,177.6,
2528,178.0,,,178.0,
2529,173.5,,,173.5,
2530,170.4,,,170.4,
2531,166.7,,,166.7,
2532,167.4,,,167.4,
2533,162.5,,,162.5,
