Names,Overstuffed_Chair_Polyurethane_Foam_R1,Overstuffed_Chair_Polyurethane_Foam_R2,Overstuffed_Chair_Polyurethane_Foam_R3,Mean,Std. Dev.
23,22.8,24.7,,23.7,1.4
24,27.3,28.9,14.1,23.4,8.2
25,30.7,33.7,19.8,28.0,7.3
26,34.5,37.5,25.9,32.6,6.0
27,42.1,40.5,30.4,37.7,6.3
28,49.7,43.8,34.8,42.8,7.5
29,55.3,47.4,39.2,47.3,8.0
30,61.7,52.6,46.5,53.6,7.6
31,67.5,59.7,54.4,60.6,6.6
32,74.2,64.0,62.3,66.9,6.5
33,80.9,68.3,67.2,72.1,7.6
34,85.9,73.0,71.7,76.9,7.9
35,91.4,78.6,77.6,82.5,7.7
36,97.3,84.5,82.4,88.0,8.1
37,102.9,88.3,89.6,93.6,8.1
38,106.4,91.1,92.9,96.8,8.3
39,111.0,96.3,99.0,102.1,7.8
40,116.0,100.3,103.0,106.4,8.4
41,120.0,106.8,106.2,111.0,7.8
42,123.4,112.6,112.3,116.1,6.3
43,129.2,119.4,119.3,122.6,5.6
44,128.8,126.6,118.3,124.6,5.5
45,131.5,131.1,126.1,129.6,3.0
46,135.5,134.5,129.9,133.3,3.0
47,140.7,137.9,134.4,137.7,3.1
48,141.2,142.2,138.9,140.8,1.7
49,143.7,147.6,142.7,144.7,2.5
50,148.6,154.4,145.7,149.5,4.4
51,150.1,155.5,149.5,151.7,3.3
52,152.8,159.7,153.0,155.2,3.9
53,154.4,162.0,154.8,157.1,4.3
54,155.8,168.7,160.3,161.6,6.5
55,157.6,169.9,164.6,164.0,6.2
56,164.5,171.0,167.3,167.6,3.3
57,166.7,171.2,165.9,167.9,2.9
58,168.1,176.6,173.6,172.8,4.3
59,169.8,178.2,174.9,174.3,4.2
60,173.2,181.4,177.7,177.4,4.1
61,174.7,184.7,179.7,179.7,5.0
62,176.1,186.4,185.4,182.6,5.7
63,180.3,189.7,183.8,184.6,4.7
64,178.9,190.0,188.6,185.8,6.0
65,181.3,193.9,193.7,189.6,7.2
66,181.9,193.8,190.1,188.6,6.1
67,186.9,194.6,200.7,194.1,6.9
68,185.2,196.5,196.9,192.9,6.7
69,190.9,199.9,199.8,196.8,5.2
70,193.4,203.6,199.1,198.7,5.1
71,189.5,205.7,201.6,198.9,8.4
72,189.3,208.3,199.1,198.9,9.5
73,197.0,211.7,206.9,205.2,7.5
74,193.0,209.6,207.5,203.4,9.0
75,199.7,216.3,205.9,207.3,8.4
76,197.9,215.4,210.4,207.9,9.0
77,207.9,219.8,213.7,213.8,5.9
78,203.3,225.6,211.7,213.5,11.3
79,207.4,230.4,208.6,215.5,12.9
80,211.9,227.7,215.1,218.2,8.4
81,210.2,231.1,211.1,217.5,11.8
82,211.2,233.2,216.8,220.4,11.4
83,210.2,242.0,217.7,223.3,16.6
84,216.9,240.2,216.6,224.6,13.6
85,219.9,237.6,220.4,226.0,10.1
86,224.6,246.3,221.3,230.7,13.6
87,227.1,243.1,221.9,230.7,11.0
88,231.4,242.5,222.3,232.1,10.1
89,235.5,249.4,221.1,235.3,14.2
90,238.1,249.7,226.0,237.9,11.9
91,233.7,248.4,225.9,236.0,11.4
92,235.7,249.5,226.8,237.4,11.5
93,237.8,248.6,224.7,237.0,12.0
94,244.9,255.3,228.0,242.7,13.8
95,245.6,256.3,232.9,244.9,11.7
96,245.3,262.0,232.7,246.7,14.7
97,246.7,259.2,229.4,245.1,15.0
98,252.4,258.8,237.1,249.4,11.2
99,250.2,267.7,237.7,251.9,15.1
100,250.0,261.6,231.8,247.8,15.0
101,243.0,259.3,236.0,246.1,12.0
102,248.0,263.5,237.6,249.7,13.1
103,253.7,265.0,233.5,250.7,15.9
104,255.6,273.5,240.4,256.5,16.6
105,255.9,272.8,240.7,256.5,16.0
106,255.3,272.7,241.3,256.4,15.7
107,260.9,277.2,237.5,258.6,20.0
108,258.7,278.2,244.3,260.4,17.0
109,260.5,284.2,247.6,264.1,18.5
110,265.2,277.2,243.3,261.9,17.2
111,267.2,282.5,246.9,265.6,17.9
112,268.1,284.6,247.9,266.9,18.4
113,275.1,280.0,250.9,268.7,15.6
114,276.1,283.1,254.8,271.3,14.7
115,282.0,279.6,256.8,272.8,13.9
116,292.4,281.9,258.0,277.4,17.6
117,293.8,295.5,259.8,283.0,20.1
118,296.6,294.0,263.9,284.8,18.2
119,312.1,295.6,269.2,292.3,21.6
120,301.7,301.1,257.6,286.8,25.3
121,303.7,297.8,269.9,290.5,18.1
122,315.6,299.8,276.4,297.3,19.7
123,303.1,308.9,277.8,296.6,16.6
124,313.7,291.5,272.2,292.5,20.7
125,304.8,296.5,273.9,291.7,16.0
126,312.2,297.6,279.7,296.5,16.3
127,320.2,301.0,283.0,301.4,18.6
128,309.6,304.4,287.4,300.5,11.6
129,310.3,313.4,295.3,306.3,9.7
130,322.0,322.8,291.1,312.0,18.1
131,326.7,313.4,288.7,309.6,19.3
132,325.4,315.4,295.4,312.0,15.3
133,323.9,324.9,308.7,319.2,9.1
134,319.2,323.9,301.1,314.7,12.0
135,323.5,320.2,298.0,313.9,13.8
136,326.2,327.7,313.0,322.3,8.1
137,333.2,328.5,316.8,326.1,8.5
138,333.0,345.5,324.8,334.5,10.4
139,344.7,329.7,327.9,334.1,9.2
140,339.5,345.9,328.3,337.9,8.9
141,344.6,348.6,317.1,336.8,17.1
142,342.8,349.7,331.0,341.2,9.4
143,356.5,357.2,332.3,348.7,14.2
144,350.2,364.2,328.0,347.5,18.2
145,344.6,367.6,340.7,351.0,14.5
146,362.5,360.0,339.7,354.0,12.5
147,354.8,365.8,344.3,355.0,10.7
148,363.1,373.1,350.2,362.1,11.5
149,362.4,366.4,351.7,360.2,7.6
150,369.0,388.3,358.0,371.8,15.3
151,371.2,389.4,365.2,375.3,12.6
152,380.4,394.3,371.0,381.9,11.7
153,381.0,397.6,365.4,381.3,16.1
154,380.8,398.9,372.3,384.0,13.6
155,372.7,401.7,375.2,383.2,16.1
156,384.7,385.3,371.9,380.6,7.5
157,385.6,399.3,387.0,390.6,7.5
158,385.9,399.0,396.0,393.6,6.9
159,396.1,398.3,388.1,394.2,5.4
160,401.1,396.6,396.2,398.0,2.7
161,392.7,409.9,378.7,393.8,15.7
162,412.8,410.6,407.0,410.1,2.9
163,396.5,401.3,398.6,398.8,2.4
164,415.6,396.8,396.7,403.0,10.9
165,406.2,405.7,405.3,405.7,0.4
166,406.0,400.8,403.5,403.4,2.6
167,438.0,409.4,405.8,417.7,17.6
168,424.4,403.8,401.4,409.9,12.6
169,429.3,414.2,415.7,419.7,8.4
170,432.7,415.9,424.3,424.3,8.4
171,430.9,405.7,427.4,421.3,13.7
172,432.2,410.6,426.2,423.0,11.1
173,446.6,408.4,427.6,427.5,19.1
174,444.1,408.6,421.8,424.9,17.9
175,466.4,407.8,416.3,430.1,31.7
176,472.5,419.5,435.2,442.4,27.2
177,447.3,408.9,434.0,430.1,19.5
178,473.7,416.4,438.5,442.9,28.9
179,464.4,412.1,423.8,433.5,27.5
180,454.3,421.4,418.5,431.4,19.9
181,442.0,417.5,437.5,432.4,13.0
182,460.7,406.1,426.4,431.1,27.6
183,450.5,413.6,424.6,429.6,18.9
