Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.14089813828468323,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,12.966780662536621,12.658836364746094,1,1,1,1.0008790493011475,1.019768476486206,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,21.58810806274414,22.717151641845703,157.46917724609375,97.82894134521484,99.00867462158203,-0.002496500266715884,0.06383535265922546,20.98233985900879,-873.3739624023438,-0.10721024125814438,,
1,0,19.476531982421875,20.059072494506836,155.9508819580078,98.96350860595703,100.01708984375,-0.0024170877877622843,0.0757385641336441,20.97021484375,59.191986083984375,-0.09472990781068802,0.0,0.0
2,0.25,19.686471939086914,20.315916061401367,159.8848114013672,98.95994567871094,100.1441879272461,-0.002420096192508936,0.07551205158233643,20.97059440612793,59.101905822753906,-0.10641247034072876,0.0,0.0
3,0.5,19.70173454284668,20.784496307373047,159.46499633789062,98.95638275146484,100.608154296875,-0.0024228037800639868,0.07530819624662399,20.970935821533203,59.212005615234375,-0.14808227121829987,0.0,0.0
4,0.75,19.336143493652344,20.463193893432617,157.45835876464844,98.95757293701172,100.79552459716797,-0.002425240585580468,0.07501909136772156,20.971242904663086,59.11191940307617,-0.1646186113357544,0.0,0.0
5,1,20.2216796875,21.090667724609375,155.51658630371094,98.96786499023438,101.04353332519531,-0.002427433617413044,0.07475889474153519,20.971519470214844,59.06187057495117,-0.18567168712615967,0.0,0.0
6,1.25,20.550031661987305,20.697141647338867,157.21792602539062,98.96430206298828,100.44010925292969,-0.002426915103569627,0.07452471554279327,20.971769332885742,59.131935119628906,-0.13241241872310638,0.0,0.0
7,1.5,20.529525756835938,21.136043548583984,156.76072692871094,98.97261047363281,100.56797790527344,-0.0024264485109597445,0.07431396096944809,20.971994400024414,59.16196060180664,-0.14304284751415253,0.0,0.0
8,1.75,19.661865234375,21.105945587158203,159.986328125,98.9686508178711,101.18994903564453,-0.002426028484478593,0.07408203929662704,20.972196578979492,59.11191940307617,-0.19855357706546783,0.0,0.0
