LABORATORY,FSRI 
TEST IDENT,PET_HF50_2
OPERATOR,Dow
MATERIAL,PET
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.0390564426779747
SPEC HOLDER DIFF,303.20001220703125
SPECIMEN MASS,91.5
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2067
TIME TO IGN,84.25
END OF TEST SCAN,1587
END OF TEST TIME,396.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.31 x 98.85 x 6.75 mm
POST TEST CMT,"sample warped and dripped from foil pan during test, see test pictures"
