Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13488921523094177,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,12.989195823669434,12.333085060119629,1,1,1,1.0008786916732788,1.029731273651123,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,39.97759246826172,41.74311065673828,150.70263671875,97.51252746582031,97.23792266845703,-0.0018956103594973683,0.044418539851903915,21.02473258972168,-0.04366340488195419,0.025481168180704117,,
1,0,34.60578536987305,35.88041687011719,148.93173217773438,96.0446548461914,95.73308563232422,-0.0015906472690403461,0.05223923549056053,21.015905380249023,959.2020874023438,0.029349584132432938,0.0,0.0
2,0.25,35.212467193603516,35.48469924926758,153.62664794921875,96.04940795898438,95.97772979736328,-0.0015847557224333286,0.05223923549056053,21.01565933227539,959.2321166992188,0.00674354238435626,0.0,0.0
3,0.5,35.066009521484375,35.61492919921875,148.89356994628906,96.03633117675781,95.87724304199219,-0.0015794533537700772,0.05237354710698128,21.015438079833984,959.2621459960938,0.014975355006754398,0.0,0.0
4,0.75,35.0704460144043,35.48774337768555,150.24685668945312,96.02959442138672,95.75190734863281,-0.0015746811404824257,0.052602000534534454,21.01523780822754,959.3121948242188,0.026158122345805168,0.0,0.0
5,1,35.105472564697266,35.92932891845703,149.78050231933594,96.0109634399414,95.8068618774414,-0.0015703862300142646,0.05280761048197746,21.015058517456055,959.2821655273438,0.019222762435674667,0.0,0.0
6,1.25,35.04995346069336,35.755802154541016,154.0914764404297,96.00977325439453,95.9163818359375,-0.0015761939575895667,0.05299265682697296,21.014896392822266,959.2221069335938,0.00879090279340744,0.0,0.0
7,1.5,34.69305419921875,35.615901947021484,154.84559631347656,95.99193572998047,96.05789947509766,-0.0015814208891242743,0.05316637456417084,21.014751434326172,959.2221069335938,-0.006204953417181969,0.0,0.0
8,1.75,34.770755767822266,35.841552734375,156.134765625,95.9776611328125,95.80347442626953,-0.0015861251158639789,0.05332271754741669,21.014619827270508,959.2421875,0.016408219933509827,0.0,0.0
9,2,34.39549255371094,35.916465759277344,149.76141357421875,95.97171783447266,95.80648040771484,-0.0015903589082881808,0.05346342921257019,21.014501571655273,959.2421875,0.015565511770546436,0.0,0.0
10,2.25,35.11454391479492,36.43590545654297,151.5154266357422,95.96656036376953,95.80196380615234,-0.0016083566006273031,0.053590066730976105,21.014394760131836,959.2521362304688,0.015505315735936165,0.0,0.0
11,2.5,34.258506774902344,36.16950988769531,152.10238647460938,95.95903015136719,95.94235229492188,-0.001624554512090981,0.053668178617954254,21.014299392700195,959.2120971679688,0.0015698166098445654,0.0,0.0
12,2.75,34.43190383911133,35.677642822265625,151.4741973876953,95.94039916992188,95.67098999023438,-0.0016391327371820807,0.05373847857117653,21.01421356201172,959.2221069335938,0.025400076061487198,0.0,0.0
13,3,34.764732360839844,35.823455810546875,149.94383239746094,95.93286895751953,95.63748931884766,-0.0016522530931979418,0.053801748901605606,21.014137268066406,959.2921752929688,0.027855437248945236,0.0,0.0
14,3.25,35.20758819580078,35.56046676635742,157.63612365722656,95.9340591430664,95.78804016113281,-0.0016640614485368133,0.053858689963817596,21.014068603515625,959.2821655273438,0.013759446330368519,0.0,0.0
15,3.5,34.815067291259766,35.81985855102539,147.43800354003906,95.94436645507812,95.80309295654297,-0.0016746888868510723,0.05390993878245354,21.014005661010742,959.2321166992188,0.013310023583471775,0.0,0.0
16,3.75,34.78009796142578,36.13148880004883,151.01165771484375,95.9138412475586,95.7436294555664,-0.0016842535696923733,0.053841330111026764,21.013948440551758,959.2221069335938,0.01604384370148182,0.0,0.0
