Names,PET_R1,PET_R2,PET_R3,PET_R4,PET_R5,Mean,Std. Dev.
1375,34.9,367.4,,,,201.1,235.1
1376,36.2,367.1,,,,201.7,234.0
1377,37.4,383.4,,,,210.4,244.6
1378,39.2,376.0,,,,207.6,238.2
1379,40.6,373.9,,,,207.2,235.7
1380,42.0,384.0,,,,213.0,241.8
1381,42.9,401.3,,,,222.1,253.5
1382,44.6,405.2,,,,224.9,255.0
1383,44.6,388.8,,,,216.7,243.4
1384,47.2,401.6,,,,224.4,250.7
1385,49.1,390.0,,,,219.5,241.1
1386,50.0,415.7,,,,232.8,258.6
1387,51.6,411.4,,,,231.5,254.4
1388,53.4,415.3,,,,234.3,256.0
1389,55.9,413.1,,,,234.5,252.6
1390,56.2,416.8,,,,236.5,255.0
1391,58.9,433.6,,,,246.2,264.9
1392,60.9,435.4,,,,248.2,264.9
1393,62.3,447.8,,,,255.1,272.5
1394,64.6,446.5,,,,255.6,270.0
1395,66.3,460.6,,,,263.5,278.8
1396,68.3,437.1,,,,252.7,260.8
1397,70.2,466.2,,,,268.2,280.0
1398,72.5,440.6,,,,256.6,260.3
1399,75.8,463.8,,,,269.8,274.3
1400,77.7,474.1,,,,275.9,280.3
1401,80.5,461.7,,,,271.1,269.5
1402,81.4,481.9,,,,281.6,283.2
1403,83.0,468.9,,,,275.9,272.8
1404,87.2,476.5,,,,281.8,275.2
1405,88.8,480.3,,,,284.6,276.8
1406,92.0,490.9,,,,291.5,282.0
1407,93.0,480.2,,,,286.6,273.8
1408,95.4,480.0,,,,287.7,272.0
1409,96.7,486.5,,,,291.6,275.6
1410,96.7,484.7,,,,290.7,274.4
1411,98.9,504.2,,,,301.5,286.6
1412,100.3,488.1,,,,294.2,274.2
1413,102.5,501.8,,,,302.2,282.3
1414,104.8,508.8,,,,306.8,285.7
1415,107.6,533.1,,,,320.4,300.9
1416,107.6,489.8,,,,298.7,270.2
1417,110.7,498.9,,,,304.8,274.5
1418,113.2,517.2,,,,315.2,285.7
1419,116.3,513.1,,,,314.7,280.6
1420,116.8,503.4,,,,310.1,273.4
1421,120.5,510.4,,,,315.5,275.7
1422,121.9,482.2,,,,302.0,254.8
1423,125.0,501.1,,,,313.1,265.9
1424,123.9,495.8,,,,309.8,263.0
1425,128.1,498.5,,,,313.3,261.9
1426,130.4,498.2,,,,314.3,260.0
1427,137.6,494.5,,,,316.0,252.4
1428,139.5,519.1,,,,329.3,268.4
1429,143.1,518.1,,,,330.6,265.2
1430,149.6,501.9,,,,325.7,249.1
1431,152.4,501.5,,,,327.0,246.9
1432,157.2,481.0,,,,319.1,228.9
1433,163.6,505.1,,,,334.3,241.5
1434,167.1,495.4,,,,331.2,232.1
1435,174.8,497.3,,,,336.0,228.0
1436,177.1,499.7,,,,338.4,228.2
1437,177.2,495.4,,,,336.3,225.0
1438,178.2,501.2,,,,339.7,228.4
1439,182.8,490.9,,,,336.9,217.8
1440,188.1,486.1,,,,337.1,210.8
1441,189.2,498.0,,,,343.6,218.3
1442,195.8,483.8,,,,339.8,203.6
1443,197.5,498.3,,,,347.9,212.7
1444,202.5,498.4,,,,350.5,209.2
1445,203.3,473.7,,,,338.5,191.2
1446,211.3,482.7,,,,347.0,191.9
1447,209.8,472.0,,,,340.9,185.4
1448,215.5,481.7,,,,348.6,188.2
1449,216.4,477.8,,,,347.1,184.8
1450,219.5,470.6,,,,345.1,177.6
1451,225.1,476.0,,,,350.6,177.4
1452,231.0,462.7,,,,346.9,163.8
1453,231.1,477.2,,,,354.2,174.0
1454,231.5,455.3,,,,343.4,158.2
1455,244.3,470.7,,,,357.5,160.2
1456,235.8,468.2,,,,352.0,164.3
1457,239.8,462.6,,,,351.2,157.6
1458,239.5,454.5,,,,347.0,152.0
1459,247.3,461.1,,,,354.2,151.2
1460,253.1,462.5,,,,357.8,148.0
1461,251.5,452.9,,,,352.2,142.4
1462,259.0,454.6,,,,356.8,138.3
1463,258.9,460.9,,,,359.9,142.8
1464,259.7,466.7,,,,363.2,146.4
1465,263.4,446.0,,,,354.7,129.2
1466,267.3,442.4,,,,354.8,123.8
1467,268.0,460.5,,,,364.2,136.1
1468,265.4,446.0,,,,355.7,127.7
1469,277.1,445.0,,,,361.1,118.7
1470,267.5,452.6,,,,360.1,130.9
1471,277.4,445.4,,,,361.4,118.8
1472,278.3,443.8,,,,361.0,117.0
1473,282.5,450.4,,,,366.4,118.7
1474,277.3,449.5,,,,363.4,121.8
1475,284.5,440.1,,,,362.3,110.0
1476,284.2,431.9,,,,358.0,104.4
1477,287.9,438.2,,,,363.0,106.3
1478,289.8,437.3,,,,363.6,104.3
1479,289.5,441.0,,,,365.3,107.1
1480,291.6,442.8,,,,367.2,106.9
1481,300.6,455.3,,,,378.0,109.3
1482,299.4,462.0,,,,380.7,115.0
1483,298.9,442.6,,,,370.8,101.6
1484,294.9,452.5,,,,373.7,111.5
1485,302.2,449.2,,,,375.7,104.0
1486,308.8,446.4,,,,377.6,97.3
1487,299.1,451.9,,,,375.5,108.1
1488,303.8,437.6,,,,370.7,94.6
1489,307.4,441.2,,,,374.3,94.6
1490,304.9,459.4,,,,382.1,109.3
1491,306.7,455.6,,,,381.2,105.2
1492,315.2,437.7,,,,376.4,86.6
1493,312.1,456.4,,,,384.2,102.0
1494,311.8,449.3,,,,380.5,97.2
