Names,PET_R1,PET_R2,PET_R3,Mean,Std. Dev.
170,148.6,147.5,128.1,141.4,11.6
171,160.2,156.1,135.7,150.7,13.1
172,168.1,161.8,141.2,157.1,14.1
173,182.8,167.8,148.1,166.3,17.4
174,190.7,177.8,160.6,176.4,15.1
175,203.8,182.0,169.6,185.1,17.3
176,216.0,190.5,180.8,195.8,18.2
177,219.3,211.0,187.6,206.0,16.4
178,229.4,207.6,200.6,212.5,15.0
179,237.6,213.6,208.5,219.9,15.6
180,246.8,225.2,224.7,232.3,12.6
181,254.4,228.0,230.5,237.6,14.6
182,264.0,239.6,231.3,245.0,17.0
183,271.9,244.8,246.9,254.6,15.1
184,277.3,252.6,252.4,260.7,14.3
185,291.6,257.8,259.3,269.6,19.1
186,298.0,265.0,260.8,274.6,20.4
187,310.5,269.8,268.7,283.0,23.8
188,321.2,280.4,283.9,295.2,22.6
189,315.0,290.0,289.6,298.2,14.6
190,330.4,288.8,300.8,306.7,21.4
191,343.8,299.8,301.1,314.9,25.0
192,343.4,298.3,317.6,319.8,22.6
193,361.0,312.7,324.0,332.6,25.2
194,356.9,312.4,325.9,331.7,22.8
195,376.5,326.0,334.5,345.7,27.0
196,378.5,340.9,344.2,354.5,20.8
197,383.1,339.4,360.4,361.0,21.9
198,404.2,349.0,367.4,373.5,28.1
199,417.3,367.5,389.5,391.4,25.0
200,421.6,371.7,364.1,385.8,31.2
201,444.0,379.2,393.1,405.4,34.1
202,431.3,381.6,399.3,404.1,25.2
203,446.9,394.9,406.2,416.0,27.3
204,455.2,396.7,406.7,419.5,31.3
205,480.2,404.8,437.3,440.8,37.8
206,464.8,424.5,441.6,443.6,20.2
207,483.6,418.0,450.4,450.7,32.8
208,511.8,422.0,456.6,463.5,45.3
209,507.9,444.2,472.6,474.9,31.9
210,531.3,454.6,477.2,487.7,39.4
211,525.6,445.5,468.8,480.0,41.2
212,527.8,446.8,496.5,490.4,40.8
213,546.0,444.4,515.8,502.0,52.2
214,550.5,464.1,513.2,509.2,43.4
215,543.9,474.8,516.9,511.9,34.8
216,556.7,469.1,537.4,521.0,46.0
217,565.3,499.3,518.5,527.7,34.0
218,561.3,504.3,552.9,539.5,30.8
219,580.6,513.0,555.5,549.7,34.2
220,573.9,509.5,556.5,546.6,33.3
221,577.2,504.5,564.3,548.7,38.8
222,596.7,506.5,552.7,551.9,45.1
223,612.3,532.2,569.6,571.4,40.1
224,600.5,544.7,603.9,583.0,33.2
225,624.7,530.4,608.1,587.7,50.3
226,637.0,541.6,591.2,589.9,47.7
227,603.2,555.7,614.6,591.1,31.2
228,611.8,555.3,620.7,595.9,35.5
229,623.9,552.4,605.4,593.9,37.1
230,636.2,564.5,612.3,604.4,36.5
231,635.2,554.7,633.4,607.7,46.0
232,642.5,565.6,640.7,616.3,43.9
233,649.5,576.6,626.9,617.6,37.3
234,657.9,579.0,637.1,624.7,40.9
235,659.4,591.8,628.9,626.7,33.8
236,662.2,589.4,659.3,637.0,41.2
237,641.1,577.9,654.8,624.6,41.1
238,652.9,596.0,655.4,634.8,33.6
239,667.2,581.8,674.5,641.2,51.5
240,682.4,606.8,622.6,637.3,39.9
241,674.2,610.7,656.3,647.1,32.8
242,688.1,619.7,651.9,653.2,34.3
243,696.9,595.6,654.3,648.9,50.9
244,670.3,613.3,666.8,650.1,32.0
245,658.8,615.4,676.3,650.2,31.3
246,682.2,619.0,671.1,657.5,33.7
247,683.2,604.8,663.8,650.6,40.8
248,687.0,626.4,666.4,660.0,30.8
249,686.8,641.4,661.9,663.3,22.7
250,701.1,615.8,662.1,659.7,42.7
251,693.1,621.2,674.0,662.8,37.3
252,670.3,597.4,676.4,648.0,44.0
253,693.4,646.6,689.1,676.4,25.9
254,666.6,617.4,671.0,651.7,29.7
255,692.4,631.8,678.6,667.6,31.7
256,716.8,658.8,658.4,678.0,33.6
257,691.3,635.0,685.8,670.7,31.0
258,706.8,612.1,678.9,665.9,48.7
259,710.1,656.2,665.2,677.2,28.9
260,705.5,612.8,673.0,663.8,47.0
261,704.2,621.4,677.9,667.9,42.3
262,713.6,628.7,680.3,674.2,42.8
263,704.7,618.5,663.2,662.1,43.1
264,697.6,638.2,681.0,672.3,30.7
265,697.7,641.2,670.8,669.9,28.3
266,700.0,646.5,679.8,675.4,27.0
267,687.4,621.7,651.4,653.5,32.9
268,696.9,629.0,661.8,662.6,34.0
269,677.0,638.3,655.6,657.0,19.4
