LABORATORY,FSRI 
TEST IDENT,PET-G_HF25_1
OPERATOR,Dow
MATERIAL,PET-G
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.03936708718538284
SPEC HOLDER DIFF,303.52001953125
SPECIMEN MASS,34.79999923706055
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2023
TIME TO IGN,243
END OF TEST SCAN,1543
END OF TEST TIME,385.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.19 x 99.15 x 2.64 mm
POST TEST CMT,Sample warped near the end of the test with corners rising up.
