Names,PETG_R1,PETG_R2,PETG_R3,Mean,Std. Dev.
130,13.7,59.4,62.5,45.2,27.3
131,16.9,67.3,69.1,51.1,29.6
132,19.8,75.6,81.5,59.0,34.0
133,29.7,86.0,90.4,68.7,33.9
134,38.4,95.5,100.4,78.1,34.5
135,44.9,105.0,109.6,86.5,36.1
136,52.0,112.4,119.5,94.6,37.1
137,59.7,119.9,130.4,103.3,38.2
138,69.9,126.0,137.9,111.3,36.3
139,80.5,136.0,146.2,120.9,35.3
140,88.6,142.7,154.9,128.7,35.3
141,98.0,148.1,161.1,135.7,33.3
142,104.5,158.2,163.5,142.1,32.6
143,116.8,167.2,173.8,152.6,31.2
144,127.1,172.5,179.0,159.6,28.3
145,140.1,181.3,188.1,169.8,26.0
146,144.1,187.3,192.7,174.7,26.6
147,151.1,196.1,202.6,183.3,28.0
148,160.9,205.6,209.3,191.9,26.9
149,173.6,218.9,216.6,203.0,25.6
150,178.1,222.7,226.3,209.0,26.9
151,188.0,228.9,229.2,215.4,23.7
152,194.2,237.3,229.3,220.3,22.9
153,204.8,248.1,233.9,229.0,22.1
154,214.4,256.4,247.8,239.5,22.2
155,220.0,268.7,252.2,247.0,24.8
156,231.8,280.5,253.0,255.1,24.4
157,238.6,286.8,260.4,261.9,24.1
158,254.0,304.8,273.8,277.5,25.6
159,263.4,309.8,279.4,284.2,23.6
160,272.8,316.1,293.8,294.2,21.7
161,281.9,324.7,298.1,301.5,21.6
162,297.3,341.0,313.0,317.1,22.2
163,302.8,343.8,321.8,322.8,20.5
164,320.1,359.3,330.9,336.8,20.2
165,321.6,355.6,331.2,336.1,17.5
166,324.6,362.8,345.0,344.1,19.1
167,347.3,368.6,351.2,355.7,11.3
168,351.1,380.9,372.6,368.2,15.4
169,361.7,388.8,363.1,371.2,15.3
170,376.9,374.6,372.6,374.7,2.1
171,385.5,411.2,378.9,391.9,17.0
172,396.5,414.7,394.5,401.9,11.1
173,409.7,423.5,395.7,409.7,13.9
174,425.6,429.3,390.3,415.1,21.5
175,432.5,438.5,416.2,429.0,11.5
176,416.6,439.4,421.5,425.8,12.0
177,461.6,456.2,427.9,448.6,18.1
178,447.9,453.3,432.2,444.5,11.0
179,474.2,487.9,456.0,472.7,16.0
180,486.6,498.7,459.9,481.7,19.9
181,491.5,500.6,456.7,482.9,23.2
182,527.8,508.2,484.9,507.0,21.4
183,501.8,530.3,478.8,503.6,25.8
184,524.5,561.4,498.8,528.2,31.5
185,560.5,571.8,509.3,547.2,33.3
186,558.8,579.0,524.4,554.0,27.6
187,570.8,588.9,524.6,561.5,33.2
188,586.7,592.2,548.8,575.9,23.6
189,624.0,589.7,554.4,589.4,34.8
190,647.1,585.6,572.8,601.8,39.7
191,621.7,622.3,590.2,611.4,18.4
192,645.8,618.2,596.5,620.2,24.7
193,662.2,632.0,623.9,639.4,20.2
194,652.3,645.9,618.1,638.8,18.2
195,690.0,663.9,604.1,652.7,44.1
196,703.5,666.4,615.6,661.8,44.1
197,717.1,677.4,651.7,682.0,33.0
198,713.5,667.5,662.3,681.1,28.2
199,758.5,668.9,667.6,698.4,52.1
200,746.0,706.8,674.5,709.1,35.8
201,746.5,707.8,686.7,713.7,30.3
202,753.6,725.2,672.9,717.2,40.9
203,754.0,693.8,671.1,706.3,42.8
204,774.4,732.3,695.4,734.0,39.5
205,758.9,748.3,710.2,739.1,25.6
206,792.9,753.3,711.1,752.5,40.9
207,767.3,773.2,736.8,759.1,19.6
208,809.5,751.5,742.6,767.8,36.3
209,827.2,810.4,743.9,793.8,44.0
210,795.7,781.9,730.3,769.3,34.5
211,861.0,831.5,759.6,817.4,52.2
