Time after Ignition,PEVA_R1,PEVA_R2,PEVA_R3,Mean,Std. Dev.
0.0,2.5,7.2,3.3,4.3,2.5
0.25,2.5,7.1,3.4,4.3,2.5
0.5,2.4,6.7,3.4,4.2,2.3
0.75,2.3,6.5,3.4,4.1,2.2
1.0,2.3,6.1,3.4,3.9,2.0
1.25,2.3,6.1,3.6,4.0,1.9
1.5,2.2,5.7,3.7,3.9,1.8
1.75,2.1,5.5,3.8,3.8,1.7
2.0,2.1,5.4,4.0,3.8,1.7
2.25,2.0,5.4,3.9,3.8,1.7
2.5,2.1,5.3,3.9,3.8,1.6
2.75,2.0,5.0,4.1,3.7,1.6
3.0,2.0,5.1,4.2,3.8,1.6
3.25,2.0,4.9,4.3,3.7,1.5
3.5,2.0,4.8,4.4,3.7,1.5
3.75,1.9,4.8,4.4,3.7,1.5
4.0,2.0,4.5,4.5,3.7,1.5
4.25,2.0,4.6,4.6,3.7,1.5
4.5,1.9,4.5,4.5,3.6,1.5
4.75,1.9,4.4,4.5,3.6,1.5
5.0,1.9,4.2,4.5,3.5,1.4
5.25,1.9,4.1,4.5,3.5,1.4
5.5,1.9,3.9,4.5,3.4,1.4
5.75,1.9,3.9,4.5,3.4,1.4
6.0,1.9,3.6,4.5,3.4,1.3
6.25,1.9,3.5,4.5,3.3,1.3
6.5,1.8,3.5,4.5,3.3,1.4
6.75,1.8,3.4,4.5,3.2,1.4
7.0,1.7,3.3,4.4,3.1,1.3
7.25,1.7,3.3,4.2,3.1,1.3
7.5,1.6,3.2,4.2,3.0,1.3
7.75,1.6,3.1,4.1,2.9,1.2
8.0,1.6,3.1,4.1,2.9,1.3
8.25,1.5,3.2,3.9,2.9,1.2
8.5,1.4,3.4,3.9,2.9,1.3
8.75,1.4,3.4,3.8,2.9,1.3
9.0,1.3,3.4,3.8,2.8,1.3
9.25,1.4,3.5,3.8,2.9,1.3
9.5,1.5,3.5,3.7,2.9,1.3
9.75,1.5,3.5,3.7,2.9,1.2
10.0,1.6,3.6,5.4,3.5,1.9
10.25,3.6,4.5,6.7,4.9,1.6
10.5,5.6,5.4,8.2,6.4,1.6
10.75,7.3,6.1,9.4,7.6,1.6
11.0,8.7,16.6,19.7,15.0,5.6
11.25,20.7,25.7,30.1,25.5,4.7
11.5,31.3,33.9,37.4,34.2,3.1
11.75,41.4,41.9,45.3,42.9,2.1
12.0,50.1,47.9,52.4,50.1,2.3
12.25,70.0,55.1,69.2,64.8,8.4
12.5,88.2,72.2,86.8,82.4,8.9
12.75,104.8,89.5,100.2,98.2,7.9
13.0,119.0,103.3,114.2,112.2,8.1
13.25,139.9,118.2,125.7,127.9,11.0
13.5,156.1,129.9,144.1,143.4,13.1
13.75,174.7,148.0,162.9,161.9,13.4
14.0,190.8,166.6,178.3,178.6,12.1
14.25,206.1,177.7,188.5,190.8,14.3
14.5,216.2,193.2,203.9,204.5,11.5
14.75,227.1,209.0,219.6,218.6,9.1
15.0,237.9,217.2,225.1,226.7,10.4
15.25,248.0,229.3,230.3,235.8,10.5
15.5,257.7,241.2,242.4,247.1,9.2
15.75,262.2,246.6,252.6,253.8,7.9
16.0,272.1,252.0,256.2,260.1,10.6
16.25,275.2,258.1,261.8,265.0,9.0
16.5,281.3,269.8,269.2,273.4,6.9
16.75,284.3,271.7,270.8,275.6,7.5
17.0,291.6,277.3,279.1,282.7,7.8
17.25,287.3,279.0,279.3,281.9,4.7
17.5,295.0,284.4,282.2,287.2,6.9
17.75,295.4,283.4,286.9,288.6,6.1
18.0,293.9,289.0,285.6,289.5,4.2
18.25,296.0,290.6,287.8,291.5,4.2
18.5,298.7,287.6,287.4,291.3,6.5
18.75,295.1,289.2,288.0,290.8,3.8
19.0,294.9,290.0,282.8,289.2,6.1
19.25,291.2,287.5,285.5,288.0,2.9
19.5,288.5,283.9,284.4,285.6,2.5
19.75,285.2,281.2,278.7,281.7,3.3
20.0,286.3,278.1,279.3,281.2,4.4
20.25,279.9,284.3,274.6,279.6,4.9
20.5,267.1,275.1,277.3,273.2,5.4
20.75,270.8,273.1,273.3,272.4,1.4
21.0,264.9,271.5,265.4,267.3,3.7
21.25,264.2,267.7,266.0,266.0,1.7
21.5,259.2,268.9,262.1,263.4,5.0
21.75,256.2,260.1,264.3,260.2,4.1
22.0,250.8,258.8,257.8,255.8,4.4
22.25,250.4,257.1,251.8,253.1,3.6
22.5,243.6,251.3,247.9,247.6,3.8
22.75,244.7,255.5,243.9,248.0,6.5
23.0,239.8,245.2,242.8,242.6,2.7
23.25,234.4,243.0,239.3,238.9,4.3
23.5,231.8,239.7,235.6,235.7,3.9
23.75,226.1,237.3,233.7,232.4,5.7
24.0,221.0,232.7,229.6,227.8,6.1
24.25,220.1,229.6,225.6,225.1,4.8
24.5,216.7,225.8,222.3,221.6,4.6
24.75,214.2,222.2,217.6,218.0,4.0
25.0,208.0,220.7,214.1,214.3,6.4
25.25,204.5,213.2,207.9,208.5,4.4
25.5,201.3,209.1,202.5,204.3,4.2
25.75,195.0,204.7,198.1,199.3,5.0
26.0,191.0,199.8,194.9,195.2,4.4
26.25,185.6,194.4,189.6,189.9,4.4
26.5,185.8,187.3,184.5,185.9,1.4
26.75,179.5,186.4,180.6,182.2,3.7
27.0,176.5,177.7,175.1,176.5,1.3
27.25,170.4,176.4,170.2,172.3,3.5
27.5,164.6,174.2,162.3,167.0,6.3
27.75,160.6,166.7,162.8,163.4,3.1
28.0,156.8,160.8,157.5,158.4,2.1
28.25,157.2,156.7,154.7,156.2,1.3
28.5,152.3,,150.8,151.5,1.0
28.75,148.0,,,148.0,
29.0,143.9,,,143.9,
29.25,142.5,,,142.5,
29.5,139.6,,,139.6,
29.75,135.1,,,135.1,
30.0,133.1,,,133.1,
30.25,130.8,,,130.8,
30.5,126.6,,,126.6,
30.75,126.2,,,126.2,
31.0,122.3,,,122.3,
31.25,118.7,,,118.7,
31.5,113.4,,,113.4,
31.75,110.0,,,110.0,
32.0,106.3,,,106.3,
32.25,104.4,,,104.4,
32.5,100.1,,,100.1,
32.75,95.1,,,95.1,
33.0,90.5,,,90.5,
