Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.143687441945076,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,11.783324241638184,14.127508163452148,1,1,1,1.0009183883666992,1.0485150814056396,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,61.18572998046875,65.48181915283203,164.72171020507812,100.82125091552734,100.91329956054688,-0.0005566158797591925,0.042755767703056335,20.94003677368164,-448.9507751464844,-0.00839892216026783,,
1,0,61.074676513671875,66.01094055175781,168.43930053710938,100.98461151123047,101.06721496582031,-0.0006968549569137394,0.04700201004743576,20.936872482299805,137.09579467773438,-0.007520180661231279,0.0,0.0
2,0.25,61.38130187988281,66.03961181640625,168.0584259033203,100.9921646118164,101.06204223632812,-0.0007057213224470615,0.047027602791786194,20.936756134033203,137.0557403564453,-0.006361478939652443,0.0,0.0
3,0.5,61.485321044921875,65.61378479003906,167.27529907226562,100.97490692138672,101.07454681396484,-0.0007137010688893497,0.047050636261701584,20.9366512298584,136.95565795898438,-0.009071379899978638,0.0,0.0
4,0.75,61.930389404296875,65.7761001586914,167.21728515625,100.97957611083984,101.07842254638672,-0.0007208828465081751,0.047071367502212524,20.93655776977539,137.02572631835938,-0.00899894442409277,0.0,0.0
5,1,61.656959533691406,65.82308197021484,160.7744903564453,100.95297241210938,101.07454681396484,-0.0007273463997989893,0.047106195241212845,20.936473846435547,136.94566345214844,-0.011069612577557564,0.0,0.0
6,1.25,60.856483459472656,64.83379364013672,165.61288452148438,100.98101806640625,101.05514526367188,-0.0007263695006258786,0.0471375398337841,20.936397552490234,136.99569702148438,-0.0067493426613509655,0.0,0.0
7,1.5,61.09626770019531,64.96170806884766,164.9503631591797,100.96699523925781,101.01590728759766,-0.0007254902739077806,0.047165751457214355,20.936328887939453,137.00570678710938,-0.00445476733148098,0.0,0.0
