LABORATORY,FSRI 
TEST IDENT,PE_FPI_HF50_2
OPERATOR,Dow
MATERIAL,PE Foam Pipe Insulation
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.039002254605293274
SPEC HOLDER DIFF,-566
SPECIMEN MASS,4.510000228881836
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,780
TIME TO IGN,4.25
END OF TEST SCAN,300
END OF TEST TIME,75
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.20 x 100.71 x 10.47 mm
POST TEST CMT,"Immediately after ignition the sample corners rose and curled towards the center. Then the sample melted and spread out, with flames filling the entire foil pan. "
