Time after Ignition,PE_Foam_Pipe_Insulation_R1,PE_Foam_Pipe_Insulation_R2,PE_Foam_Pipe_Insulation_R3,Mean,Std. Dev.
0.0,16.1,23.8,25.7,21.9,5.1
0.25,18.1,28.6,25.6,24.1,5.4
0.5,24.2,32.9,31.0,29.4,4.6
0.75,30.1,36.8,35.5,34.1,3.6
1.0,34.1,40.8,39.1,38.0,3.5
1.25,38.8,45.1,42.9,42.3,3.2
1.5,43.6,49.8,46.1,46.5,3.1
1.75,50.4,54.3,49.9,51.5,2.4
2.0,54.0,57.4,52.3,54.6,2.6
2.25,58.6,61.3,58.4,59.4,1.6
2.5,62.2,65.1,61.9,63.1,1.8
2.75,67.8,69.1,66.7,67.8,1.2
3.0,68.3,71.6,69.6,69.9,1.7
3.25,72.9,74.8,73.9,73.9,0.9
3.5,75.3,79.0,76.2,76.8,1.9
3.75,78.6,81.4,80.4,80.1,1.4
4.0,81.2,82.7,81.9,82.0,0.8
4.25,82.9,87.9,83.0,84.6,2.8
4.5,84.5,88.0,85.3,85.9,1.8
4.75,85.8,89.3,88.0,87.7,1.7
5.0,86.7,90.4,92.1,89.8,2.7
5.25,89.2,96.5,93.2,93.0,3.6
5.5,89.3,97.0,96.2,94.2,4.3
5.75,92.8,100.2,98.1,97.0,3.8
6.0,92.9,103.3,103.4,99.9,6.1
6.25,94.7,104.1,109.7,102.8,7.6
6.5,95.9,111.5,113.1,106.8,9.5
6.75,97.9,114.7,119.3,110.6,11.3
7.0,98.7,119.3,121.8,113.2,12.7
7.25,98.8,121.3,130.3,116.8,16.2
7.5,101.0,128.2,137.9,122.4,19.1
7.75,101.6,139.6,145.1,128.8,23.7
8.0,106.1,146.2,154.8,135.7,26.0
8.25,108.5,150.3,153.7,137.5,25.1
8.5,113.0,165.0,167.2,148.4,30.7
8.75,115.6,179.6,177.2,157.5,36.3
9.0,124.6,197.4,184.8,168.9,38.9
9.25,131.6,204.2,195.8,177.2,39.7
9.5,140.2,223.0,205.1,189.4,43.6
9.75,149.8,244.9,217.1,203.9,48.9
10.0,167.7,261.3,232.8,220.6,48.0
10.25,187.6,277.5,244.0,236.4,45.5
10.5,201.2,293.1,245.3,246.5,46.0
10.75,213.3,316.1,257.1,262.2,51.6
11.0,229.8,328.3,278.7,278.9,49.2
11.25,246.9,352.0,284.7,294.5,53.2
11.5,263.4,354.5,302.7,306.9,45.7
11.75,282.1,373.8,325.7,327.2,45.9
12.0,316.9,397.7,356.7,357.1,40.4
12.25,321.3,396.1,379.4,365.6,39.3
12.5,347.8,429.4,383.5,386.9,40.9
12.75,348.0,437.4,383.7,389.7,45.0
13.0,359.3,434.7,394.6,396.2,37.8
13.25,367.3,464.4,421.3,417.7,48.6
13.5,414.3,475.0,465.7,451.6,32.7
13.75,418.0,487.9,484.2,463.4,39.3
14.0,426.9,485.7,472.6,461.7,30.9
14.25,425.5,505.1,496.0,475.5,43.6
14.5,473.3,511.8,535.1,506.7,31.2
14.75,455.5,561.3,548.2,521.6,57.7
15.0,506.6,527.1,563.6,532.4,28.8
