Sample ID:	C:\MCC\PMMA_MCC_30K_min_210920_R3.txt
Sample Weight (mg):	4.62
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.001	108.050	79.995	19.995	100.075	20.330	-0.289	-0.027
0.501	108.044	79.995	19.995	100.075	20.328	-0.173	-0.029
1.000	108.090	79.995	19.995	100.076	20.330	-0.284	0.012
1.500	108.094	79.995	19.994	100.079	20.331	-0.359	0.045
2.000	108.082	79.994	19.995	100.081	20.329	-0.205	0.021
2.500	108.099	79.996	19.997	100.087	20.329	-0.195	-0.001
3.000	108.047	79.995	19.995	100.092	20.331	-0.367	-0.015
3.500	108.042	79.995	19.996	100.095	20.332	-0.406	-0.046
4.000	108.070	79.996	19.995	100.094	20.327	-0.090	-0.018
4.500	108.058	79.997	19.996	100.091	20.330	-0.280	0.020
5.000	108.065	79.995	19.995	100.085	20.325	0.037	0.006
5.500	108.089	79.995	19.995	100.080	20.329	-0.210	0.013
6.000	108.059	79.995	19.995	100.077	20.326	-0.017	0.012
6.500	108.043	79.997	19.995	100.076	20.325	0.085	-0.026
7.001	108.071	79.995	19.995	100.076	20.325	0.053	-0.017
7.501	108.070	79.996	19.994	100.076	20.330	-0.269	0.019
8.001	108.044	79.996	19.995	100.081	20.332	-0.454	-0.000
8.501	108.073	79.995	19.994	100.085	20.330	-0.275	-0.012
9.001	108.074	79.996	19.995	100.089	20.332	-0.397	0.017
9.501	108.050	79.996	19.995	100.095	20.327	-0.065	0.004
10.001	108.075	79.996	19.995	100.097	20.327	-0.057	-0.011
10.501	108.040	79.996	19.994	100.096	20.329	-0.205	-0.005
11.001	108.058	79.996	19.995	100.097	20.328	-0.173	-0.013
11.501	108.064	79.995	19.995	100.099	20.327	-0.065	0.004
12.001	108.041	79.996	19.995	100.099	20.325	0.048	0.003
12.501	108.035	79.996	19.995	100.101	20.328	-0.138	-0.024
13.001	108.047	79.995	19.995	100.101	20.326	-0.041	-0.012
13.501	108.026	79.996	19.995	100.105	20.324	0.133	-0.001
14.001	108.060	79.996	19.994	100.106	20.324	0.142	0.003
14.501	108.037	79.996	19.995	100.108	20.320	0.378	0.012
15.000	108.032	79.995	19.994	100.115	20.322	0.244	-0.009
15.500	108.048	79.995	19.995	100.127	20.324	0.124	-0.009
16.000	108.034	79.996	19.995	100.135	20.322	0.262	0.007
16.500	108.054	79.994	19.994	100.143	20.322	0.238	0.004
17.000	108.045	79.995	19.996	100.152	20.320	0.358	0.009
17.500	108.075	79.995	19.994	100.161	20.319	0.459	0.015
18.000	108.082	79.993	19.994	100.169	20.322	0.286	0.028
18.500	108.096	79.994	19.995	100.177	20.317	0.613	0.029
19.000	108.072	79.994	19.997	100.185	20.317	0.600	0.006
19.500	108.095	79.995	19.995	100.192	20.314	0.819	-0.006
20.000	108.115	79.994	19.995	100.194	20.316	0.686	0.021
20.500	108.113	79.993	19.995	100.194	20.315	0.740	0.031
21.000	108.160	79.994	19.996	100.199	20.311	0.987	0.031
21.500	108.156	79.994	19.996	100.204	20.310	1.087	0.044
22.000	108.204	79.993	19.996	100.207	20.310	1.076	0.044
22.500	108.226	79.994	19.996	100.209	20.311	0.979	0.057
23.000	108.255	79.994	19.996	100.209	20.309	1.160	0.060
23.500	108.243	79.994	19.996	100.206	20.307	1.297	0.034
24.000	108.317	79.993	19.996	100.208	20.307	1.237	0.040
24.500	108.294	79.994	19.996	100.208	20.308	1.195	0.057
25.000	108.312	79.994	19.997	100.210	20.307	1.250	0.023
25.500	108.364	79.993	19.995	100.213	20.308	1.230	0.033
26.000	108.414	79.995	19.996	100.216	20.306	1.342	0.087
26.500	108.441	79.996	19.995	100.215	20.306	1.344	0.089
27.000	108.427	79.996	19.995	100.212	20.308	1.206	0.044
27.500	108.503	79.995	19.995	100.208	20.303	1.531	0.037
28.000	108.559	79.994	19.996	100.205	20.308	1.195	0.097
28.500	108.561	79.994	19.995	100.207	20.303	1.519	0.095
29.000	108.616	79.995	19.995	100.203	20.304	1.501	0.058
29.500	108.663	79.995	19.996	100.185	20.302	1.625	0.080
30.000	108.663	79.994	19.996	100.171	20.306	1.353	0.075
30.500	108.720	79.995	19.997	100.162	20.304	1.466	0.052
31.000	108.773	79.995	19.995	100.147	20.305	1.424	0.083
