Time after Ignition,PP_R1,PP_R2,PP_R3,Mean,Std. Dev.
0.0,11.544273022235958,9.6028829406112,13.961008715529564,11.702721559458908,2.183379152074375
0.25,13.583015814793871,12.388372190858531,16.404147415838672,14.125178473830358,2.0620542975467964
0.5,15.060179529972572,14.912412478567777,19.281676499810697,16.418089502783683,2.4810394278460923
0.75,16.546536219523375,17.01757206621861,21.031597837962774,18.198568707901586,2.464753381385126
1.0,19.859763804785036,19.236174133276847,25.673826296597753,21.58992141155321,3.550482411190192
1.25,22.615621664520088,23.563015064507024,29.46705986564849,25.2152321982252,3.7125351781073177
1.5,25.052873334037542,28.100117389279934,32.74244550561048,28.63181207630932,3.8722608997352834
1.75,27.595182589556384,32.052756565286565,36.063795549531946,31.903911568124965,4.236268109002491
2.0,32.02927237953633,35.694280272538606,38.977373181554825,35.56697527787659,3.475799348351676
2.25,36.486157468886304,41.82527423214639,43.399469781680814,40.570300494237834,3.6234915614209964
2.5,39.96407448488015,47.09734033686428,48.14775903163561,45.06972461779335,4.452706179209299
2.75,44.29641533588145,52.454853099991475,53.00734505559875,49.91953783049056,4.877595901905662
3.0,49.99096755352099,56.05151414918651,56.62488240147098,54.22245470139283,3.675772082180196
3.25,56.14021440567642,63.31278256493669,59.47763390857249,59.6435436263952,3.589161186915347
3.5,61.218062490160975,69.53844618573433,64.4080153599015,65.0548413452656,4.1977355921850785
3.75,66.25141423410744,76.10845431612796,70.89034159327797,71.08340338117112,4.931355233107643
4.0,74.7134753677443,80.7663682403526,73.65005275788992,76.37663212199561,3.8386266168244783
4.25,80.80625997322161,85.45034715885869,78.29558184439499,81.51739632549176,3.630007280971113
4.5,86.54376850716613,89.22090782869242,85.37776758147278,87.04748130577711,1.9704635692047772
4.75,92.5445317427776,96.06914090253927,92.14142989065886,93.58503417865857,2.1607203515303333
5.0,102.29946341125897,105.14595357084139,95.65257347016923,101.03266348408987,4.871822346470185
5.25,110.5302044839537,111.07897814038311,101.47606735675308,107.69508332702996,5.392810756963102
5.5,116.81137592726496,114.74424775107639,110.69245330946204,114.0826923292678,3.1126427971674326
5.75,122.70277449064324,120.6763931635222,119.07660910226271,120.81859225214271,1.8172601056468511
6.0,125.09118206141538,128.7937268273537,127.27621893417837,127.0537092743158,1.8612743880184452
6.25,131.121064706915,136.36232541042068,133.96835802749897,133.81724938161156,2.623895731098064
6.5,135.6575405088166,143.45191580034006,140.87399435884424,139.9944835560003,3.970922561007363
6.75,145.06508516576594,153.12266188169312,148.27039834110855,148.81938179618922,4.0567441081151765
7.0,150.36827867585063,161.608412287812,159.13729952241835,157.03799682869365,5.9068142643556785
7.25,156.61376575806648,166.57115718326838,166.69295277924115,163.29262524019202,5.784382553763464
7.5,164.9662169700608,173.46030462006564,171.2173186513348,169.88128008048707,4.401832635231129
7.75,165.3125893920269,179.9649407867262,184.69187218447658,176.65646745440986,10.104387523765123
8.0,173.97499369497572,190.13506902492242,195.00759718622743,186.37255330204184,11.009541127074549
8.25,187.09512484015835,204.76155935594878,201.0921669949139,197.64961706367367,9.322772637310715
8.5,191.7747550730309,208.13000863569775,209.98871734410295,203.29782701761053,10.022454280047585
8.75,198.24375086168425,217.15115948990982,214.18681232426778,209.86057422528725,10.169059805384048
9.0,201.65184524468515,231.04463822142313,223.76444485346383,218.82030943985737,15.307430417428083
9.25,209.65964176716628,245.66430519317655,231.55390946455458,228.95928547496578,18.142023104951182
9.5,224.58977798315124,255.06950155571698,244.23646289381938,241.29858081089586,15.450784789611085
9.75,222.11626288495657,257.6989926031636,244.73264741116697,241.51596763309576,18.00813524898492
10.0,237.35498106277356,267.6281901800497,256.85704644585934,253.94673922956088,15.345006146447528
10.25,235.96368625652232,285.00678751348295,266.4528568672422,262.4744435457491,24.76241657517695
10.5,249.72738820024855,293.40002704969027,275.8286848752091,272.9853667083826,21.974717055443406
10.75,258.4002028767157,310.1052841711556,290.20128355310345,286.2355902003249,26.079664505939547
11.0,275.61686520272985,302.66415369574247,290.9945808142528,289.758533237575,13.565943163485588
11.25,281.45002020889996,314.74478166683,307.1995541401994,301.13145200530977,17.45713844748632
11.5,295.2646358485509,330.8759300520467,315.8660127512546,314.0021928839507,17.878658704872173
11.75,301.1364454816025,334.8299310022401,313.0501412880131,316.3388392572852,17.085795046826895
12.0,319.94338869845956,354.22081404082013,331.90000196620525,335.35473490182835,17.397898056019145
12.25,321.09916398480027,354.7021317526894,337.450332614952,337.7505427841472,16.803495330189946
12.5,332.97934377517964,378.75058349417367,345.99797241838246,352.57596656257857,23.583979765387625
12.75,344.48589462272747,376.3181167777973,356.3943572851918,359.06612289523883,16.083418182671927
13.0,352.4064460359309,381.61478982203295,359.63915829463303,364.5534647175323,15.211661394975668
13.25,370.0068021580337,387.9683612272226,373.8258730894176,377.26701215822465,9.46231893444431
13.5,379.4104018630981,397.65804636698726,390.13922923637045,389.06922582215196,9.170758581759113
13.75,383.2953788680544,402.34417899585156,398.61684069865515,394.75213285418704,10.095353962071432
14.0,396.6699242698832,422.3361429387307,403.62462290622557,407.5435633716132,13.27430849301435
14.25,389.7097250810867,428.64818465057544,405.00115754841846,407.7863557600269,19.618075981595084
14.5,419.6088382565934,430.23520810693765,405.35986068749133,418.4013023503408,12.481559779659174
14.75,433.8773998031207,421.36394984753593,425.38348483364115,426.8749448280992,6.388657694229102
15.0,433.01659665544344,442.0422250489661,425.90360599358297,433.6541425659975,8.088176855431755
15.25,439.44024767537394,459.18808988437684,435.0347818375443,444.5543731324317,12.863175416443287
15.5,448.68126571076664,461.93580379643777,429.75444331600227,446.79050427440217,16.173782015962317
15.75,474.5582219048498,454.21577297630165,457.44276804141134,462.07225430752095,10.932882255778686
16.0,467.9400013191126,457.36487334403967,447.30258253745654,457.53581906686964,10.31977133091997
16.25,465.6261907688756,477.5033748225901,448.16636093935523,463.765308843607,14.756769871862964
16.5,495.6997345490365,477.1297795392265,474.3024851873478,482.3773330918703,11.623819672442883
16.75,522.3871746536237,507.6662306697127,475.3143076336899,501.7892376523421,24.080448242583845
17.0,506.386421025103,493.77963407990615,491.7639050413909,497.30998671546666,7.924773543896124
17.25,499.9575640545167,499.4245554808048,492.03329079681646,497.13847011071266,4.4292399353825775
17.5,532.9478402158214,510.8909670522407,489.41627983767694,511.08502903524635,21.766429019913804
17.75,527.2949882754012,547.0991969580353,487.0352864463124,520.4764905599163,30.60698073662478
18.0,550.0461783201627,522.402119660238,510.76134567913977,527.7365478865134,20.178369911473467
18.25,541.3451831108216,514.9075407201999,495.36548125152467,517.2060683608487,23.0758676489873
18.5,565.8005329599055,568.7868526882642,521.6200295193713,552.0691383891804,26.41194236712073
18.75,573.6384592257165,537.4989457317644,543.0101437920277,551.3825162498362,19.470197079744437
19.0,573.1837019592933,552.5895281973515,530.2099309978108,551.9943870514852,21.493066147018585
19.25,601.8188848061867,559.8165920040583,528.8696275343664,563.5017014482038,36.613980360499674
19.5,602.4856169675382,565.4048681066308,552.1811334653765,573.3572061798486,26.078056402421478
19.75,628.8187024824817,572.7984304249252,558.1707720431976,586.5959683168682,37.290234080093725
20.0,609.4292868272335,599.4621961361091,581.9715782260438,596.9543537297955,13.899582567765842
20.25,647.8010290619885,584.0724418631958,563.2429425663508,598.3721378305117,44.05540235339123
20.5,647.6407410242066,627.9150050418752,585.151445011692,620.2357303592579,31.944584420105297
20.75,649.1820133265164,588.2404610507904,607.7733817936189,615.0652853903085,31.118275851841865
21.0,638.4368380111501,615.2530644666915,589.3128992911903,614.334267256344,24.574854629801962
21.25,638.1688922815692,614.0619427864532,603.4491184231024,618.5599844970416,17.79156987503954
21.5,695.2862846799403,614.3952805194405,614.1919480184198,641.2911710726002,46.76125058345497
21.75,688.2597394660788,618.0940655318379,647.2366053388793,651.1968034455987,35.25007555232897
22.0,707.7673946161055,679.7163725128756,616.1337667938049,667.8725113075953,46.95091291078841
22.25,719.5589864140833,680.6273631966441,635.427568517131,678.5379727092861,42.10460822516225
22.5,734.4923439810113,644.479453053278,670.8923535723737,683.2880502022211,46.26899722812685
