Sample ID:	C:\MCC\MCC Cal\Test\PP_MCC_30K_min_210928_R1.txt
Sample Weight (mg):	5
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	111.288	80.005	19.995	100.171	20.027	0.125	-0.026
0.499	111.283	80.006	19.995	100.171	20.024	0.309	-0.007
0.999	111.292	80.006	19.995	100.171	20.026	0.189	-0.001
1.499	111.267	80.006	19.995	100.171	20.026	0.172	-0.006
1.999	111.291	80.007	19.995	100.171	20.027	0.111	-0.009
2.499	111.256	80.005	19.995	100.170	20.028	0.075	-0.006
2.999	111.252	80.005	19.994	100.166	20.026	0.217	-0.025
3.499	111.249	80.007	19.995	100.164	20.025	0.234	-0.023
3.999	111.212	80.006	19.995	100.159	20.025	0.242	-0.024
4.499	111.237	80.006	19.994	100.158	20.026	0.179	-0.026
4.999	111.239	80.006	19.995	100.157	20.028	0.108	0.007
5.499	111.254	80.007	19.994	100.156	20.028	0.084	0.022
6.000	111.225	80.007	19.995	100.158	20.029	0.026	0.002
6.500	111.254	80.006	19.994	100.164	20.028	0.084	-0.007
6.999	111.235	80.005	19.994	100.166	20.029	0.034	0.005
7.500	111.243	80.006	19.995	100.170	20.027	0.159	-0.001
8.000	111.200	80.005	19.995	100.174	20.026	0.229	-0.023
8.499	111.228	80.005	19.995	100.176	20.027	0.130	-0.025
8.999	111.224	80.007	19.995	100.178	20.025	0.242	0.004
9.499	111.213	80.005	19.994	100.182	20.024	0.345	0.004
9.999	111.222	80.007	19.995	100.190	20.025	0.265	-0.008
10.499	111.251	80.006	19.995	100.201	20.026	0.215	0.018
10.999	111.237	80.006	19.996	100.209	20.023	0.412	0.027
11.499	111.219	80.006	19.994	100.215	20.021	0.512	-0.008
11.999	111.228	80.006	19.995	100.222	20.019	0.645	-0.020
12.499	111.203	80.006	19.995	100.224	20.019	0.616	-0.013
12.999	111.231	80.005	19.995	100.223	20.019	0.651	-0.007
13.499	111.206	80.006	19.995	100.229	20.021	0.538	0.003
13.999	111.236	80.005	19.994	100.237	20.017	0.775	0.005
14.500	111.266	80.005	19.995	100.243	20.017	0.748	0.033
15.000	111.277	80.006	19.995	100.248	20.014	0.975	0.050
15.499	111.285	80.005	19.996	100.254	20.014	0.965	0.030
15.999	111.294	80.006	19.995	100.255	20.013	0.992	0.018
16.499	111.282	80.005	19.995	100.255	20.015	0.878	0.007
17.000	111.340	80.004	19.996	100.252	20.012	1.105	0.022
17.500	111.346	80.005	19.994	100.251	20.012	1.065	0.055
17.999	111.392	80.004	19.996	100.253	20.010	1.228	0.058
18.499	111.365	80.005	19.996	100.259	20.009	1.240	0.035
18.999	111.459	80.005	19.995	100.267	20.013	0.985	0.043
19.499	111.411	80.005	19.994	100.273	20.011	1.149	0.056
19.999	111.459	80.004	19.995	100.275	20.008	1.325	0.023
20.499	111.486	80.004	19.996	100.274	20.009	1.281	0.038
20.999	111.518	80.005	19.995	100.270	20.009	1.235	0.067
21.500	111.531	80.004	19.996	100.266	20.012	1.047	0.052
22.000	111.582	80.005	19.997	100.263	20.010	1.182	0.055
22.499	111.619	80.005	19.995	100.264	20.012	1.057	0.076
23.000	111.609	80.003	19.995	100.267	20.011	1.155	0.057
23.500	111.631	80.005	19.994	100.266	20.013	1.008	0.020
24.000	111.747	80.005	19.996	100.264	20.010	1.184	0.075
24.500	111.716	80.005	19.995	100.263	20.009	1.261	0.111
24.999	111.742	80.005	19.996	100.263	20.009	1.239	0.040
25.499	111.751	80.006	19.995	100.262	20.006	1.425	0.015
25.999	111.883	80.006	19.994	100.262	20.008	1.343	0.089
26.499	111.923	80.005	19.996	100.261	20.008	1.329	0.157
26.999	111.949	80.006	19.995	100.261	20.008	1.360	0.119
27.499	111.972	80.006	19.995	100.260	20.012	1.092	0.058
27.999	111.963	80.006	19.995	100.257	20.004	1.565	0.032
28.499	112.032	80.007	19.995	100.256	20.005	1.498	0.037
28.999	112.050	80.006	19.995	100.259	20.007	1.418	0.073
29.499	112.076	80.006	19.995	100.266	20.004	1.565	0.065
29.999	112.203	80.007	19.995	100.274	20.003	1.663	0.098
30.499	112.198	80.006	19.995	100.282	20.005	1.538	0.137
30.999	112.236	80.006	19.994	100.290	20.003	1.628	0.077
31.499	112.306	80.007	19.994	100.295	20.003	1.622	0.071
31.999	112.342	80.005	19.995	100.296	20.004	1.562	0.108
32.499	112.406	80.006	19.994	100.296	20.003	1.645	0.103
32.999	112.462	80.005	19.995	100.295	20.004	1.584	0.110
33.499	112.493	80.006	19.995	100.296	20.003	1.616	0.104
33.999	112.525	80.007	19.994	100.298	20.001	1.758	0.075
34.499	112.584	80.007	19.994	100.303	19.998	1.927	0.076
34.999	112.647	80.006	19.996	100.310	20.001	1.769	0.106
35.499	112.720	80.006	19.996	100.318	20.003	1.653	0.129
35.999	112.792	80.006	19.995	100.324	20.001	1.748	0.141
36.499	112.813	80.006	19.997	100.330	19.998	1.964	0.119
36.999	112.899	80.007	19.994	100.332	19.999	1.902	0.100
37.499	112.936	80.006	19.996	100.333	19.998	1.962	0.115
37.999	112.987	80.006	19.997	100.332	19.998	1.964	0.106
38.499	113.104	80.005	19.996	100.331	19.999	1.918	0.128
38.999	113.148	80.005	19.995	100.331	19.998	1.974	0.164
39.500	113.214	80.006	19.995	100.331	19.998	1.931	0.135
40.000	113.262	80.006	19.996	100.331	19.998	1.943	0.112
40.500	113.349	80.005	19.995	100.332	20.001	1.798	0.124
40.999	113.441	80.006	19.995	100.334	19.999	1.916	0.157
41.499	113.524	80.004	19.995	100.334	19.999	1.921	0.177
41.999	113.596	80.006	19.995	100.334	19.997	2.008	0.166
42.500	113.653	80.004	19.995	100.334	19.998	1.952	0.142
43.000	113.741	80.005	19.995	100.334	19.997	2.031	0.137
43.499	113.827	80.004	19.996	100.334	19.996	2.099	0.160
43.999	113.908	80.004	19.996	100.335	19.997	1.988	0.170
44.500	114.012	80.004	19.995	100.336	19.998	1.957	0.176
45.000	114.088	80.005	19.996	100.337	19.996	2.085	0.182
45.500	114.170	80.005	19.995	100.337	19.998	1.959	0.169
45.999	114.283	80.005	19.996	100.340	19.997	2.024	0.176
46.499	114.346	80.005	19.995	100.347	19.995	2.140	0.186
46.999	114.428	80.005	19.995	100.351	19.995	2.147	0.161
47.499	114.534	80.005	19.996	100.355	19.997	1.988	0.167
47.999	114.639	80.004	19.994	100.357	19.995	2.167	0.199
48.499	114.726	80.005	19.996	100.357	19.994	2.209	0.201
48.999	114.841	80.005	19.995	100.354	19.992	2.306	0.197
49.499	114.921	80.007	19.996	100.353	19.994	2.202	0.199
49.999	115.011	80.006	19.996	100.354	19.994	2.178	0.183
50.499	115.105	80.006	19.996	100.357	19.995	2.116	0.177
50.999	115.208	80.006	19.997	100.361	19.992	2.333	0.190
51.499	115.286	80.008	19.996	100.365	19.992	2.350	0.189
51.999	115.412	80.006	19.996	100.367	19.993	2.292	0.192
52.499	115.500	80.007	19.996	100.369	19.993	2.291	0.209
52.999	115.651	80.005	19.995	100.370	19.991	2.408	0.227
53.499	115.734	80.007	19.996	100.370	19.989	2.489	0.237
53.999	115.872	80.006	19.995	100.369	19.988	2.554	0.228
54.499	115.959	80.007	19.995	100.369	19.991	2.410	0.223
54.999	116.076	80.007	19.996	100.368	19.991	2.410	0.215
55.499	116.181	80.007	19.995	100.367	19.990	2.432	0.213
55.999	116.303	80.008	19.995	100.366	19.992	2.355	0.224
56.500	116.402	80.008	19.995	100.367	19.993	2.290	0.224
57.000	116.495	80.008	19.996	100.367	19.991	2.393	0.207
57.499	116.622	80.007	19.995	100.367	19.992	2.359	0.206
57.999	116.732	80.008	19.995	100.369	19.990	2.451	0.228
58.499	116.864	80.009	19.995	100.372	19.989	2.549	0.239
58.999	117.019	80.008	19.995	100.374	19.990	2.487	0.264
59.499	117.146	80.009	19.995	100.374	19.989	2.518	0.284
60.000	117.247	80.008	19.993	100.378	19.990	2.487	0.255
60.500	117.381	80.006	19.995	100.378	19.991	2.390	0.232
60.999	117.501	80.008	19.996	100.376	19.991	2.400	0.244
61.499	117.654	80.007	19.996	100.374	19.990	2.480	0.264
61.999	117.760	80.007	19.995	100.374	19.992	2.330	0.266
62.499	117.891	80.007	19.994	100.371	19.994	2.207	0.248
62.999	118.050	80.007	19.995	100.371	19.991	2.376	0.264
63.499	118.176	80.007	19.995	100.371	19.989	2.513	0.288
64.000	118.351	80.007	19.996	100.370	19.990	2.434	0.293
64.500	118.432	80.006	19.995	100.371	19.991	2.420	0.278
64.999	118.559	80.006	19.995	100.371	19.995	2.162	0.232
65.500	118.733	80.007	19.995	100.370	19.992	2.321	0.255
66.000	118.895	80.008	19.996	100.370	19.992	2.314	0.319
66.499	118.992	80.006	19.996	100.370	19.994	2.236	0.298
66.999	119.131	80.005	19.994	100.370	19.995	2.173	0.247
67.499	119.275	80.005	19.996	100.370	19.992	2.361	0.259
67.999	119.414	80.005	19.994	100.371	19.990	2.451	0.283
68.500	119.547	80.005	19.996	100.370	19.991	2.364	0.278
69.000	119.675	80.005	19.994	100.369	19.991	2.388	0.267
69.500	119.829	80.005	19.996	100.368	19.991	2.412	0.271
69.999	119.977	80.006	19.996	100.368	19.994	2.210	0.292
70.499	120.109	80.005	19.995	100.368	19.991	2.409	0.291
70.999	120.294	80.005	19.994	100.367	19.989	2.516	0.299
71.499	120.449	80.005	19.996	100.367	19.992	2.352	0.328
71.999	120.629	80.005	19.995	100.367	19.991	2.371	0.337
72.499	120.719	80.005	19.996	100.367	19.991	2.400	0.302
72.999	120.896	80.005	19.995	100.367	19.992	2.335	0.269
73.500	121.037	80.006	19.995	100.369	19.989	2.542	0.293
74.000	121.214	80.006	19.995	100.370	19.991	2.405	0.318
74.500	121.358	80.006	19.996	100.371	19.989	2.510	0.319
74.999	121.541	80.005	19.995	100.371	19.989	2.542	0.324
75.499	121.681	80.006	19.994	100.371	19.990	2.483	0.325
75.999	121.836	80.005	19.995	100.371	19.989	2.510	0.309
76.499	121.997	80.005	19.994	100.371	19.990	2.450	0.306
76.999	122.160	80.006	19.996	100.371	19.991	2.423	0.320
77.500	122.307	80.005	19.996	100.370	19.990	2.483	0.317
78.000	122.476	80.005	19.996	100.370	19.987	2.621	0.313
78.499	122.633	80.005	19.995	100.370	19.990	2.462	0.321
78.999	122.809	80.005	19.995	100.370	19.992	2.332	0.329
79.499	122.973	80.006	19.996	100.371	19.991	2.392	0.337
79.999	123.154	80.006	19.995	100.373	19.990	2.445	0.343
80.499	123.308	80.007	19.995	100.374	19.987	2.614	0.340
80.999	123.467	80.005	19.996	100.374	19.991	2.414	0.324
81.499	123.618	80.007	19.996	100.374	19.988	2.568	0.312
81.999	123.778	80.005	19.995	100.374	19.989	2.514	0.311
82.499	123.938	80.006	19.996	100.372	19.988	2.604	0.316
82.999	124.104	80.005	19.994	100.372	19.991	2.409	0.323
83.499	124.253	80.006	19.995	100.374	19.987	2.626	0.320
83.999	124.399	80.004	19.995	100.378	19.989	2.517	0.305
84.499	124.595	80.006	19.994	100.383	19.983	2.878	0.319
84.999	124.755	80.008	19.995	100.385	19.988	2.579	0.349
85.499	124.889	80.006	19.995	100.390	19.989	2.532	0.325
85.999	125.103	80.006	19.995	100.394	19.988	2.611	0.321
86.500	125.273	80.005	19.996	100.399	19.987	2.621	0.366
87.000	125.434	80.006	19.995	100.402	19.986	2.732	0.357
87.500	125.608	80.007	19.995	100.404	19.982	2.951	0.333
88.000	125.799	80.005	19.994	100.399	19.985	2.748	0.351
88.499	125.951	80.005	19.994	100.395	19.987	2.626	0.354
88.999	126.141	80.005	19.995	100.389	19.984	2.819	0.342
89.499	126.337	80.005	19.994	100.382	19.985	2.785	0.364
89.999	126.486	80.004	19.994	100.379	19.986	2.712	0.366
90.499	126.665	80.007	19.995	100.389	19.985	2.776	0.337
91.000	126.828	80.007	19.995	100.396	19.988	2.611	0.335
91.500	127.020	80.005	19.996	100.400	19.988	2.606	0.348
92.000	127.221	80.005	19.994	100.407	19.987	2.625	0.374
92.500	127.377	80.005	19.995	100.412	19.986	2.700	0.375
92.999	127.559	80.005	19.995	100.408	19.987	2.659	0.348
93.499	127.739	80.004	19.995	100.407	19.985	2.741	0.350
93.999	127.984	80.005	19.995	100.406	19.986	2.731	0.394
94.499	128.125	80.006	19.994	100.406	19.983	2.881	0.405
94.999	128.314	80.006	19.994	100.408	19.983	2.898	0.358
95.499	128.501	80.005	19.995	100.409	19.985	2.797	0.353
95.999	128.703	80.004	19.995	100.409	19.987	2.621	0.383
96.499	128.913	80.005	19.995	100.408	19.984	2.828	0.401
96.999	129.079	80.005	19.995	100.408	19.989	2.535	0.394
97.499	129.269	80.005	19.995	100.405	19.986	2.720	0.366
97.999	129.462	80.005	19.994	100.403	19.984	2.809	0.370
98.499	129.653	80.004	19.995	100.402	19.986	2.705	0.384
98.999	129.855	80.004	19.995	100.403	19.984	2.852	0.388
99.499	130.053	80.004	19.996	100.401	19.987	2.647	0.396
99.999	130.222	80.004	19.995	100.399	19.984	2.830	0.383
100.499	130.434	80.005	19.996	100.395	19.982	2.943	0.373
100.999	130.584	80.004	19.995	100.393	19.984	2.816	0.372
101.499	130.775	80.003	19.996	100.389	19.985	2.765	0.352
101.999	130.987	80.004	19.994	100.390	19.984	2.862	0.372
102.500	131.166	80.003	19.996	100.394	19.982	2.929	0.397
103.000	131.409	80.004	19.994	100.400	19.982	2.955	0.407
103.500	131.596	80.004	19.996	100.405	19.982	2.931	0.426
103.999	131.798	80.004	19.995	100.409	19.984	2.845	0.410
104.499	132.003	80.006	19.996	100.406	19.986	2.697	0.398
104.999	132.189	80.003	19.995	100.405	19.983	2.874	0.399
105.499	132.399	80.005	19.995	100.402	19.981	3.016	0.393
105.999	132.603	80.006	19.995	100.397	19.982	2.968	0.405
106.499	132.793	80.005	19.996	100.391	19.983	2.920	0.404
106.999	132.981	80.005	19.996	100.390	19.983	2.898	0.386
107.500	133.204	80.005	19.996	100.386	19.984	2.837	0.395
108.000	133.413	80.006	19.995	100.386	19.984	2.808	0.422
108.499	133.592	80.006	19.995	100.391	19.984	2.808	0.410
108.999	133.786	80.005	19.995	100.396	19.985	2.780	0.380
109.499	134.032	80.007	19.996	100.402	19.983	2.866	0.406
109.999	134.202	80.006	19.995	100.406	19.983	2.890	0.428
110.499	134.410	80.007	19.995	100.407	19.982	2.980	0.397
111.000	134.625	80.006	19.996	100.404	19.984	2.850	0.400
111.500	134.853	80.006	19.995	100.405	19.982	2.975	0.433
111.999	135.048	80.006	19.995	100.405	19.983	2.883	0.433
112.499	135.224	80.007	19.995	100.404	19.985	2.782	0.397
112.999	135.448	80.007	19.995	100.406	19.985	2.787	0.385
113.499	135.685	80.007	19.995	100.409	19.983	2.923	0.430
113.999	135.853	80.006	19.995	100.408	19.984	2.804	0.433
114.499	136.058	80.007	19.995	100.408	19.982	2.956	0.389
114.999	136.292	80.007	19.996	100.407	19.981	2.994	0.406
115.499	136.476	80.007	19.995	100.406	19.984	2.857	0.429
115.999	136.678	80.006	19.996	100.405	19.984	2.814	0.402
116.499	136.956	80.007	19.995	100.401	19.982	2.984	0.433
116.999	137.168	80.007	19.996	100.396	19.982	2.982	0.486
117.499	137.336	80.007	19.996	100.397	19.983	2.922	0.435
117.999	137.559	80.006	19.995	100.399	19.984	2.804	0.386
118.499	137.770	80.007	19.997	100.399	19.985	2.756	0.412
118.999	137.991	80.006	19.996	100.402	19.984	2.838	0.432
119.499	138.206	80.006	19.996	100.406	19.987	2.660	0.434
119.999	138.433	80.006	19.995	100.407	19.987	2.638	0.439
120.500	138.647	80.006	19.996	100.407	19.985	2.756	0.442
121.000	138.915	80.007	19.995	100.407	19.985	2.762	0.462
121.499	139.124	80.006	19.995	100.405	19.986	2.712	0.480
121.999	139.364	80.006	19.996	100.402	19.985	2.772	0.463
122.499	139.558	80.007	19.996	100.400	19.984	2.807	0.441
122.999	139.779	80.006	19.996	100.394	19.983	2.891	0.424
123.499	140.000	80.006	19.996	100.388	19.985	2.783	0.429
123.999	140.222	80.007	19.995	100.387	19.986	2.737	0.443
124.499	140.465	80.008	19.996	100.389	19.987	2.658	0.454
125.000	140.658	80.007	19.996	100.390	19.987	2.638	0.451
125.500	140.865	80.006	19.994	100.396	19.986	2.705	0.418
125.999	141.157	80.006	19.996	100.399	19.987	2.655	0.450
126.499	141.341	80.006	19.996	100.398	19.987	2.635	0.488
126.999	141.563	80.005	19.997	100.397	19.986	2.735	0.441
127.499	141.835	80.006	19.996	100.397	19.985	2.751	0.450
127.999	142.048	80.005	19.995	100.398	19.988	2.600	0.490
128.499	142.283	80.006	19.996	100.399	19.989	2.547	0.467
129.000	142.473	80.006	19.994	100.401	19.987	2.624	0.437
129.500	142.718	80.004	19.995	100.399	19.984	2.834	0.430
130.000	142.993	80.006	19.995	100.398	19.985	2.800	0.477
130.500	143.185	80.006	19.995	100.397	19.987	2.643	0.494
130.999	143.451	80.005	19.996	100.399	19.988	2.561	0.463
131.499	143.708	80.006	19.995	100.403	19.987	2.671	0.490
131.999	143.910	80.007	19.996	100.405	19.985	2.758	0.491
132.500	144.111	80.006	19.995	100.404	19.985	2.770	0.431
133.000	144.355	80.007	19.996	100.398	19.984	2.864	0.424
133.499	144.573	80.006	19.995	100.393	19.987	2.636	0.454
133.999	144.827	80.007	19.995	100.390	19.985	2.766	0.467
134.499	145.081	80.006	19.996	100.388	19.983	2.903	0.490
134.999	145.300	80.007	19.996	100.387	19.984	2.824	0.491
135.499	145.522	80.007	19.996	100.390	19.987	2.653	0.458
135.999	145.755	80.007	19.995	100.391	19.984	2.846	0.448
136.499	145.981	80.007	19.995	100.389	19.983	2.881	0.457
136.999	146.274	80.008	19.996	100.387	19.985	2.765	0.489
137.500	146.474	80.008	19.996	100.388	19.985	2.794	0.506
138.000	146.721	80.007	19.995	100.392	19.983	2.872	0.470
138.499	146.921	80.007	19.997	100.390	19.985	2.778	0.447
138.999	147.171	80.008	19.995	100.388	19.985	2.780	0.449
139.499	147.414	80.008	19.995	100.385	19.987	2.632	0.472
139.999	147.673	80.008	19.996	100.382	19.985	2.785	0.497
140.499	147.899	80.009	19.995	100.380	19.987	2.619	0.493
140.999	148.127	80.007	19.995	100.381	19.983	2.865	0.469
141.499	148.384	80.006	19.996	100.385	19.982	2.940	0.469
141.999	148.576	80.007	19.996	100.390	19.987	2.667	0.467
142.499	148.831	80.006	19.997	100.392	19.986	2.718	0.448
142.999	149.051	80.008	19.996	100.390	19.984	2.836	0.461
143.499	149.327	80.008	19.997	100.391	19.984	2.844	0.485
143.999	149.561	80.006	19.996	100.390	19.983	2.909	0.503
144.499	149.793	80.005	19.996	100.385	19.985	2.740	0.488
144.999	150.001	80.008	19.996	100.381	19.983	2.887	0.453
145.499	150.223	80.006	19.997	100.380	19.987	2.632	0.435
146.000	150.505	80.006	19.995	100.378	19.982	2.932	0.466
146.500	150.711	80.007	19.994	100.378	19.984	2.816	0.496
146.999	150.946	80.006	19.996	100.383	19.986	2.708	0.465
147.500	151.200	80.006	19.997	100.388	19.986	2.725	0.465
148.000	151.430	80.005	19.996	100.390	19.984	2.814	0.487
148.500	151.661	80.005	19.995	100.389	19.985	2.749	0.473
149.000	151.877	80.004	19.996	100.385	19.984	2.822	0.454
149.499	152.127	80.005	19.997	100.382	19.986	2.728	0.456
149.999	152.394	80.006	19.997	100.378	19.986	2.718	0.492
150.499	152.642	80.004	19.995	100.376	19.986	2.720	0.516
150.999	152.875	80.004	19.995	100.373	19.987	2.658	0.498
151.499	153.128	80.003	19.995	100.374	19.987	2.662	0.483
151.999	153.346	80.005	19.995	100.374	19.984	2.810	0.478
152.499	153.603	80.004	19.996	100.378	19.986	2.696	0.473
152.999	153.804	80.004	19.995	100.377	19.986	2.703	0.467
153.499	154.070	80.004	19.995	100.378	19.988	2.592	0.462
153.999	154.286	80.004	19.995	100.379	19.986	2.685	0.475
154.499	154.536	80.006	19.994	100.377	19.987	2.619	0.475
154.999	154.751	80.004	19.995	100.373	19.992	2.361	0.465
155.499	154.999	80.005	19.995	100.373	19.988	2.552	0.463
155.999	155.221	80.003	19.995	100.376	19.985	2.766	0.466
156.499	155.495	80.005	19.994	100.376	19.986	2.732	0.483
156.999	155.712	80.005	19.996	100.377	19.986	2.727	0.493
157.499	155.977	80.005	19.995	100.380	19.985	2.757	0.486
158.000	156.176	80.005	19.994	100.380	19.986	2.680	0.473
158.500	156.433	80.005	19.995	100.382	19.987	2.638	0.460
158.999	156.668	80.004	19.994	100.384	19.985	2.759	0.474
159.499	156.915	80.005	19.995	100.384	19.987	2.672	0.488
160.000	157.169	80.005	19.995	100.382	19.984	2.817	0.491
160.500	157.423	80.006	19.993	100.382	19.985	2.771	0.504
160.999	157.651	80.005	19.994	100.378	19.984	2.860	0.495
161.499	157.933	80.004	19.995	100.377	19.984	2.810	0.496
162.000	158.148	80.003	19.995	100.381	19.983	2.899	0.504
162.500	158.361	80.005	19.995	100.385	19.986	2.737	0.462
163.000	158.615	80.004	19.995	100.384	19.986	2.699	0.447
163.500	158.861	80.005	19.995	100.384	19.985	2.768	0.484
164.000	159.068	80.004	19.995	100.384	19.987	2.675	0.477
164.500	159.337	80.005	19.995	100.380	19.983	2.911	0.464
164.999	159.578	80.005	19.995	100.376	19.985	2.781	0.493
165.499	159.801	80.005	19.995	100.379	19.987	2.656	0.487
165.999	160.077	80.003	19.995	100.380	19.984	2.817	0.482
166.499	160.353	80.005	19.995	100.379	19.988	2.571	0.526
166.999	160.637	80.006	19.995	100.378	19.987	2.650	0.556
167.499	160.807	80.006	19.995	100.379	19.990	2.463	0.507
168.000	161.082	80.005	19.995	100.378	19.990	2.465	0.450
168.500	161.308	80.005	19.995	100.378	19.990	2.479	0.474
168.999	161.558	80.006	19.994	100.377	19.987	2.617	0.488
169.499	161.818	80.005	19.995	100.378	19.987	2.649	0.493
169.999	162.032	80.006	19.996	100.377	19.989	2.547	0.492
170.499	162.289	80.005	19.995	100.375	19.989	2.526	0.473
171.000	162.502	80.006	19.995	100.375	19.993	2.244	0.470
171.500	162.780	80.006	19.994	100.376	19.990	2.449	0.480
171.999	163.001	80.005	19.995	100.376	19.991	2.410	0.495
172.500	163.231	80.005	19.995	100.375	19.993	2.292	0.475
173.000	163.538	80.005	19.995	100.375	19.991	2.398	0.494
173.500	163.748	80.005	19.995	100.378	19.992	2.342	0.527
174.000	164.009	80.005	19.995	100.378	19.988	2.573	0.494
174.500	164.248	80.005	19.995	100.379	19.988	2.595	0.486
174.999	164.481	80.005	19.995	100.379	19.991	2.422	0.486
175.499	164.709	80.008	19.997	100.380	19.990	2.480	0.466
175.999	164.974	80.005	19.997	100.378	19.987	2.661	0.477
176.499	165.230	80.003	19.995	100.377	19.986	2.682	0.507
176.999	165.494	80.005	19.996	100.377	19.987	2.619	0.521
177.499	165.733	80.004	19.995	100.377	19.989	2.521	0.512
178.000	165.975	80.005	19.996	100.378	19.985	2.740	0.492
178.500	166.196	80.005	19.994	100.377	19.986	2.731	0.472
179.000	166.441	80.004	19.995	100.378	19.989	2.547	0.465
179.499	166.709	80.003	19.996	100.377	19.985	2.779	0.489
179.999	166.960	80.004	19.995	100.376	19.985	2.740	0.515
180.499	167.232	80.006	19.995	100.373	19.987	2.665	0.521
180.999	167.473	80.005	19.996	100.372	19.988	2.596	0.518
181.499	167.701	80.005	19.995	100.372	19.986	2.696	0.491
182.000	167.973	80.006	19.996	100.372	19.989	2.509	0.484
182.500	168.191	80.006	19.996	100.372	19.988	2.605	0.495
183.000	168.412	80.006	19.994	100.373	19.988	2.566	0.465
183.499	168.706	80.006	19.995	100.373	19.986	2.711	0.477
183.999	168.905	80.005	19.995	100.373	19.987	2.660	0.503
184.499	169.190	80.005	19.995	100.373	19.988	2.590	0.488
184.999	169.480	80.004	19.995	100.372	19.989	2.506	0.530
185.499	169.690	80.004	19.995	100.372	19.987	2.663	0.538
185.999	169.949	80.006	19.996	100.372	19.989	2.538	0.484
186.499	170.193	80.005	19.995	100.372	19.988	2.601	0.485
186.999	170.459	80.005	19.994	100.372	19.989	2.497	0.506
187.499	170.674	80.005	19.994	100.372	19.989	2.502	0.496
187.999	170.911	80.004	19.995	100.372	19.987	2.665	0.467
188.499	171.129	80.006	19.995	100.371	19.989	2.518	0.453
188.999	171.402	80.005	19.995	100.371	19.991	2.410	0.473
189.499	171.669	80.005	19.994	100.371	19.990	2.483	0.516
189.999	171.876	80.005	19.994	100.371	19.988	2.598	0.507
190.499	172.135	80.005	19.996	100.371	19.988	2.574	0.470
190.999	172.378	80.005	19.995	100.371	19.987	2.615	0.484
191.499	172.610	80.006	19.995	100.371	19.989	2.516	0.488
191.999	172.882	80.005	19.994	100.371	19.988	2.553	0.489
192.500	173.153	80.006	19.994	100.371	19.986	2.704	0.523
193.000	173.417	80.006	19.995	100.371	19.989	2.521	0.539
193.500	173.594	80.006	19.995	100.370	19.989	2.516	0.489
194.000	173.902	80.007	19.995	100.369	19.992	2.352	0.463
194.500	174.123	80.006	19.994	100.369	19.990	2.441	0.507
194.999	174.379	80.006	19.994	100.369	19.992	2.311	0.503
195.499	174.636	80.006	19.995	100.369	19.991	2.410	0.495
195.999	174.874	80.008	19.995	100.369	19.993	2.294	0.504
196.499	175.108	80.008	19.995	100.370	19.990	2.427	0.483
196.999	175.371	80.006	19.995	100.370	19.992	2.300	0.484
197.499	175.602	80.008	19.994	100.367	19.993	2.299	0.496
198.000	175.877	80.007	19.994	100.365	19.991	2.364	0.500
198.500	176.086	80.007	19.995	100.364	19.992	2.312	0.494
198.999	176.360	80.006	19.995	100.360	19.991	2.415	0.483
199.499	176.602	80.007	19.994	100.360	19.990	2.454	0.500
199.999	176.859	80.007	19.994	100.361	19.990	2.470	0.508
200.499	177.070	80.006	19.996	100.361	19.992	2.338	0.484
201.000	177.318	80.007	19.995	100.363	19.993	2.253	0.464
