Sample ID:	C:\MCC\MCC Cal\Test\PUF_82C_MCC_30K_min_220309_R3.txt
Sample Weight (mg):	4.34
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	111.854	80.009	19.994	103.692	19.975	-0.084	0.003
0.500	111.855	80.008	19.994	103.693	19.974	-0.006	-0.015
1.000	111.814	80.006	19.994	103.692	19.977	-0.201	-0.021
1.500	111.838	80.003	19.992	103.687	19.976	-0.177	-0.028
2.000	111.826	80.008	19.995	103.691	19.975	-0.090	-0.002
2.500	111.808	80.006	19.996	103.694	19.975	-0.093	-0.009
3.000	111.822	80.007	19.994	103.699	19.975	-0.103	-0.017
3.500	111.827	80.006	19.996	103.704	19.976	-0.175	0.007
4.000	111.793	80.008	19.996	103.711	19.977	-0.195	-0.005
4.500	111.794	80.007	19.997	103.712	19.976	-0.179	-0.031
5.000	111.837	80.008	19.996	103.711	19.978	-0.290	0.006
5.500	111.773	80.006	19.995	103.706	19.976	-0.183	0.011
6.000	111.783	80.008	19.995	103.706	19.977	-0.204	-0.037
6.500	111.758	80.007	19.994	103.706	19.976	-0.187	-0.034
7.000	111.770	80.008	19.995	103.706	19.975	-0.103	-0.014
7.500	111.758	80.008	19.995	103.707	19.977	-0.216	-0.007
8.000	111.776	80.005	19.994	103.711	19.976	-0.128	0.003
8.500	111.800	80.006	19.995	103.712	19.974	-0.006	0.024
9.000	111.793	80.006	19.994	103.713	19.976	-0.154	0.030
9.500	111.761	80.007	19.994	103.715	19.974	-0.035	-0.011
10.000	111.786	80.005	19.994	103.716	19.974	-0.012	-0.023
10.500	111.778	80.003	19.995	103.719	19.973	0.047	0.005
11.000	111.773	80.005	19.994	103.724	19.976	-0.152	0.002
11.500	111.765	80.006	19.994	103.728	19.971	0.189	-0.014
12.000	111.756	80.004	19.994	103.731	19.971	0.206	-0.015
12.500	111.754	80.003	19.994	103.731	19.971	0.231	-0.013
13.000	111.761	80.004	19.994	103.730	19.971	0.231	-0.003
13.500	111.766	80.006	19.994	103.726	19.971	0.227	0.008
14.000	111.772	80.005	19.994	103.723	19.974	0.031	0.011
14.500	111.768	80.003	19.994	103.720	19.971	0.185	0.006
15.000	111.764	80.003	19.994	103.723	19.972	0.132	-0.003
15.500	111.762	80.005	19.994	103.728	19.972	0.179	-0.007
16.000	111.757	80.004	19.994	103.735	19.967	0.505	-0.006
16.500	111.780	80.005	19.993	103.746	19.965	0.636	0.005
17.000	111.792	80.003	19.992	103.760	19.965	0.684	0.027
17.500	111.797	80.004	19.992	103.772	19.966	0.622	0.026
18.000	111.817	80.004	19.993	103.781	19.962	0.882	0.021
18.500	111.822	80.006	19.994	103.789	19.961	0.939	0.025
19.000	111.833	80.004	19.993	103.796	19.964	0.731	0.021
19.500	111.835	80.003	19.992	103.803	19.962	0.873	0.015
20.000	111.847	80.007	19.994	103.811	19.961	0.970	0.014
20.500	111.877	80.002	19.993	103.824	19.958	1.186	0.028
21.000	111.893	80.006	19.993	103.838	19.959	1.149	0.044
21.500	111.916	80.005	19.992	103.850	19.961	0.982	0.043
22.000	111.923	80.005	19.993	103.858	19.964	0.777	0.034
22.500	111.958	80.004	19.993	103.864	19.957	1.291	0.036
23.000	111.995	80.004	19.993	103.868	19.953	1.528	0.057
23.500	112.027	80.004	19.994	103.873	19.951	1.740	0.071
24.000	112.043	80.005	19.993	103.884	19.944	2.253	0.058
24.500	112.050	80.003	19.994	103.893	19.952	1.619	0.035
25.000	112.147	80.006	19.994	103.903	19.947	1.996	0.063
25.500	112.138	80.006	19.993	103.911	19.945	2.152	0.096
26.000	112.208	80.004	19.992	103.916	19.946	2.052	0.075
26.500	112.251	80.004	19.993	103.917	19.951	1.741	0.087
27.000	112.326	80.005	19.994	103.920	19.944	2.212	0.116
27.500	112.306	80.005	19.995	103.919	19.946	2.111	0.087
28.000	112.408	80.005	19.994	103.920	19.948	1.965	0.068
28.500	112.475	80.002	19.993	103.920	19.943	2.305	0.125
29.000	112.495	80.003	19.994	103.919	19.943	2.344	0.128
29.500	112.550	80.004	19.993	103.916	19.940	2.500	0.081
30.000	112.626	80.006	19.993	103.916	19.942	2.389	0.103
30.500	112.714	80.005	19.993	103.915	19.941	2.482	0.147
31.000	112.746	80.005	19.994	103.915	19.939	2.622	0.142
31.500	112.828	80.005	19.993	103.915	19.940	2.562	0.117
32.000	112.910	80.005	19.994	103.914	19.944	2.241	0.139
32.500	112.996	80.006	19.993	103.914	19.943	2.342	0.166
33.000	113.048	80.005	19.994	103.915	19.939	2.595	0.154
33.500	113.155	80.007	19.992	103.914	19.940	2.558	0.149
34.000	113.219	80.005	19.994	103.916	19.939	2.581	0.165
34.500	113.352	80.006	19.995	103.915	19.941	2.474	0.184
35.000	113.412	80.005	19.993	103.914	19.937	2.754	0.195
35.500	113.551	80.006	19.994	103.915	19.936	2.801	0.196
36.000	113.664	80.007	19.993	103.920	19.943	2.342	0.226
36.500	113.647	80.004	19.994	103.920	19.941	2.424	0.174
37.000	113.788	80.005	19.993	103.920	19.944	2.212	0.110
37.500	113.914	80.006	19.994	103.923	19.935	2.882	0.195
38.000	113.927	80.005	19.994	103.925	19.938	2.653	0.203
38.500	114.073	80.004	19.994	103.922	19.939	2.626	0.149
39.001	114.128	80.005	19.993	103.921	19.937	2.777	0.180
39.501	114.210	80.004	19.993	103.921	19.935	2.882	0.169
40.000	114.313	80.004	19.994	103.918	19.940	2.550	0.161
40.501	114.463	80.003	19.994	103.915	19.943	2.326	0.219
41.001	114.527	80.006	19.993	103.912	19.935	2.937	0.234
41.500	114.635	80.005	19.994	103.911	19.942	2.408	0.193
42.000	114.733	80.005	19.994	103.912	19.942	2.381	0.189
42.500	114.857	80.005	19.994	103.912	19.939	2.575	0.214
43.000	114.965	80.003	19.994	103.912	19.940	2.529	0.227
43.500	115.042	80.005	19.995	103.912	19.939	2.597	0.209
44.001	115.158	80.004	19.994	103.912	19.939	2.585	0.189
44.501	115.323	80.005	19.993	103.912	19.939	2.599	0.237
45.000	115.393	80.006	19.994	103.917	19.939	2.606	0.258
45.500	115.509	80.004	19.994	103.918	19.938	2.655	0.211
46.000	115.707	80.006	19.993	103.919	19.939	2.632	0.250
46.500	115.822	80.007	19.994	103.920	19.941	2.449	0.313
47.000	115.898	80.005	19.994	103.924	19.940	2.527	0.252
47.500	116.013	80.004	19.994	103.924	19.940	2.562	0.191
48.001	116.084	80.006	19.993	103.923	19.942	2.420	0.188
48.501	116.259	80.005	19.994	103.924	19.938	2.709	0.216
49.000	116.354	80.004	19.994	103.924	19.938	2.676	0.258
49.500	116.507	80.005	19.994	103.922	19.939	2.577	0.259
50.000	116.643	80.006	19.993	103.918	19.937	2.725	0.269
50.500	116.725	80.005	19.992	103.920	19.938	2.703	0.254
51.000	116.896	80.005	19.994	103.922	19.939	2.628	0.235
51.501	116.995	80.006	19.994	103.922	19.937	2.729	0.262
52.001	117.155	80.006	19.992	103.920	19.939	2.633	0.265
52.501	117.313	80.007	19.993	103.920	19.939	2.612	0.288
53.000	117.422	80.006	19.992	103.917	19.940	2.571	0.292
53.500	117.518	80.007	19.993	103.913	19.939	2.631	0.236
54.001	117.665	80.007	19.993	103.912	19.935	2.891	0.224
54.501	117.851	80.006	19.993	103.911	19.937	2.777	0.288
55.000	117.962	80.007	19.994	103.912	19.936	2.845	0.315
55.500	118.115	80.008	19.993	103.914	19.938	2.685	0.280
56.000	118.247	80.008	19.994	103.917	19.938	2.699	0.275
56.501	118.403	80.007	19.993	103.917	19.938	2.695	0.287
57.001	118.555	80.007	19.993	103.918	19.939	2.582	0.298
57.500	118.680	80.007	19.993	103.918	19.937	2.742	0.292
58.000	118.781	80.008	19.993	103.915	19.938	2.683	0.251
58.500	118.961	80.008	19.993	103.915	19.938	2.701	0.253
59.000	119.102	80.010	19.994	103.919	19.939	2.635	0.301
59.500	119.250	80.009	19.993	103.918	19.942	2.409	0.305
60.000	119.352	80.008	19.993	103.920	19.939	2.629	0.269
60.501	119.523	80.007	19.993	103.922	19.937	2.734	0.261
61.001	119.686	80.008	19.994	103.921	19.939	2.592	0.304
61.500	119.832	80.007	19.994	103.922	19.938	2.683	0.322
62.000	120.011	80.008	19.994	103.926	19.939	2.619	0.317
62.501	120.143	80.006	19.995	103.926	19.939	2.645	0.318
63.001	120.296	80.008	19.993	103.930	19.937	2.775	0.298
63.500	120.439	80.006	19.995	103.934	19.936	2.821	0.290
64.000	120.597	80.007	19.995	103.936	19.937	2.744	0.299
64.500	120.767	80.005	19.995	103.940	19.936	2.843	0.315
65.000	120.929	80.007	19.995	103.945	19.936	2.827	0.330
65.500	121.094	80.008	19.994	103.948	19.937	2.769	0.329
66.000	121.218	80.007	19.994	103.948	19.935	2.938	0.308
66.500	121.389	80.006	19.994	103.948	19.938	2.701	0.292
67.000	121.559	80.006	19.994	103.948	19.937	2.744	0.318
