Sample ID:	C:\MCC\MCC Cal\Test\PUF_Mattress_Pad_MCC_30K_min_220110_R3.txt
Sample Weight (mg):	4.96
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	110.552	80.004	19.994	104.064	20.137	-0.097	-0.021
0.500	110.528	80.002	19.993	104.064	20.138	-0.169	-0.015
1.000	110.525	80.003	19.996	104.064	20.136	-0.090	-0.018
1.500	110.520	80.005	19.995	104.064	20.137	-0.091	-0.017
2.000	110.537	80.003	19.997	104.063	20.134	0.077	0.002
2.500	110.546	80.004	19.994	104.064	20.133	0.108	0.019
3.000	110.531	80.003	19.996	104.065	20.139	-0.278	0.010
3.500	110.523	80.004	19.995	104.066	20.136	-0.077	-0.014
4.000	110.538	80.006	19.995	104.066	20.135	0.016	-0.008
4.500	110.534	80.003	19.995	104.066	20.135	0.029	0.009
5.000	110.565	80.005	19.994	104.065	20.137	-0.145	0.019
5.500	110.568	80.003	19.996	104.064	20.138	-0.221	0.030
6.000	110.541	80.006	19.991	104.063	20.137	-0.095	0.005
6.500	110.537	80.003	19.998	104.064	20.136	-0.074	-0.028
7.000	110.525	80.006	19.994	104.063	20.132	0.174	-0.023
7.500	110.555	80.005	19.996	104.063	20.135	0.032	0.001
8.000	110.567	80.003	19.994	104.063	20.134	0.045	0.030
8.500	110.538	80.005	19.996	104.063	20.136	-0.070	0.012
9.000	110.547	80.005	19.993	104.058	20.134	0.083	-0.019
9.500	110.538	80.004	19.994	104.059	20.133	0.126	-0.010
10.000	110.546	80.005	19.994	104.059	20.135	0.023	-0.000
10.500	110.547	80.007	19.992	104.059	20.132	0.197	0.004
11.000	110.547	80.004	19.994	104.060	20.132	0.205	0.005
11.500	110.571	80.004	19.995	104.064	20.135	-0.007	0.012
12.000	110.552	80.007	19.993	104.064	20.136	-0.027	0.014
12.500	110.572	80.005	19.993	104.064	20.136	-0.066	0.003
13.000	110.576	80.003	19.993	104.065	20.137	-0.115	0.013
13.499	110.552	80.004	19.995	104.065	20.134	0.054	0.002
13.999	110.561	80.001	19.994	104.065	20.132	0.212	-0.018
14.499	110.551	80.005	19.993	104.064	20.133	0.142	-0.009
14.999	110.554	80.004	19.993	104.065	20.131	0.295	-0.004
15.500	110.565	80.001	19.993	104.065	20.131	0.298	0.004
15.999	110.540	80.001	19.995	104.064	20.130	0.340	0.000
16.499	110.552	80.001	19.995	104.064	20.130	0.352	-0.013
17.000	110.542	80.002	19.996	104.069	20.130	0.345	-0.006
17.499	110.561	80.004	19.994	104.070	20.130	0.329	0.006
17.999	110.541	80.002	19.995	104.074	20.129	0.368	0.004
18.499	110.568	80.003	19.997	104.080	20.127	0.543	0.003
19.000	110.575	80.003	19.997	104.087	20.128	0.478	0.020
19.500	110.565	80.002	19.996	104.089	20.129	0.413	0.015
19.999	110.582	80.002	19.993	104.095	20.128	0.453	0.002
20.499	110.553	80.004	19.999	104.105	20.127	0.552	-0.002
20.999	110.548	80.005	19.994	104.112	20.125	0.650	-0.023
21.500	110.585	80.004	19.995	104.122	20.124	0.728	-0.001
22.000	110.595	80.004	19.993	104.131	20.119	1.046	0.039
22.500	110.574	80.001	19.998	104.140	20.121	0.900	0.018
23.000	110.602	80.003	19.997	104.147	20.120	0.961	-0.002
23.500	110.627	80.004	19.994	104.157	20.119	1.082	0.030
23.999	110.610	80.000	19.997	104.169	20.120	1.010	0.030
24.499	110.619	80.004	19.995	104.184	20.117	1.182	-0.000
24.999	110.649	80.003	19.995	104.200	20.114	1.392	0.016
25.499	110.665	80.005	19.994	104.212	20.114	1.362	0.043
26.000	110.697	80.007	19.994	104.220	20.114	1.398	0.048
26.500	110.696	80.000	20.004	104.225	20.113	1.457	0.039
27.000	110.782	80.005	19.993	104.225	20.109	1.721	0.057
27.500	110.746	80.004	19.996	104.230	20.110	1.617	0.067
28.000	110.803	80.005	19.994	104.236	20.111	1.588	0.036
28.499	110.802	80.007	19.995	104.243	20.107	1.853	0.039
28.999	110.844	80.002	19.995	104.250	20.104	2.020	0.049
29.500	110.903	80.001	19.994	104.256	20.103	2.106	0.071
30.000	110.943	80.003	19.997	104.256	20.104	2.043	0.100
30.499	110.964	80.006	19.996	104.252	20.107	1.836	0.080
30.999	110.988	80.008	19.996	104.247	20.103	2.108	0.052
31.499	111.057	80.008	19.995	104.240	20.105	1.993	0.069
31.999	111.125	80.007	19.995	104.234	20.101	2.235	0.115
32.499	111.146	80.006	19.994	104.230	20.104	2.050	0.113
32.999	111.218	80.004	19.996	104.227	20.108	1.783	0.091
33.499	111.298	80.007	19.994	104.224	20.105	1.953	0.123
