LABORATORY,FSRI 
TEST IDENT,PVC_HF25_3
OPERATOR,Dow
MATERIAL,PVC
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,305.33001708984375
SPECIMEN MASS,43.70000076293945
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1688
TIME TO IGN,251
END OF TEST SCAN,1208
END OF TEST TIME,302
TEST STATUS,1
PRE TEST CMT,Dimensions: 98.97 x 99.17 x 3.14 mm; 60 mm spacing
POST TEST CMT,Sample self extinguished at approximately 6 minutes with unburned material remaining.
