LABORATORY,FSRI 
TEST IDENT,UL FSRI TF Fuel 3-3
OPERATOR,DM
MATERIAL,0.525 inch thick pallet wood
ORIENTATION,Horizontal
HEAT FLUX,35
SURF AREA,0.01
C FACTOR,0.03923798
SPEC HOLDER DIFF,350.9000244
SPECIMEN MASS,60.22000122
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3715
TIME TO IGN,54.75
END OF TEST SCAN,3235
END OF TEST TIME,808.75
TEST STATUS,1
PRE TEST CMT,"Board from solid hardwood pallet, Training Fires IFSI 2016, rough surface, approx 7% MC, with Grid "
