LABORATORY,FSRI 
TEST IDENT,Part_Board_HF50_R1
OPERATOR,Marino
MATERIAL,Particle Board
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03871383145451546
SPEC HOLDER DIFF,-566
SPECIMEN MASS,137.85000610351562
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5612
TIME TO IGN,35.75
END OF TEST SCAN,5132
END OF TEST TIME,1283
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.84 x 101.73 x 19.40 mm; with tie wires
POST TEST CMT,Sample charred and reduced in surface area. Surface of sample fractured.
