Time after Ignition,Particleboard_R1,Particleboard_R2,Particleboard_R3,Particleboard_R4,Mean,Std. Dev.
0.0,3.1,1.5,2.0,0.4,1.8,1.1
0.25,3.2,1.5,2.1,0.6,1.8,1.1
0.5,3.2,1.5,2.1,0.7,1.9,1.1
0.75,3.2,1.5,2.2,0.7,1.9,1.1
1.0,3.2,1.5,2.2,0.8,1.9,1.0
1.25,3.3,1.6,2.2,0.9,2.0,1.0
1.5,3.3,1.6,2.3,1.0,2.0,1.0
1.75,3.3,1.6,2.4,1.0,2.1,1.0
2.0,3.5,1.7,2.4,1.1,2.2,1.1
2.25,3.6,1.7,2.4,1.1,2.2,1.1
2.5,3.7,1.8,2.5,1.1,2.3,1.1
2.75,3.7,1.8,2.5,1.2,2.3,1.1
3.0,3.9,1.8,2.5,1.2,2.4,1.2
3.25,3.9,1.8,2.5,1.3,2.4,1.1
3.5,4.0,1.9,2.5,1.3,2.4,1.2
3.75,4.0,1.9,2.5,1.3,2.4,1.2
4.0,4.1,2.0,2.5,1.2,2.5,1.2
4.25,4.3,2.2,2.5,1.2,2.6,1.3
4.5,4.5,2.3,2.6,1.2,2.6,1.4
4.75,4.5,2.4,2.6,1.2,2.7,1.4
5.0,4.6,2.5,2.6,1.1,2.7,1.4
5.25,4.5,2.6,2.5,1.1,2.7,1.4
5.5,4.5,2.7,2.6,1.1,2.7,1.4
5.75,4.3,2.7,2.6,1.1,2.7,1.3
6.0,4.4,2.8,2.6,1.2,2.8,1.3
6.25,4.4,2.8,2.6,1.4,2.8,1.2
6.5,4.5,2.9,2.7,1.4,2.9,1.2
6.75,4.4,3.0,2.6,1.5,2.9,1.2
7.0,4.5,2.9,2.7,1.6,2.9,1.2
7.25,4.4,3.0,2.9,1.6,3.0,1.1
7.5,4.5,3.0,3.0,1.7,3.1,1.2
7.75,4.5,3.1,3.0,1.8,3.1,1.1
8.0,4.5,3.0,3.2,1.8,3.1,1.1
8.25,4.6,3.1,3.5,1.9,3.3,1.1
8.5,5.0,3.3,3.6,2.1,3.5,1.2
8.75,5.3,3.4,3.8,2.2,3.7,1.3
9.0,5.6,3.5,4.2,2.4,3.9,1.3
9.25,5.9,3.6,4.7,2.7,4.2,1.4
9.5,6.1,4.1,5.1,3.0,4.6,1.3
9.75,7.2,4.6,5.5,3.2,5.2,1.7
10.0,8.0,5.2,5.9,3.5,5.6,1.8
10.25,9.0,5.5,6.1,4.4,6.2,2.0
10.5,9.7,6.0,7.2,5.0,7.0,2.0
10.75,12.6,7.1,8.3,5.7,8.4,3.0
11.0,15.0,8.1,9.0,6.2,9.6,3.8
11.25,17.5,10.0,9.9,8.3,11.4,4.1
