Time after Ignition,Particleboard_R1,Particleboard_R2,Particleboard_R3,Mean,Std. Dev.
0.0,-1.4,-0.6,-0.5,-0.8,0.5
0.25,-1.4,-0.7,-0.5,-0.9,0.5
0.5,-1.4,-0.7,-0.5,-0.9,0.5
0.75,-1.4,-0.7,-0.5,-0.9,0.5
1.0,-1.4,-0.7,-0.5,-0.9,0.5
1.25,-1.4,-0.7,-0.4,-0.9,0.5
1.5,-1.4,-0.7,-0.4,-0.8,0.5
1.75,-1.4,-0.7,-0.4,-0.8,0.5
2.0,-1.4,-0.7,-0.3,-0.8,0.6
2.25,-1.4,-0.8,-0.3,-0.8,0.5
2.5,-1.4,-0.8,-0.3,-0.8,0.5
2.75,-1.3,-0.8,-0.3,-0.8,0.5
3.0,-1.3,-0.8,-0.3,-0.8,0.5
3.25,-1.3,-0.8,-0.2,-0.8,0.5
3.5,-1.3,-0.8,-0.2,-0.8,0.5
3.75,-1.2,-0.8,-0.2,-0.7,0.5
4.0,-1.2,-0.8,-0.2,-0.7,0.5
4.25,-1.2,-0.8,-0.2,-0.7,0.5
4.5,-1.2,-0.8,-0.2,-0.7,0.5
4.75,-1.2,-0.8,-0.2,-0.7,0.5
5.0,-1.2,-0.8,-0.2,-0.7,0.5
5.25,-1.2,-0.8,-0.2,-0.7,0.5
5.5,-1.2,-0.8,-0.1,-0.7,0.5
5.75,-1.2,-0.8,-0.1,-0.7,0.5
6.0,-1.2,-0.8,-0.1,-0.7,0.5
6.25,-1.1,-0.8,-0.1,-0.7,0.5
6.5,-1.1,-0.8,-0.1,-0.7,0.5
6.75,-1.0,-0.8,-0.0,-0.6,0.5
7.0,-0.8,-0.7,0.1,-0.5,0.5
7.25,-0.7,-0.6,0.2,-0.4,0.5
7.5,-0.7,-0.5,0.3,-0.3,0.5
7.75,-0.7,-0.4,0.3,-0.2,0.5
8.0,-0.6,-0.4,0.4,-0.2,0.5
8.25,-0.5,-0.3,0.5,-0.1,0.5
8.5,-0.5,-0.2,0.5,-0.1,0.5
8.75,-0.3,-0.2,0.6,0.0,0.5
9.0,-0.2,-0.1,0.7,0.1,0.5
9.25,-0.0,-0.1,0.9,0.2,0.6
9.5,0.1,0.2,1.0,0.4,0.5
9.75,0.2,0.4,1.1,0.6,0.5
10.0,0.3,0.6,1.2,0.7,0.5
10.25,0.9,0.8,1.6,1.1,0.4
10.5,1.5,1.5,2.0,1.7,0.3
10.75,2.1,2.2,2.3,2.2,0.1
11.0,2.5,2.7,2.6,2.6,0.1
11.25,3.0,3.3,3.9,3.4,0.5
11.5,5.3,5.3,5.3,5.3,0.0
11.75,7.5,7.1,6.3,7.0,0.6
12.0,9.4,8.7,7.2,8.4,1.1
12.25,10.8,10.0,9.6,10.2,0.6
12.5,14.5,12.7,12.2,13.1,1.2
12.75,17.8,17.5,14.4,16.6,1.9
13.0,20.8,19.2,16.5,18.8,2.2
13.25,23.5,19.4,19.3,20.7,2.4
13.5,29.4,22.6,22.8,25.0,3.9
13.75,33.6,26.0,25.3,28.3,4.6
14.0,39.2,28.5,28.1,31.9,6.3
