Names,Particleboard_R1,Particleboard_R2,Particleboard_R3,Mean,Std. Dev.
63,-1.3,2.4,,0.5,2.6
64,-1.4,2.3,3.7,1.5,2.6
65,-1.4,2.1,3.5,1.4,2.5
66,-1.4,2.0,3.3,1.3,2.4
67,-1.4,1.9,3.0,1.2,2.3
68,-1.4,1.8,2.9,1.1,2.3
69,-1.4,1.8,2.7,1.0,2.2
70,-1.5,1.7,2.6,0.9,2.1
71,-1.4,1.6,2.4,0.9,2.0
72,-1.5,1.6,2.3,0.8,2.0
73,-1.5,1.5,2.2,0.8,2.0
74,-1.5,1.5,2.1,0.7,1.9
75,-1.5,1.4,2.0,0.6,1.9
76,-1.5,1.4,1.9,0.6,1.8
77,-1.5,1.4,1.9,0.6,1.8
78,-1.5,1.4,1.7,0.5,1.8
79,-1.5,1.3,1.7,0.5,1.7
80,-1.4,1.3,1.6,0.5,1.7
81,-1.3,1.3,1.6,0.5,1.6
82,-1.2,1.2,1.5,0.5,1.5
83,-1.1,1.2,1.5,0.5,1.4
84,-1.0,1.2,1.4,0.5,1.4
85,-1.0,1.2,1.4,0.5,1.3
86,-0.9,1.2,1.4,0.5,1.3
87,-0.9,1.2,1.4,0.5,1.2
88,-0.8,1.2,1.3,0.6,1.2
89,-0.8,1.2,1.3,0.6,1.2
90,-0.7,1.1,1.3,0.5,1.1
91,-0.7,1.2,1.3,0.6,1.1
92,-0.7,1.3,1.3,0.6,1.1
93,-0.7,1.3,1.3,0.6,1.1
94,-0.6,1.4,1.2,0.6,1.1
95,-0.6,1.4,1.2,0.7,1.1
96,-0.6,1.4,1.2,0.7,1.1
97,-0.6,1.5,1.2,0.7,1.1
98,-0.5,1.5,1.3,0.8,1.1
99,-0.4,1.6,1.4,0.9,1.1
100,-0.3,1.7,1.5,1.0,1.1
101,-0.2,1.9,1.6,1.1,1.1
102,-0.1,1.9,2.5,1.4,1.4
103,0.2,3.1,3.2,2.2,1.7
104,0.4,4.2,4.0,2.9,2.1
105,0.6,5.1,4.6,3.5,2.5
106,0.8,6.0,7.3,4.7,3.4
107,1.0,6.9,9.7,5.9,4.4
108,1.2,9.3,11.7,7.4,5.5
109,2.4,11.6,13.5,9.2,5.9
110,3.5,13.4,15.5,10.8,6.4
111,4.5,15.2,19.0,12.9,7.6
