Sample ID:	C:\MCC\MCC Cal\Test\PineLap_SidingA_MCC_30K_min_211122_R2.txt
Sample Weight (mg):	4.84
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
-0.001	106.661	80.009	19.994	103.129	20.009	-0.140	-0.024
0.499	106.693	80.005	19.993	103.135	20.009	-0.152	0.010
1.000	106.717	80.008	19.993	103.136	20.011	-0.296	0.046
1.500	106.676	80.005	19.992	103.140	20.011	-0.258	0.020
2.000	106.676	80.005	19.996	103.141	20.013	-0.374	-0.029
2.500	106.676	80.008	19.993	103.141	20.008	-0.044	-0.021
3.000	106.678	80.002	20.002	103.141	20.009	-0.122	0.001
3.500	106.716	80.004	19.994	103.140	20.010	-0.176	0.021
4.000	106.679	80.005	19.993	103.139	20.013	-0.385	0.020
4.500	106.681	80.006	19.998	103.140	20.010	-0.205	-0.017
5.000	106.685	80.004	19.991	103.138	20.009	-0.112	-0.014
5.500	106.667	80.004	19.998	103.139	20.008	-0.089	-0.004
6.000	106.703	80.010	19.993	103.138	20.012	-0.308	0.002
6.500	106.710	80.009	19.990	103.136	20.006	0.047	0.031
7.000	106.709	80.008	19.993	103.131	20.010	-0.172	0.025
7.500	106.690	80.006	19.991	103.128	20.008	-0.058	-0.007
8.000	106.683	80.006	19.995	103.125	20.014	-0.446	-0.023
8.500	106.686	80.004	20.000	103.124	20.010	-0.230	-0.015
9.000	106.698	80.004	19.996	103.125	20.010	-0.229	0.005
9.500	106.671	80.006	19.994	103.128	20.007	0.033	-0.000
10.000	106.685	80.007	19.995	103.132	20.011	-0.270	-0.014
