##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
48.74,10.00917,-0.04815,0.02283143,1.08894
48.84,10.31725,-0.04761934,0.02503175,1.08885
48.94,10.38754,-0.04761004,0.03163793,1.08877
49.04,10.4336,-0.04780959,0.03690727,1.08869
49.14,10.46957,-0.04839498,0.04254649,1.0886
49.24,10.500910000000001,-0.05059136,0.04714899,1.0885200000000002
49.34,10.52834,-0.05024604,0.05215272,1.08843
49.44,10.552810000000001,-0.05026962,0.05671025,1.08835
49.54,10.57467,-0.04995037,0.06204506,1.08826
49.64,10.59432,-0.05004633,0.06567727,1.08818
49.74,10.6126,-0.04849464,0.07252258,1.08809
49.84,10.62978,-0.04723849,0.07484231,1.0880100000000001
49.94,10.64575,-0.04797656,0.08144312,1.0879299999999998
50.04,10.66117,-0.04861239,0.08485587,1.08784
50.14,10.676039999999999,-0.04847922,0.09014693,1.08776
50.24,10.689960000000001,-0.04954145,0.09389391,1.0876700000000001
50.34,10.703619999999999,-0.0483368,0.09787765,1.08759
50.44,10.716560000000001,-0.04903804,0.10405,1.0875
50.54,10.72953,-0.04873493,0.10577,1.08742
50.64,10.741719999999999,-0.05008902,0.10912000000000001,1.08734
50.74,10.75366,-0.04964254,0.11624000000000001,1.08725
50.84,10.76515,-0.05052613,0.12014000000000001,1.08717
50.94,10.7764,-0.05013781,0.12255,1.0870799999999998
51.04,10.78737,-0.05136046,0.12763,1.087
51.14,10.798169999999999,-0.05041392,0.13045,1.08692
51.24,10.80855,-0.05134508,0.13530999999999999,1.08683
51.34,10.818439999999999,-0.05210341,0.13671,1.08675
51.44,10.82842,-0.05183186,0.14194,1.08666
51.54,10.83816,-0.05305648,0.14542,1.0865799999999999
51.64,10.84757,-0.05194071,0.1481,1.0865
51.74,10.857,-0.05213202,0.15182,1.08641
51.84,10.86612,-0.05238512,0.15648,1.08633
51.94,10.875160000000001,-0.05179553,0.16022,1.0862399999999999
52.04,10.88401,-0.05221732,0.16353,1.08616
52.14,10.89258,-0.05222227,0.16744,1.08608
52.24,10.90116,-0.05145422,0.17177,1.08599
52.34,10.90963,-0.05236419,0.17542,1.08591
52.44,10.91783,-0.05250224,0.17701,1.08582
52.54,10.925939999999999,-0.05198598,0.18076,1.08574
52.64,10.934,-0.05244768,0.18528,1.08566
52.74,10.94197,-0.05249771,0.18941,1.0855700000000001
52.84,10.94983,-0.05139846,0.19330999999999998,1.08549
52.94,10.95757,-0.05174745,0.19615,1.08541
53.04,10.9651,-0.0520251,0.19889,1.08532
53.14,10.97252,-0.05166708,0.20113,1.08524
53.24,10.97995,-0.05174591,0.20402,1.08515
53.34,10.98735,-0.05294431,0.20923000000000003,1.08507
53.44,10.99457,-0.05274484,0.21283000000000002,1.08499
53.54,11.00174,-0.0523613,0.21439,1.0849
53.64,11.00891,-0.05315985,0.21614,1.0848200000000001
53.74,11.01592,-0.05367444,0.21993000000000001,1.08474
53.84,11.02283,-0.05336486,0.22428,1.08465
53.94,11.02967,-0.05310325,0.2281,1.08457
54.04,11.0364,-0.05378563,0.23149,1.0844799999999999
54.14,11.04308,-0.05336276,0.2344,1.0844
54.24,11.04974,-0.05239199,0.23661999999999997,1.0843200000000002
54.34,11.05637,-0.05283326,0.23840999999999998,1.08423
54.44,11.06298,-0.05315717,0.24145999999999998,1.08415
54.54,11.06953,-0.05271607,0.24529,1.08407
54.64,11.07594,-0.05220729,0.24806,1.08398
54.74,11.08235,-0.05247724,0.25015,1.0839
54.84,11.08876,-0.05298503,0.2522,1.08382
54.94,11.095089999999999,-0.0523312,0.25463,1.0837299999999999
55.04,11.101360000000001,-0.05184183,0.25811,1.08365
55.14,11.1076,-0.05237074,0.2622,1.0835700000000001
55.24,11.1138,-0.05289358,0.26497,1.08348
55.34,11.11993,-0.05294841,0.26641,1.0834
55.44,11.12598,-0.0527398,0.26773,1.08332
55.54,11.13203,-0.05322818,0.27049,1.08323
55.64,11.13808,-0.05403877,0.27431,1.08315
55.74,11.14407,-0.05359997,0.27708,1.08307
55.84,11.149989999999999,-0.05294531,0.27956,1.0829799999999998
55.94,11.15585,-0.05331217,0.28297,1.0829
56.04,11.16169,-0.05349871,0.28639000000000003,1.0828200000000001
56.14,11.16751,-0.05301013,0.28912,1.08273
56.24,11.17332,-0.05260552,0.29111,1.08265
56.34,11.17908,-0.05242245,0.29291,1.08257
56.44,11.18478,-0.05224841,0.29525999999999997,1.0824799999999999
56.54,11.19045,-0.05205608,0.29828000000000005,1.0824
56.64,11.1961,-0.05189901,0.3015,1.0823200000000002
56.74,11.20171,-0.05189144,0.30357,1.08223
56.84,11.207310000000001,-0.05203834,0.30485,1.08215
56.94,11.21289,-0.05221492,0.30756999999999995,1.08207
57.04,11.21843,-0.05231673,0.31151999999999996,1.08199
57.14,11.22387,-0.05228189,0.31496999999999997,1.0819
57.24,11.22927,-0.05219887,0.31721,1.08182
57.34,11.234689999999999,-0.05216189,0.31827,1.08174
57.44,11.24008,-0.05207617,0.31966999999999995,1.08165
57.54,11.245410000000001,-0.05188671,0.3225,1.0815700000000001
57.64,11.25071,-0.0517421,0.32605,1.08149
57.74,11.25601,-0.05169628,0.32950999999999997,1.0814
57.84,11.261280000000001,-0.05159052,0.33244,1.08132
57.94,11.26652,-0.0514013,0.33469,1.08124
58.04,11.27173,-0.05130152,0.33645,1.0811600000000001
58.14,11.27689,-0.05131906,0.33821,1.08107
58.24,11.28204,-0.05132751,0.34066,1.08099
58.34,11.28717,-0.05131781,0.34352,1.08091
58.44,11.29227,-0.05138371,0.34571,1.0808200000000001
58.54,11.29734,-0.05156607,0.3472,1.08074
58.64,11.30241,-0.05184798,0.34873000000000004,1.08066
58.74,11.30746,-0.05201302,0.35068,1.0805799999999999
58.84,11.312489999999999,-0.05175758,0.3531,1.08049
58.94,11.3175,-0.05137096,0.35575,1.08041
59.04,11.322460000000001,-0.05146623,0.35816,1.08033
59.14,11.32741,-0.0518867,0.36021,1.08025
59.24,11.332360000000001,-0.05202237,0.36199000000000003,1.08016
59.34,11.33731,-0.05189356,0.36364,1.08008
59.44,11.342239999999999,-0.05192383,0.36537,1.08
59.54,11.34712,-0.05208247,0.36755,1.07991
59.64,11.35196,-0.05202923,0.37058,1.0798299999999998
59.74,11.35678,-0.05181727,0.37390999999999996,1.07975
59.84,11.36159,-0.05180898,0.3763,1.0796700000000001
59.94,11.3664,-0.05197347,0.37782,1.07958
60.04,11.371189999999999,-0.05189211,0.37986,1.0795
60.14,11.37595,-0.05152267,0.38271,1.07942
60.24,11.38073,-0.05129928,0.38529,1.07934
60.34,11.385530000000001,-0.05140537,0.3871,1.07925
60.44,11.39028,-0.05158342,0.38868,1.07917
60.54,11.394969999999999,-0.05165184,0.39039,1.0790899999999999
60.64,11.39964,-0.05166036,0.39203000000000005,1.07901
60.74,11.40435,-0.05166532,0.3935,1.07892
60.84,11.40905,-0.0516604,0.39507,1.07884
60.94,11.41371,-0.05163986,0.39698,1.07876
61.04,11.418339999999999,-0.05165024,0.39904,1.0786799999999999
61.14,11.42296,-0.05173799,0.40095,1.07859
61.24,11.42758,-0.05185164,0.40283,1.07851
61.34,11.43219,-0.05190488,0.40488,1.07843
61.44,11.43679,-0.05188992,0.40706,1.07835
61.54,11.44137,-0.05185031,0.40912,1.07827
61.64,11.44594,-0.05180638,0.41125,1.07818
61.74,11.45049,-0.05175334,0.41408,1.0781
61.84,11.45503,-0.05169602,0.4175,1.07802
61.94,11.45957,-0.05165806,0.42006000000000004,1.07794
62.04,11.46412,-0.05165331,0.42089,1.07785
62.14,11.46865,-0.05165983,0.42128999999999994,1.0777700000000001
62.24,11.473130000000001,-0.05166154,0.42271000000000003,1.07769
62.34,11.4776,-0.05171429,0.42499,1.07761
62.44,11.48207,-0.05189086,0.42746000000000006,1.0775299999999999
62.54,11.48655,-0.05216012,0.42978,1.07744
62.64,11.491019999999999,-0.05242269,0.43188999999999994,1.07736
62.74,11.495460000000001,-0.0526529,0.43371000000000004,1.07728
62.84,11.499889999999999,-0.05291844,0.43522,1.0772
62.94,11.50432,-0.05323935,0.4365,1.07712
63.04,11.50874,-0.05350272,0.43791,1.07703
63.14,11.513160000000001,-0.05361424,0.43973999999999996,1.07695
63.24,11.51755,-0.05368682,0.44171000000000005,1.07687
63.34,11.521930000000001,-0.05388395,0.44337,1.07679
63.44,11.52629,-0.0541266,0.44491,1.07671
63.54,11.53064,-0.05416829,0.44692,1.0766200000000001
63.64,11.534989999999999,-0.05401831,0.44953999999999994,1.07654
63.74,11.53934,-0.05408216,0.45214,1.07646
63.84,11.54369,-0.05459075,0.45426000000000005,1.07638
63.94,11.54802,-0.05503707,0.45629,1.0763
64.04,11.55232,-0.05484632,0.45873,1.07621
64.14,11.5566,-0.05432562,0.4615,1.07613
64.24,11.560880000000001,-0.0542403,0.46416999999999997,1.07605
64.34,11.56515,-0.05469763,0.46643,1.07597
64.44,11.56942,-0.0549441,0.46806000000000003,1.07589
64.54,11.57369,-0.05449017,0.46908,1.0758
64.64,11.57794,-0.05392094,0.47013,1.07572
64.74,11.58217,-0.05395259,0.47185,1.07564
64.84,11.58639,-0.05437546,0.47392,1.07556
64.94,11.59062,-0.0544598,0.47544,1.07548
65.04,11.59485,-0.05402867,0.47625,1.0754
65.14,11.59906,-0.05374873,0.47736999999999996,1.07531
65.24,11.60325,-0.05413792,0.47958999999999996,1.07523
65.34,11.60742,-0.05477283,0.48228000000000004,1.07515
