Sample ID:	C:\MCC\MCC Cal\Test\PineLap_SidingA\PineLap_SidingA_MCC_30K_min_211123_R4.txt
Sample Weight (mg):	4.72
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	109.179	80.008	19.995	103.133	20.040	-0.338	0.025
0.500	109.147	80.009	19.995	103.133	20.038	-0.196	-0.020
1.000	109.185	80.007	19.995	103.133	20.037	-0.150	-0.019
1.500	109.189	80.007	19.995	103.133	20.042	-0.462	0.024
2.000	109.170	80.009	19.993	103.134	20.044	-0.593	0.013
2.500	109.132	80.008	19.996	103.136	20.044	-0.585	-0.036
3.000	109.159	80.007	19.995	103.136	20.038	-0.206	-0.034
3.500	109.145	80.009	19.993	103.134	20.040	-0.342	0.001
4.000	109.180	80.009	19.995	103.133	20.044	-0.604	0.017
4.500	109.182	80.008	19.995	103.133	20.044	-0.634	0.029
5.000	109.161	80.009	19.991	103.131	20.043	-0.525	0.009
5.500	109.173	80.008	19.995	103.133	20.043	-0.510	-0.014
6.000	109.201	80.009	19.994	103.136	20.043	-0.535	0.016
6.500	109.219	80.007	19.997	103.138	20.042	-0.484	0.043
7.000	109.171	80.009	19.992	103.137	20.041	-0.422	0.008
7.500	109.195	80.001	20.004	103.140	20.040	-0.307	-0.027
8.001	109.138	80.002	19.995	103.139	20.042	-0.490	-0.029
8.501	109.149	80.007	19.992	103.143	20.039	-0.254	-0.040
9.001	109.151	80.011	19.997	103.146	20.037	-0.140	-0.017
9.501	109.163	80.006	19.991	103.149	20.041	-0.402	0.013
10.000	109.192	80.013	19.996	103.152	20.041	-0.419	0.028
10.500	109.168	80.006	19.992	103.157	20.041	-0.413	0.024
11.000	109.167	80.011	19.995	103.158	20.042	-0.449	-0.010
11.500	109.162	80.009	19.995	103.157	20.039	-0.301	-0.016
12.001	109.146	80.004	19.995	103.159	20.042	-0.494	-0.014
12.501	109.154	80.008	19.993	103.159	20.041	-0.398	-0.015
13.000	109.187	80.008	19.993	103.162	20.037	-0.159	0.017
13.500	109.173	80.007	19.991	103.162	20.037	-0.103	0.030
14.001	109.167	80.014	19.991	103.167	20.037	-0.150	-0.000
14.501	109.162	80.010	19.992	103.172	20.037	-0.103	-0.016
15.000	109.167	80.005	20.000	103.176	20.043	-0.567	-0.006
15.500	109.172	80.010	19.993	103.173	20.033	0.120	0.005
16.000	109.174	80.009	19.999	103.174	20.034	0.043	0.009
16.500	109.212	80.009	19.993	103.173	20.035	-0.011	0.024
17.000	109.209	80.002	19.997	103.171	20.038	-0.170	0.037
17.500	109.167	80.006	19.996	103.168	20.043	-0.516	-0.005
18.000	109.186	80.007	20.005	103.170	20.036	-0.079	-0.034
18.500	109.184	80.013	19.994	103.169	20.040	-0.359	-0.003
19.000	109.204	80.012	19.994	103.171	20.043	-0.531	0.017
19.500	109.242	80.012	19.990	103.172	20.037	-0.116	0.037
20.000	109.209	80.010	19.997	103.174	20.039	-0.282	0.031
20.500	109.232	80.008	19.999	103.172	20.036	-0.036	-0.002
21.000	109.229	80.006	19.996	103.173	20.034	0.075	0.005
21.500	109.219	80.008	19.993	103.171	20.036	-0.062	0.003
22.000	109.241	80.007	19.995	103.170	20.036	-0.092	-0.000
22.500	109.239	80.009	19.993	103.168	20.031	0.249	0.016
23.000	109.244	80.007	19.995	103.170	20.029	0.434	0.011
23.500	109.244	80.007	19.997	103.170	20.032	0.198	0.004
24.000	109.245	80.003	20.002	103.170	20.034	0.103	0.003
24.500	109.294	80.008	19.996	103.172	20.032	0.181	0.026
25.000	109.279	80.006	19.998	103.176	20.035	0.024	0.042
25.500	109.316	80.011	19.994	103.183	20.030	0.342	0.028
26.000	109.350	80.008	19.992	103.193	20.031	0.253	0.046
26.500	109.351	80.011	19.995	103.209	20.030	0.357	0.053
27.000	109.324	80.004	20.000	103.221	20.031	0.307	0.005
27.500	109.328	80.000	20.002	103.231	20.030	0.372	-0.024
28.000	109.360	80.008	19.991	103.237	20.035	-0.006	0.006
28.500	109.347	80.004	19.995	103.240	20.027	0.574	0.027
29.000	109.397	80.005	20.006	103.234	20.031	0.260	0.028
29.500	109.442	80.008	19.995	103.231	20.031	0.296	0.066
30.001	109.468	80.004	20.002	103.229	20.026	0.629	0.083
30.501	109.482	80.009	19.997	103.229	20.027	0.556	0.056
31.000	109.509	80.008	19.994	103.227	20.028	0.462	0.041
31.500	109.562	80.009	19.997	103.226	20.028	0.498	0.060
32.000	109.568	80.008	19.996	103.221	20.029	0.419	0.070
32.500	109.605	80.011	19.997	103.216	20.032	0.228	0.051
33.000	109.620	80.009	19.998	103.210	20.028	0.494	0.047
33.500	109.610	80.006	19.994	103.206	20.024	0.737	0.028
34.000	109.648	80.006	19.997	103.204	20.027	0.541	0.016
34.500	109.668	80.007	19.998	103.204	20.024	0.760	0.043
35.001	109.711	80.008	19.997	103.204	20.027	0.576	0.060
35.501	109.727	80.009	19.992	103.210	20.023	0.818	0.061
36.000	109.738	80.007	19.998	103.219	20.022	0.874	0.043
36.500	109.789	80.010	19.993	103.227	20.025	0.685	0.044
37.000	109.846	80.012	19.996	103.236	20.021	0.928	0.085
37.500	109.842	80.010	19.995	103.243	20.023	0.844	0.081
38.000	109.904	80.010	19.995	103.246	20.024	0.786	0.055
38.501	109.944	80.009	19.998	103.245	20.022	0.917	0.080
39.001	109.965	80.012	19.995	103.245	20.022	0.874	0.082
39.500	110.002	80.010	19.996	103.247	20.020	1.016	0.060
40.001	110.055	80.010	19.995	103.251	20.019	1.078	0.074
40.501	110.091	80.011	19.994	103.258	20.020	0.996	0.089
41.001	110.115	80.009	19.994	103.266	20.018	1.143	0.074
41.501	110.164	80.011	19.996	103.273	20.021	0.975	0.066
42.000	110.222	80.011	19.995	103.277	20.017	1.250	0.090
