##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
48.888,10.01,-0.05429,0.03310892,1.08881
48.988,10.3183,-0.05565985,0.04030441,1.08873
49.088,10.38743,-0.05659518,0.04563793,1.08864
49.188,10.43445,-0.05686823,0.05395522,1.08856
49.288,10.468160000000001,-0.05697063,0.05852418,1.08848
49.388,10.496369999999999,-0.05583437,0.0638925,1.08839
49.488,10.523719999999999,-0.05462877,0.0695534,1.08831
49.588,10.54856,-0.05435799,0.07505228,1.08822
49.688,10.57218,-0.05421683,0.08029679,1.0881399999999999
49.788,10.59211,-0.05481051,0.08797005,1.08805
49.888,10.61086,-0.0554574,0.09370579,1.08797
49.988,10.62852,-0.05628423,0.09915794,1.08789
50.088,10.6452,-0.05586679,0.10415,1.0878
50.188,10.66121,-0.05574223,0.11099,1.08772
50.288,10.67637,-0.05657165,0.11374000000000001,1.0876299999999999
50.388,10.6906,-0.056827,0.12039000000000001,1.08755
50.488,10.70401,-0.0570479,0.12395999999999999,1.08746
50.588,10.7171,-0.0570647,0.12919,1.08738
50.688,10.72959,-0.05671126,0.13649,1.0873
50.788,10.74196,-0.05657497,0.13881,1.08721
50.888,10.7536,-0.05651692,0.1424,1.08713
50.988,10.76525,-0.05656802,0.14899,1.08704
51.088,10.77641,-0.05693527,0.15411,1.08696
51.188,10.7873,-0.05732298,0.1571,1.0868799999999998
51.288,10.797989999999999,-0.05761945,0.16211,1.08679
51.388,10.80832,-0.05789531,0.16545,1.08671
51.488,10.81846,-0.05789879,0.1734,1.0866200000000001
51.588,10.82841,-0.0581006,0.17532,1.08654
51.688,10.8381,-0.05813881,0.17956,1.08646
51.788,10.84751,-0.05817693,0.18373,1.08637
51.888,10.856710000000001,-0.05853036,0.18794,1.08629
51.988,10.86588,-0.0588584,0.19152,1.0862
52.088,10.8749,-0.05886158,0.19459,1.08612
52.188,10.88366,-0.05876618,0.1983,1.08604
52.288,10.89226,-0.05881208,0.2024,1.08595
52.388,10.900789999999999,-0.05876747,0.20636,1.0858700000000001
52.488,10.909189999999999,-0.058383,0.2097,1.08578
52.588,10.9175,-0.05817283,0.21469000000000002,1.0857
52.688,10.92567,-0.05800166,0.21932,1.08562
52.788,10.93379,-0.05786023,0.22266,1.0855299999999999
52.888,10.94183,-0.05777529,0.22621999999999998,1.08545
52.988,10.9497,-0.05759019,0.23106999999999997,1.0853700000000002
53.088,10.95744,-0.05731058,0.23565,1.08528
53.188,10.965119999999999,-0.0572303,0.23815999999999998,1.0852
53.288,10.9727,-0.05726189,0.24120999999999998,1.08511
53.388,10.980139999999999,-0.05725044,0.246,1.08503
53.488,10.98743,-0.05732757,0.24896,1.08495
53.588,10.99474,-0.05745548,0.25163,1.08486
53.688,11.002,-0.05764079,0.25478,1.0847799999999999
53.788,11.00911,-0.05788197,0.25832,1.0847
53.888,11.0162,-0.05806865,0.26278,1.08461
53.988,11.02319,-0.05818756,0.26604,1.08453
54.088,11.03005,-0.05824007,0.26842,1.08444
54.188,11.03684,-0.0582309,0.27266999999999997,1.08436
54.288,11.04355,-0.0582796,0.27612,1.08428
54.388,11.0502,-0.0583505,0.27876,1.08419
54.488,11.05682,-0.05829573,0.28306,1.0841100000000001
54.588,11.063419999999999,-0.05817913,0.28714,1.0840299999999998
54.688,11.06996,-0.0581397,0.29015,1.08394
54.788,11.07644,-0.05827031,0.29305,1.08386
54.888,11.08283,-0.05838526,0.29622,1.08378
54.988,11.089139999999999,-0.05844472,0.29936,1.08369
55.088,11.09544,-0.05860284,0.30191,1.08361
55.188,11.1017,-0.05867342,0.3053,1.0835299999999999
55.288,11.10787,-0.05852551,0.30998000000000003,1.08344
55.388,11.11396,-0.05836577,0.31345,1.08336
55.488,11.12002,-0.0583503,0.31571,1.08328
55.588,11.12611,-0.05852819,0.31818,1.0831899999999999
55.688,11.13219,-0.05875803,0.32025,1.08311
55.788,11.1382,-0.05895107,0.32205,1.08303
55.888,11.14415,-0.05916217,0.32524000000000003,1.08294
55.988,11.15005,-0.05945311,0.32905999999999996,1.08286
56.088,11.15593,-0.05984482,0.33198,1.0827799999999999
56.188,11.16179,-0.06021044,0.3354,1.08269
56.288,11.16762,-0.06050957,0.33991,1.08261
56.388,11.17341,-0.06088173,0.34360999999999997,1.08253
