Time after Ignition,Pine_Siding_R1,Pine_Siding_R2,Pine_Siding_R3,Mean,Std. Dev.
0.0,5.8,-1.0,1.7,2.2,3.4
0.25,7.8,-0.2,4.1,3.9,4.0
0.5,9.6,0.6,6.2,5.5,4.6
0.75,15.2,1.2,8.2,8.2,7.0
1.0,19.6,1.8,9.9,10.4,8.9
1.25,24.2,3.5,11.4,13.0,10.5
1.5,28.2,5.0,16.9,16.7,11.6
1.75,31.5,6.3,21.3,19.7,12.7
2.0,39.0,7.4,25.5,24.0,15.8
2.25,45.2,10.8,29.5,28.5,17.2
2.5,51.3,13.8,32.7,32.6,18.7
2.75,56.3,16.6,35.4,36.1,19.9
3.0,65.5,19.3,42.2,42.3,23.1
3.25,76.2,23.9,48.0,49.4,26.1
3.5,84.4,28.8,53.5,55.5,27.9
3.75,92.0,32.6,58.3,61.0,29.8
4.0,95.9,36.6,67.6,66.7,29.6
4.25,108.5,42.6,74.7,75.3,32.9
4.5,118.6,48.5,81.7,82.9,35.1
4.75,126.1,52.7,89.0,89.2,36.7
5.0,130.6,57.2,99.1,95.6,36.8
5.25,140.3,61.0,105.5,102.3,39.7
5.5,146.8,63.7,114.8,108.4,41.9
5.75,159.8,70.0,121.3,117.0,45.0
6.0,165.6,76.3,127.9,123.3,44.8
6.25,170.0,79.9,133.5,127.8,45.3
6.5,172.9,85.8,141.9,133.5,44.1
6.75,184.2,89.5,147.2,140.3,47.8
7.0,190.8,95.7,155.3,147.3,48.0
7.25,198.6,99.8,163.0,153.8,50.0
7.5,200.5,105.8,169.4,158.6,48.3
7.75,204.7,109.6,173.7,162.6,48.5
8.0,209.8,115.2,182.4,169.1,48.7
8.25,220.3,123.9,186.0,176.7,48.9
8.5,225.6,129.2,191.7,182.2,48.9
8.75,226.1,131.5,199.9,185.9,48.8
9.0,228.8,141.1,205.0,191.6,45.4
9.25,231.8,146.5,208.6,195.7,44.1
9.5,240.6,151.4,207.4,199.8,45.1
9.75,240.7,158.1,216.6,205.1,42.5
10.0,245.6,164.7,219.2,209.8,41.2
10.25,250.3,168.2,221.7,213.4,41.6
10.5,253.3,178.1,233.0,221.5,38.9
10.75,248.8,182.5,237.9,223.0,35.5
11.0,255.0,187.9,235.8,226.2,34.5
11.25,258.2,190.8,236.5,228.5,34.4
11.5,259.0,200.9,240.7,233.5,29.7
11.75,261.1,197.7,241.0,233.3,32.4
12.0,262.9,208.3,249.7,240.3,28.5
12.25,262.4,207.6,250.7,240.2,28.9
12.5,263.4,209.9,253.5,242.3,28.5
12.75,260.5,217.2,250.9,242.9,22.7
13.0,265.6,217.3,259.4,247.4,26.3
13.25,264.9,225.7,253.1,247.9,20.1
13.5,270.8,228.2,262.4,253.8,22.6
13.75,265.8,229.1,257.5,250.8,19.2
14.0,268.9,230.1,256.1,251.7,19.8
14.25,265.9,234.8,262.8,254.5,17.2
14.5,267.4,232.4,259.9,253.3,18.4
14.75,266.6,239.9,261.1,255.9,14.1
15.0,265.3,240.4,259.1,254.9,13.0
15.25,268.9,239.5,258.9,255.8,14.9
15.5,260.6,243.7,256.2,253.5,8.7
15.75,259.4,239.1,259.4,252.6,11.7
16.0,262.4,242.3,258.1,254.3,10.6
16.25,257.6,242.6,258.8,253.0,9.0
16.5,258.0,242.7,263.5,254.7,10.8
16.75,255.9,243.8,258.1,252.6,7.7
17.0,251.8,241.1,254.9,249.3,7.2
17.25,252.3,241.3,257.8,250.5,8.4
17.5,248.5,242.7,255.0,248.7,6.1
17.75,247.5,239.9,250.9,246.1,5.6
18.0,246.2,241.1,258.3,248.5,8.8
18.25,242.1,239.2,249.4,243.6,5.2
18.5,244.3,239.8,247.3,243.8,3.8
18.75,244.6,240.8,251.7,245.7,5.5
19.0,236.9,240.7,245.6,241.1,4.4
19.25,234.7,242.9,246.9,241.5,6.2
19.5,233.5,239.4,247.7,240.2,7.1
19.75,230.5,238.2,243.4,237.3,6.5
20.0,230.6,232.7,243.0,235.4,6.6
20.25,226.4,237.4,241.9,235.2,8.0
20.5,224.4,230.7,239.5,231.5,7.6
20.75,222.2,232.4,241.3,232.0,9.6
21.0,221.2,233.1,235.8,230.0,7.8
21.25,217.0,238.4,234.2,229.9,11.4
21.5,215.8,234.2,233.7,227.9,10.5
