Sample ID:	C:\MCC\MCC Cal\Test\Pine_Siding\Pine_Siding_30_3.txt
Sample Weight (mg):	4.46
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	112.473	79.986	19.991	99.952	19.961	-0.168	-0.026
0.500	112.487	79.983	19.991	99.952	19.964	-0.405	0.003
1.000	112.478	79.982	19.991	99.952	19.964	-0.398	0.016
1.500	112.481	79.984	19.992	99.952	19.960	-0.153	-0.000
2.000	112.484	79.982	19.990	99.952	19.958	-0.013	0.000
2.500	112.449	79.983	19.991	99.952	19.957	0.092	-0.013
3.000	112.430	79.983	19.991	99.952	19.962	-0.251	-0.043
3.500	112.496	79.982	19.990	99.951	19.964	-0.445	-0.003
4.000	112.449	79.983	19.991	99.951	19.963	-0.305	0.033
4.500	112.447	79.982	19.992	99.951	19.962	-0.251	-0.016
5.000	112.407	79.985	19.992	99.952	19.963	-0.352	-0.046
5.500	112.453	79.983	19.991	99.953	19.959	-0.051	-0.018
6.000	112.436	79.982	19.992	99.953	19.960	-0.151	0.018
6.500	112.444	79.983	19.992	99.952	19.959	-0.089	0.010
7.000	112.436	79.984	19.992	99.952	19.958	-0.008	-0.005
7.500	112.422	79.983	19.991	99.950	19.960	-0.158	-0.011
8.000	112.427	79.984	19.991	99.950	19.961	-0.185	-0.015
8.500	112.468	79.981	19.991	99.951	19.958	0.009	0.018
9.000	112.461	79.984	19.992	99.951	19.954	0.307	0.040
9.500	112.429	79.983	19.994	99.952	19.955	0.239	-0.002
10.000	112.457	79.984	19.992	99.953	19.960	-0.130	-0.022
10.501	112.423	79.984	19.992	99.953	19.960	-0.109	-0.006
