##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/mW,Sensit./(uV/mW)
49.352,10.01,-0.06185,0.06416079,0.61833
49.452,10.77258,-0.06164052,0.06353139,0.61838
49.552,10.97152,-0.06174507,0.08316967,0.61844
49.652,11.10957,-0.06533336,0.07860797,0.61849
49.752,11.22091,-0.06411581,0.11945,0.61854
49.852,11.31064,-0.06322443,0.11854,0.6186
49.952,11.38594,-0.06545052,0.1273,0.61865
50.052,11.45293,-0.06513422,0.13016,0.6187
50.152,11.51608,-0.0653066,0.13842000000000002,0.6187600000000001
50.252,11.57622,-0.06524898,0.15511,0.6188100000000001
50.352,11.63005,-0.06591464,0.17135999999999998,0.6188600000000001
50.452,11.680589999999999,-0.06671126,0.18358,0.61892
50.552,11.727689999999999,-0.06714748,0.19292,0.61897
50.652,11.77271,-0.06571619,0.19712000000000002,0.61902
50.752,11.81553,-0.06646109,0.20878000000000002,0.61907
50.852,11.85668,-0.06617744,0.21879,0.6191300000000001
50.952,11.89592,-0.06476026,0.2167,0.6191800000000001
51.052,11.93403,-0.06480145,0.2304,0.6192300000000001
51.152,11.970889999999999,-0.06612223,0.22793000000000002,0.61928
51.252,12.00712,-0.06742734,0.23764000000000002,0.61934
51.352,12.042689999999999,-0.0668611,0.26078,0.61939
51.452,12.07652,-0.06592097,0.25655,0.61944
51.552,12.10949,-0.06613124,0.262,0.6195
51.652,12.14227,-0.06755678,0.26999,0.61955
51.752,12.1736,-0.06620127,0.2958,0.6196
51.852,12.2045,-0.06645692,0.29606,0.61965
51.952,12.23415,-0.06767836,0.30299,0.61971
52.052,12.26318,-0.06790993,0.31015,0.6197600000000001
52.152,12.29228,-0.06690905,0.31784,0.6198100000000001
52.252,12.32103,-0.06634584,0.31931,0.6198600000000001
52.352,12.34878,-0.06737826,0.32913000000000003,0.6199100000000001
52.452,12.37578,-0.06775447,0.34113000000000004,0.61997
52.552,12.40235,-0.06808633,0.33135,0.62002
52.652,12.42872,-0.06798171,0.34531999999999996,0.62007
52.752,12.4535,-0.06774505,0.3453,0.62012
52.852,12.47889,-0.06799773,0.35953,0.6201800000000001
52.952,12.50336,-0.06797808,0.35561,0.6202300000000001
53.052,12.52793,-0.06649511,0.35698,0.62028
53.152,12.55157,-0.06786255,0.37198000000000003,0.62033
53.252,12.57558,-0.06652071,0.37405,0.62038
53.352,12.59957,-0.06786368,0.38214000000000004,0.62044
53.452,12.62305,-0.06776721,0.38067,0.62049
53.552,12.64662,-0.06693484,0.39209,0.62054
53.652,12.67045,-0.06788173,0.39743,0.62059
53.752,12.69356,-0.06862943,0.40644,0.62064
53.852,12.716389999999999,-0.06876826,0.40387,0.62069
53.952,12.73884,-0.06941144,0.40965,0.62075
54.052,12.761569999999999,-0.06834706,0.42044,0.6208
54.152,12.78375,-0.06833221,0.4275,0.62085
54.252,12.805530000000001,-0.06833563,0.42258999999999997,0.6209
54.352,12.82709,-0.06822029,0.43236,0.62095
54.452,12.84827,-0.06829145,0.45962,0.621
54.552,12.86935,-0.0669118,0.45336000000000004,0.6210600000000001
54.652,12.890130000000001,-0.0679005,0.45942,0.62111
54.752,12.910169999999999,-0.06821853,0.45943,0.62116
54.852,12.930769999999999,-0.0689505,0.46791000000000005,0.62121
54.952,12.95146,-0.06963595,0.46355,0.62126
55.052,12.97154,-0.0697521,0.46918999999999994,0.62131
55.152,12.991769999999999,-0.07096771,0.47768,0.62136
55.252,13.01197,-0.07045272,0.47607,0.62142
55.352,13.03196,-0.07118686,0.47891000000000006,0.62147
55.452,13.052019999999999,-0.07109938,0.48628000000000005,0.62152
55.552,13.07195,-0.07246918,0.49365,0.62157
55.652,13.09167,-0.07239535,0.49257,0.62162
55.752,13.11154,-0.07239242,0.49193000000000003,0.62167
55.852,13.13141,-0.07193041,0.50648,0.6217199999999999
55.952,13.15064,-0.07108193,0.50805,0.6217699999999999
56.052,13.16974,-0.07105495,0.5044,0.6218199999999999
56.152,13.1891,-0.07237472,0.50867,0.62188
56.252,13.20805,-0.0715964,0.52681,0.62193
56.352,13.22688,-0.07145961,0.52131,0.62198
56.452,13.24575,-0.07212853,0.51374,0.62203
56.552,13.2643,-0.07078663,0.51986,0.62208
56.652,13.28289,-0.07090273,0.51782,0.6221300000000001
56.752,13.30137,-0.06976378,0.5206,0.6221800000000001
56.852,13.31989,-0.06952416,0.53085,0.6222300000000001
56.952,13.338070000000002,-0.07084876,0.53877,0.62228
57.052,13.35607,-0.07117732,0.53674,0.62233
57.152,13.37403,-0.07231662,0.5434100000000001,0.62238
57.252,13.39214,-0.07103997,0.54575,0.62243
57.352,13.410060000000001,-0.07227008,0.5454100000000001,0.62248
57.452,13.42787,-0.07225953,0.5535,0.62253
57.552,13.4455,-0.07199164,0.56603,0.62258
57.652,13.463120000000002,-0.07081608,0.56943,0.62264
57.752,13.48076,-0.07011153,0.57347,0.62269
57.852,13.498370000000001,-0.06949909,0.57777,0.62274
57.952,13.51574,-0.07070605,0.5786,0.62279
58.052,13.532960000000001,-0.07065923,0.57619,0.62284
58.152,13.55044,-0.07197376,0.57968,0.6228899999999999
58.252,13.567839999999999,-0.07193786,0.58107,0.6229399999999999
58.352,13.585020000000002,-0.07193489,0.5856600000000001,0.6229899999999999
58.452,13.60205,-0.07186614,0.58932,0.6230399999999999
58.552,13.61904,-0.07092139,0.58754,0.6230899999999999
58.652,13.63596,-0.07204163,0.5916399999999999,0.6231399999999999
58.752,13.65286,-0.07197303,0.59365,0.6231899999999999
58.852,13.66976,-0.07193608,0.60222,0.62324
58.952,13.68639,-0.07345312,0.60835,0.62329
59.052,13.702929999999999,-0.07372207,0.61123,0.62334
59.152,13.71964,-0.0737188,0.62062,0.62339
59.252,13.736089999999999,-0.07371705,0.60935,0.62344
59.352,13.75257,-0.07370148,0.6121,0.62349
59.452,13.76875,-0.0736999,0.61741,0.62354
59.552,13.78501,-0.07369997,0.62749,0.62359
59.652,13.80131,-0.0737,0.63725,0.62364
59.752,13.8176,-0.0737,0.6280899999999999,0.62369
59.852,13.833779999999999,-0.07369995,0.6381399999999999,0.62374
59.952,13.849979999999999,-0.07370001,0.64457,0.62379
60.052,13.86604,-0.07370403,0.64262,0.62384
60.152,13.88194,-0.07372066,0.64547,0.62388
60.252,13.89814,-0.07318881,0.65164,0.62393
60.352,13.9142,-0.073099,0.6521600000000001,0.62398
60.452,13.93021,-0.07369863,0.6504800000000001,0.62403
