Sample ID:	C:\MCC\MCC Cal\Test\Pipe_Heat_Cable_MCC_30K_min_220126_R2.txt
Sample Weight (mg):	4.21
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	113.380	80.008	19.995	103.715	20.048	-0.147	0.035
0.500	113.327	80.009	19.993	103.715	20.050	-0.326	-0.009
1.000	113.308	80.000	19.999	103.716	20.045	0.071	-0.061
1.500	113.352	80.003	19.994	103.713	20.042	0.286	-0.023
2.000	113.294	79.996	19.994	103.711	20.046	-0.027	0.005
2.500	113.340	80.009	19.995	103.711	20.041	0.372	-0.013
3.000	113.347	80.005	19.989	103.713	20.047	-0.099	0.020
3.500	113.308	80.014	19.994	103.718	20.047	-0.061	0.011
4.000	113.281	80.010	19.994	103.724	20.048	-0.133	-0.049
4.500	113.292	80.002	19.995	103.727	20.045	0.040	-0.041
5.000	113.293	80.002	19.994	103.730	20.047	-0.048	-0.002
5.500	113.255	80.008	19.998	103.733	20.050	-0.290	-0.012
6.000	113.298	80.004	19.988	103.730	20.046	-0.034	-0.017
6.500	113.301	79.999	19.997	103.730	20.045	0.053	0.025
7.000	113.284	80.011	19.996	103.728	20.046	0.021	0.016
7.500	113.324	80.012	19.993	103.726	20.045	0.072	0.005
8.000	113.367	80.014	19.996	103.726	20.045	0.053	0.053
8.500	113.337	80.011	19.993	103.729	20.047	-0.107	0.048
9.000	113.314	80.001	19.997	103.733	20.047	-0.053	-0.019
9.500	113.314	80.000	19.994	103.740	20.044	0.154	-0.038
10.000	113.277	79.991	19.994	103.744	20.042	0.316	-0.030
10.500	113.306	80.007	19.995	103.745	20.039	0.555	-0.023
11.000	113.305	80.005	19.994	103.746	20.042	0.292	0.010
11.501	113.281	80.005	19.994	103.747	20.040	0.452	0.001
12.001	113.309	80.009	19.994	103.747	20.042	0.324	-0.011
12.500	113.302	80.010	19.993	103.757	20.039	0.551	0.012
13.000	113.333	79.999	19.996	103.768	20.038	0.644	0.023
13.500	113.354	79.996	19.994	103.774	20.036	0.736	0.038
14.000	113.301	79.995	20.000	103.783	20.036	0.751	0.010
14.500	113.348	80.018	19.991	103.792	20.034	0.892	-0.019
15.000	113.343	80.001	19.994	103.800	20.038	0.642	0.018
15.500	113.349	79.992	19.993	103.804	20.035	0.878	0.022
16.000	113.314	80.008	19.996	103.805	20.034	0.892	-0.014
16.500	113.366	79.994	19.991	103.807	20.035	0.853	-0.006
17.000	113.397	79.997	19.995	103.808	20.032	1.095	0.050
17.500	113.409	80.002	19.993	103.800	20.035	0.859	0.063
18.000	113.413	80.003	19.991	103.799	20.030	1.200	0.029
18.500	113.416	80.004	19.992	103.806	20.027	1.426	0.011
19.000	113.445	80.013	19.991	103.810	20.030	1.224	0.019
19.500	113.477	80.010	19.993	103.813	20.029	1.310	0.046
20.000	113.471	80.004	19.994	103.815	20.028	1.356	0.043
20.500	113.481	79.991	19.996	103.814	20.030	1.232	0.015
21.000	113.551	80.007	19.988	103.811	20.025	1.575	0.042
21.500	113.559	80.006	19.994	103.814	20.025	1.628	0.079
22.000	113.555	80.006	19.995	103.818	20.026	1.508	0.041
22.500	113.595	80.010	19.996	103.823	20.027	1.466	0.020
23.000	113.601	80.007	19.994	103.829	20.025	1.643	0.041
23.500	113.628	80.000	19.996	103.835	20.022	1.875	0.039
24.000	113.597	80.010	19.996	103.833	20.022	1.881	0.015
24.500	113.657	79.997	19.993	103.833	20.021	1.892	0.013
25.000	113.676	80.009	19.993	103.831	20.026	1.550	0.054
25.500	113.706	80.005	19.996	103.835	20.018	2.129	0.064
26.000	113.748	80.002	19.994	103.838	20.017	2.218	0.060
26.500	113.745	80.003	19.996	103.846	20.017	2.214	0.055
27.000	113.817	80.020	19.993	103.856	20.017	2.258	0.054
27.500	113.838	80.008	19.992	103.874	20.015	2.347	0.081
28.000	113.897	80.015	19.992	103.885	20.015	2.357	0.087
28.500	113.961	80.002	19.991	103.895	20.013	2.526	0.102
29.000	113.987	80.010	19.997	103.906	20.013	2.555	0.107
29.500	114.025	79.997	19.998	103.913	20.012	2.599	0.077
30.000	114.064	79.996	19.994	103.915	20.012	2.633	0.071
30.500	114.168	80.015	19.991	103.915	20.009	2.812	0.110
