Sample ID:	C:\MCC\MCC Cal\Test\PlasticA_MCC_30K_min_211019_R2.txt
Sample Weight (mg):	4.95
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
-0.001	107.682	80.001	19.995	102.963	19.948	0.411	-0.010
0.499	107.650	80.009	19.995	102.973	19.947	0.499	-0.015
1.000	107.667	80.015	19.995	102.978	19.955	-0.039	-0.013
1.500	107.671	80.008	19.994	102.985	19.951	0.241	0.003
2.000	107.655	80.003	19.996	102.993	19.954	0.044	0.004
2.500	107.695	80.011	19.993	102.994	19.951	0.265	0.006
3.000	107.654	80.003	19.996	102.997	19.953	0.116	0.011
3.499	107.653	80.008	19.994	102.996	19.952	0.188	-0.021
4.000	107.647	80.008	19.994	102.996	19.955	-0.033	-0.024
4.500	107.653	80.003	19.995	102.995	19.949	0.359	-0.003
5.000	107.650	80.002	19.995	102.998	19.951	0.216	0.001
5.500	107.669	80.003	19.995	102.996	19.954	0.040	0.009
6.000	107.654	80.006	19.994	102.998	19.954	0.074	0.010
6.500	107.639	80.008	19.995	102.997	19.953	0.114	-0.013
7.000	107.635	79.998	19.995	102.996	19.950	0.290	-0.024
7.500	107.650	80.008	19.995	102.996	19.948	0.413	-0.004
8.000	107.626	79.982	19.998	102.996	19.948	0.459	0.001
8.500	107.616	80.002	19.995	102.992	19.950	0.310	-0.022
9.000	107.635	80.001	19.996	102.993	19.953	0.125	-0.013
9.500	107.583	79.997	19.997	102.997	19.948	0.419	-0.012
10.000	107.611	79.990	19.997	102.999	19.949	0.357	-0.028
10.500	107.621	80.001	19.996	102.997	19.951	0.255	0.007
