Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13428497314453125,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.384349822998047,12.701189994812012,1,1,1,1.0008763074874878,1.0225214958190918,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,16.05428695678711,16.597932815551758,167.9555206298828,99.66959381103516,96.23180389404297,5.9408415836514905e-05,0.041787274181842804,21.025114059448242,-0.9162187576293945,0.3148461580276489,,
1,0,13.370569229125977,13.6253023147583,165.03057861328125,99.04084014892578,95.6151351928711,-0.00032934476621448994,0.04213448986411095,21.027191162109375,897.185546875,0.31573686003685,0.0,0.0
2,0.25,13.191014289855957,13.987192153930664,170.88490295410156,99.04655456542969,95.57133483886719,-0.0003202076768502593,0.0421418771147728,21.02716636657715,897.0053100585938,0.32036328315734863,0.0,0.0
3,0.5,13.64263916015625,14.388278007507324,166.63116455078125,99.03185272216797,95.55506134033203,-0.00031198427313938737,0.04214852675795555,21.027143478393555,896.92529296875,0.3205593228340149,0.0,0.0
4,0.75,13.005719184875488,13.458698272705078,176.2308807373047,99.0179672241211,95.6407241821289,-0.0002987020125146955,0.04215451329946518,21.027122497558594,896.8753051757812,0.3112650215625763,0.0,0.0
5,1,13.753070831298828,13.81864070892334,170.51394653320312,98.99304962158203,95.42249298095703,-0.00028674796340055764,0.042159900069236755,21.027103424072266,896.8753051757812,0.3294966518878937,0.0,0.0
6,1.25,13.353545188903809,13.67840576171875,162.727783203125,98.99100494384766,95.45738220214844,-0.00027598932501859963,0.042164746671915054,21.02708625793457,896.5048828125,0.3260329067707062,0.0,0.0
7,1.5,13.395873069763184,13.801545143127441,174.0776824951172,98.97017669677734,95.57909393310547,-0.0002663065679371357,0.04216910898685455,21.027070999145508,896.5549926757812,0.31271591782569885,0.0,0.0
8,1.75,13.598380088806152,13.455016136169434,168.6256103515625,98.97180938720703,95.56242370605469,-0.00025759206619113684,0.04217303544282913,21.027057647705078,896.855224609375,0.3144288659095764,0.0,0.0
9,2,13.579499244689941,13.933228492736816,170.18727111816406,98.95343017578125,95.51901245117188,-0.00024974902044050395,0.04217657074332237,21.02704620361328,896.705078125,0.31683823466300964,0.0,0.0
10,2.25,13.530162811279297,13.588105201721191,168.22030639648438,98.93831634521484,95.50932312011719,-0.00024269027926493436,0.04217975214123726,21.027034759521484,896.88525390625,0.3163778781890869,0.0,0.0
11,2.5,13.63459587097168,13.13591194152832,168.06536865234375,98.92932891845703,95.54304504394531,-0.00023633742239326239,0.04220445081591606,21.02702522277832,896.96533203125,0.3123968541622162,0.0,0.0
12,2.75,12.929462432861328,13.226901054382324,168.99502563476562,98.91830444335938,95.45621490478516,-0.0002358474739594385,0.042226679623126984,21.027015686035156,896.9853515625,0.31955230236053467,0.0,0.0
13,3,13.184172630310059,13.641672134399414,171.219970703125,98.89910125732422,95.4240493774414,-0.0002354065072722733,0.04224668815732002,21.027008056640625,896.935302734375,0.3208337724208832,0.0,0.0
14,3.25,13.434463500976562,13.431413650512695,171.60391235351562,98.90074157714844,95.47172546386719,-0.00023500964744016528,0.04226469621062279,21.027000427246094,896.935302734375,0.31650274991989136,0.0,0.0
